건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,회수건조기수,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,세탁기수
0,,0,그린어스,일반세탁업,2026-04-06,,,,201153.981577199,449188.97052419,2026-04-07 03:03:03,U,02,폐업,0,2026-04-06 16:07:45,2019-03-11,71.85,133-100,서울특별시 성동구 옥수동 561 래미안 옥수 리버젠 상가,N,0,3030000-205-2019-00001,3030000,"서울특별시 성동구 독서당로 223, 래미안 옥수 리버젠 상가 상가동 제지1층 제109-1호 (옥수동)",04733,1,03,폐업,일반세탁업,02-2294-7789,,,,,1
2,,0,삼성세탁,세탁업 기타,2026-04-06,,,,208292.372250847,454098.08410101,2026-04-07 03:03:03,U,02,폐업,,2026-04-06 17:08:25,2005-09-09,37.88,131-811,서울특별시 중랑구 면목동 42-33 대원슈퍼,N,,3060000-205-2005-00012,3060000,"서울특별시 중랑구 용마산로93길 39, 대원슈퍼 1층 (면목동)",02201,1,03,폐업,세탁업 기타,032-524-6999,1,0,1,0,2
0,,0,준명품 화이트크리닝 전문점,일반세탁업,,,,,200750.455125653,449638.824308081,2026-04-14 03:03:03,U,01,영업,,2026-04-13 11:11:12,2004-02-16,28.35,100-450,서울특별시 중구 신당동 844 남산타운스포츠상가 102호,N,,3010000-205-2004-00001,3010000,"서울특별시 중구 다산로 32, 102호 (신당동,남산타운스포츠상가)",04595,1,01,영업/정상,일반세탁업,02-2256-7040,1,0,1,0,0
,,,백양사,일반세탁업,,,,,186443.256011545,446043.758276544,2026-04-08 03:03:03,U,01,영업,,2026-04-07 14:29:05,1990-02-22,21.35,158-842,서울특별시 양천구 신월동 591-1,N,,3140000-205-1990-01845,3140000,서울특별시 양천구 중앙로29길 55 (신월동),08070,,01,영업/정상,일반세탁업,02-2690-3224,,,,,
,임대,,현대세탁,일반세탁업,2026-04-06,,,,187437.037841856,446140.068718483,2026-04-07 03:03:03,U,02,폐업,,2026-04-06 17:17:22,1981-06-22,33.00,158-070,서울특별시 양천구 신정동 311 목동신시가지아파트10단지 상가B동 213호,N,,3140000-205-1981-01787,3140000,"서울특별시 양천구 목동서로 400, 상가B동 2층 213호 (신정동, 목동신시가지아파트10단지)",08090,1,03,폐업,일반세탁업,02-2647-9603,,,,,
,,,우리크리닝,일반세탁업,,,,,188895.844080632,447480.979609884,2026-04-08 03:03:03,U,01,영업,,2026-04-07 14:00:48,2004-10-12,51.78,158-761,서울특별시 양천구 목동 917 목동파라곤 지하1층41호,N,,3140000-205-2004-00024,3140000,"서울특별시 양천구 목동서로 155 (목동, 목동파라곤 지하1층41호)",07997,,01,영업/정상,일반세탁업,02-2647-5830,,,,,
,,,OK,일반세탁업,,,,,188965.738829492,448365.713974147,2026-04-08 03:03:03,U,01,영업,,2026-04-07 14:13:26,2003-02-25,24.00,158-874,서울특별시 양천구 목동 902 목동신시가지아파트2단지 상가동 205호,N,,3140000-205-2003-00021,3140000,"서울특별시 양천구 목동서로 70, 상가동 2층 205호 (목동, 목동신시가지아파트2단지)",07981,,01,영업/정상,일반세탁업,02-2648-6799,,,,,
2,임대,1,동일세탁소,일반세탁업,2026-04-08,,,,213801.619024367,449396.497182536,2026-04-09 03:03:03,U,02,폐업,,2026-04-08 11:31:41,2003-02-26,33.00,134-837,서울특별시 강동구 상일동 172-0 현대빌라상가 1-3,N,,3240000-205-2003-00018,3240000,서울특별시 강동구 상암로 305 (상일동),05280,,03,폐업,일반세탁업,02-426-2802,1,,1,,
0,임대,0,옴니세탁,일반세탁업,2026-04-10,,,,211183.982226029,429649.698378621,2026-04-11 03:03:03,U,02,폐업,,2026-04-10 12:07:30,1993-03-05,33.05,463-864,경기도 성남시 분당구 수내동 73 푸른마을상가 D동 202호,N,,3810000-205-1993-00011,3780000,"경기도 성남시 분당구 수내로 206 (수내동,푸른마을상가 D동 202호)",13600,,03,폐업,일반세탁업,031-711-2452,0,0,0,0,0
0,,0,복음사,일반세탁업,,,,,212991.858315067,437879.960869698,2026-04-10 03:03:03,U,01,영업,,2026-04-09 14:47:25,1990-05-31,.00,461-811,경기도 성남시 수정구 신흥동 2808-1,N,,3790000-205-1990-00002,3780000,경기도 성남시 수정구 산성대로283번길 20 (신흥동),13350,0,01,영업/정상,일반세탁업,031-743-8117,0,0,0,0,0
