자산규모,사업장명,폐업일자,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,부채총액,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
366702193,주식회사 아르노바이오젠,,300000000,190967.257864999,442305.216740774,2026-04-14 22:18:03,I,01,정상영업,2026-04-13 16:30:17,310557292,,2026-04-13,,서울특별시 구로구 구로동 ****-* 파트너스타워*차,2026316015924200004,3160000,"서울특별시 구로구 디지털로**가길 **, 파트너스타워*차 ***호 (구로동)",08393,,01,영업/정상,,,02-852-4444
200000000,메타라이프연구소주식회사,,200000000,201070.374374053,442706.851934959,2026-04-14 22:18:48,I,01,정상영업,2026-04-13 15:04:52,0,,2026-04-13,,서울특별시 서초구 서초동 ****-* 서초이오빌,2026321015324200004,3210000,"서울특별시 서초구 효령로**길 **, *층 ***-**호 (서초동, 서초이오빌)",06652,,01,영업/정상,,,02-403-2001
1986833637298,주식회사 엘지헬로비전,,926583625062,190913.359944738,460832.059013055,2026-04-14 21:18:31,I,01,정상영업,2026-04-13 10:47:55,1060250012236,,2018-12-04,,경기도 고양시 덕양구 동산동 *** 삼송 더샵 미디어시티,2026395005224200003,3940000,"경기도 고양시 덕양구 동송로 **, MBN미디어센터 **층 (동산동)",10595,,01,영업/정상,,,070-8130-3271
,에스제이컴퍼니,,,179867.687196662,461402.023019802,2026-04-14 21:18:31,I,01,정상영업,2026-04-13 09:48:27,,,2026-04-13,,경기도 고양시 일산동구 장항동 *** 웨스턴돔*,2026396012824200002,3940000,"경기도 고양시 일산동구 정발산로 **, 웨스턴돔* *층 티*-***호 (장항동)",10403,,01,영업/정상,,,
364995693,주식회사 나누미플러스,,20000000,179867.687196662,461402.023019802,2026-04-13 21:18:31,I,01,정상영업,2026-04-12 11:27:22,14358290,,2023-02-13,,경기도 고양시 일산동구 장항동 *** 웨스턴돔*,2026396012824200001,3940000,"경기도 고양시 일산동구 정발산로 **, 웨스턴돔* 비동 *층 ***호 (장항동)",10403,,01,영업/정상,,,
10000000,주식회사 예커뮤니케이션즈,,10000000,208757.65180867,424850.757409335,2026-04-13 03:03:03,U,01,정상영업,2026-04-12 15:05:09,0,,2018-10-01,,경기도 용인시 수지구 풍덕천동 ***번지 *호,2018564001824200001,4050000,"경기도 용인시 수지구 풍덕천로***번길 *, ***호 (풍덕천동)",16832,,01,영업/정상,,,
150000000,(주)디지털우민,2026-04-07,150000000,206626.865958361,457406.081083339,2026-04-07 03:03:03,U,03,폐업처리,2026-04-06 20:35:11,0,,2003-01-17,,서울특별시 노원구 공릉동 ***-** 천호빌딩*층,2011310018424200007,3100000,"서울특별시 노원구 동일로***길 *, *층 (공릉동, 천호빌딩)",,,03,폐업,,,64350331
640070437185,(주) 웅진(서울콜센터),,42213540000,200480.177581939,452225.923030749,2026-04-14 03:03:03,U,01,정상영업,2026-04-13 09:50:33,224099037472,,2014-01-10,,서울특별시 종로구 종로*가 ***-* 한덕빌딩,2025300024524200002,3000000,"서울특별시 종로구 종로**길 **, 한덕빌딩 *층 (종로*가)",03125,,01,영업/정상,,,02-2119-1251
1828593433460,(주)교원라이프,,5975000000,198477.517150403,451579.634210825,2026-04-14 03:03:03,U,01,정상영업,2026-04-13 17:15:41,1754382406547,,2010-09-14,,서울특별시 중구 을지로*가 *번지 내외빌딩,2010301010024200018,3010000,"서울특별시 중구 을지로 **, 내외빌딩 (을지로*가)",04539,,01,영업/정상,,,02-397-9140
533101221000000,주식회사 하나은행,,5359578000000,198338.095599974,451573.129459787,2026-04-09 03:03:03,U,01,정상영업,2026-04-08 11:19:51,499462923000000,,2015-09-14,,서울특별시 중구 을지로*가 ***번지 *호,2015301013024200016,3010000,"서울특별시 중구 을지로 ** (을지로*가, 하나은행)",04523,,01,영업/정상,,,02-2002-1020
