사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
지에스25 개포사랑점,2026-04-07,204394.027822643,441363.575740483,제7조의3제2항에따른경우,2026-04-07 03:03:03,U,2016-04-11,2,폐업처리,2026-04-06 18:27:20,,2016-04-11,,서울특별시 강남구 개포동 1187번지 6호 1층,2016322016205600043,3220000,"서울특별시 강남구 논현로8길 21, 1층 (개포동)",06314,03,폐업,,,
이마트24 강남구청역점,,203510.382173246,446273.791418845,제7조의3제2항에따른경우,2026-04-11 03:03:03,U,2020-07-21,5,지정취소,2026-04-10 19:34:50,2026-04-13,2020-07-21,,서울특별시 강남구 논현동 111-22 1층 101호,2020322024905600007,3220000,"서울특별시 강남구 선릉로 717, 1층 101호 (논현동)",06059,04,취소/말소/만료/정지/중지,,,
경찰청복지관,,197062.989911966,451257.725174623,제7조의3제3항에따른경우,2026-04-14 03:03:03,U,1993-09-18,0,정상영업,2026-04-13 10:47:41,,1993-09-18,,서울특별시 서대문구 미근동 209호,2001312007505600012,3120000,서울특별시 서대문구 통일로 97 (미근동),,01,영업/정상,,,02-3150-3535
세븐일레븐 평택금호타운점,2026-04-10,204995.173869495,396381.227054513,제7조의3제2항에따른경우,2026-04-11 03:03:03,U,2021-04-09,2,폐업처리,2026-04-10 17:42:44,,2021-04-09,,경기도 평택시 서정동 827 금호타운(서정마을) 상가동 103호,2021391003505600040,3910000,"경기도 평택시 지장로27번길 100, 상가동 103호 (서정동, 금호타운(서정마을))",17772,03,폐업,,,
주식회사 연당유통,,212452.558599859,441411.906445707,제7조의3제3항에따른경우,2026-04-09 03:03:03,U,2017-05-15,3,직권취소,2026-04-08 18:39:38,2026-04-08,2017-05-15,,서울특별시 송파구 장지동 897번지,2017323023105600050,3230000,"서울특별시 송파구 위례광장로 120, 지하동 1층 B12-18호 (장지동, 위례중앙푸르지오1단지)",05852,04,취소/말소/만료/정지/중지,,,02-3012-5200
심곡동 전자담배 마켓(위베이프),,171161.889201809,448952.31046191,제7조의3제2항에따른경우,2026-04-14 03:03:03,U,2023-04-10,0,정상영업,2026-04-13 15:13:17,,2023-04-10,,인천광역시 서구 심곡동 253-6,2023356022205600041,3560000,"인천광역시 서구 심곡로 41-1, 101호 (심곡동)",22727,01,영업/정상,,,
장보고,2026-04-13,186454.688652391,450106.582793873,제7조의3제2항에따른경우,2026-04-14 03:03:03,U,2023-07-28,2,폐업처리,2026-04-13 16:08:13,,2023-07-28,,서울특별시 강서구 화곡동 993-1,2023315020005600049,3150000,"서울특별시 강서구 우장산로 104, 101호 (화곡동)",07685,03,폐업,,,
신촌설렁탕,,203991.150028597,449125.271545534,제7조의3제2항에따른경우,2026-04-07 03:03:03,U,2014-10-20,5,지정취소,2026-04-06 10:29:45,,2014-10-20,133-762,서울특별시 성동구 성수동1가 656번지 320호,2014303009105600051,3030000,서울특별시 성동구 왕십리로 80-1 (성수동1가),,04,취소/말소/만료/정지/중지,,,
위례두꺼비왕식자재마트(주),,211689.310620492,441596.277147073,제7조의3제2항에따른경우,2026-04-09 03:03:03,U,2019-11-18,3,직권취소,2026-04-08 18:39:21,2026-04-08,2019-11-18,,서울특별시 송파구 장지동 904번지 7호,2019323026105600100,3230000,서울특별시 송파구 위례순환로 494 (장지동),05814,04,취소/말소/만료/정지/중지,,,02-000-0000
이마트24 주안청울림점,2026-04-13,172391.272760063,440171.274855196,제7조의3제2항에따른경우,2026-04-14 03:03:03,U,2022-09-23,2,폐업처리,2026-04-13 11:37:41,,2022-09-23,,인천광역시 미추홀구 주안동 968-1 주안역 청울림,2022351057905600100,3510500,"인천광역시 미추홀구 주안로 170, 1층 104호 (주안동, 주안역 청울림)",22134,03,폐업,,,
세븐일레븐 강남IBC점,,202677.885,444173.025,제7조의3제2항에따른경우,2026-04-10 03:03:03,U,2020-09-23,0,정상영업,2026-04-09 17:57:21,,2020-09-23,,서울특별시 강남구 역삼동 648-1 1층,2020322024905600024,3220000,"서울특별시 강남구 테헤란로7길 8, 1층 (역삼동)",06133,01,영업/정상,,,1577-0711
원타임 야탑점,2026-04-08,211199.96154825,434395.793544651,제7조의3제2항에따른경우,2026-04-09 03:03:03,U,2023-03-17,2,폐업처리,2026-04-08 10:59:48,,2023-03-17,,경기도 성남시 분당구 야탑동 353-4 두만프라자,2023381005405600007,3780000,"경기도 성남시 분당구 야탑로69번길 24-6, 두만프라자 1층 102호 (야탑동)",13497,03,폐업,,,
(주)고려유통한우물큰장터,,171038.949968897,444559.358818713,제7조의3제3항에따른경우,2026-04-09 03:03:03,U,2018-09-06,5,지정취소,2026-04-08 14:48:52,,2018-09-06,,인천광역시 서구 석남동 575번지,2018356013705600145,3560000,인천광역시 서구 거북로 104 (석남동),22796,04,취소/말소/만료/정지/중지,,,032-583-1321
에이지에스,2026-04-10,167752.70553235,430261.303322498,제7조의3제2항에따른경우,2026-04-11 03:03:03,U,2024-05-08,2,폐업처리,2026-04-10 16:14:51,,2024-05-08,,인천광역시 연수구 송도동 13-58,2024352024105600040,3520000,"인천광역시 연수구 하모니로 271, D3동 121호 (송도동)",22014,03,폐업,,,
다인주방,2026-04-08,179995.004925922,445221.267259238,제7조의3제2항에따른경우,2026-04-09 03:03:03,U,2025-01-20,2,폐업처리,2026-04-08 11:22:55,,2025-01-20,,경기도 부천시 원미구 중동 3-77 나성빌딩 1층,2025387100705600002,3860000,"경기도 부천시 원미구 신흥로 285, 나성빌딩 1층 (중동)",14535,03,폐업,,,
춘천철원화천양구축산농협 하나로마트(강남점),2026-04-08,263244.686473259,484697.696269724,제7조의3제3항에따른경우,2026-04-09 03:03:03,U,2005-08-16,2,폐업처리,2026-04-08 17:06:08,,2005-08-16,200-938,강원특별자치도 춘천시 온의동 515번지,2005418001605600126,4181000,강원특별자치도 춘천시 경춘로 2342 (온의동),,03,폐업,,,033-243-8222
씨유 역삼유토빌점,,202890.701410324,444070.444071342,제7조의3제2항에따른경우,2026-04-10 03:03:03,U,2006-06-02,0,정상영업,2026-04-09 10:18:17,,2006-06-02,,서울특별시 강남구 역삼동 735번지 11호 신일유토빌101호,2006322008305600110,3220000,"서울특별시 강남구 논현로87길 41, 101호 (역삼동, 신일유토빌)",,01,영업/정상,,,
청담아이어스점,,203480.768879528,446892.111759277,제7조의3제2항에따른경우,2026-04-11 03:03:03,U,2019-09-25,5,지정취소,2026-04-10 19:27:39,2026-04-13,2019-09-25,,서울특별시 강남구 청담동 85번지 7호 1층,2019322023605600144,3220000,"서울특별시 강남구 선릉로152길 7, 1층 (청담동)",06014,04,취소/말소/만료/정지/중지,,,
이마트에브리데이 김포양곡점,2026-04-09,168434.673635489,459433.509696334,제7조의3제2항에따른경우,2026-04-10 03:03:03,U,2024-07-17,2,폐업처리,2026-04-09 10:23:51,,2024-07-17,,경기도 김포시 마산동 649-1,2024409046505600051,4090000,경기도 김포시 김포한강8로 161 (마산동),10068,03,폐업,,,031-997-2791
지에스(GS)25 S6상암DMC역2점,2026-04-10,191287.170393418,452799.599269845,제7조의3제3항에따른경우,2026-04-11 03:03:03,U,2022-06-23,2,폐업처리,2026-04-10 14:15:19,,2022-06-23,,서울특별시 은평구 증산동 223-25 6호선 디지털미디어시티역,2022311021705600039,3110000,"서울특별시 은평구 수색로 지하175, 6호선 디지털미디어시티역 지1층 (증산동)",03504,03,폐업,,,
하나유통,2026-04-09,213204.721182016,439153.089371768,제7조의3제2항에따른경우,2026-04-10 03:03:03,U,2019-12-31,2,폐업처리,2026-04-09 17:58:46,,2019-12-31,,경기도 성남시 수정구 산성동 1456 백강빌딩,2019379003405600069,3780000,"경기도 성남시 수정구 수정로 346, 백강빌딩 1층 5호 (산성동)",13127,03,폐업,2023-09-01,2023-09-30,
GS(지에스)25 벨포레스퀘어점,,197883.320814488,431892.96613804,제7조의3제2항에따른경우,2026-04-10 03:03:03,U,2024-11-14,0,정상영업,2026-04-09 15:45:15,,2024-11-14,,경기도 의왕시 내손동 416-3,2024403024405600011,4030000,"경기도 의왕시 내손중앙로 4, 136호 (내손동)",16024,01,영업/정상,,,
