사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상시설위치,시설명건물명,시설구분명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,해제일자,도로명주소,도로명우편번호,영업상태구분코드,영업상태명
플라워모텔,,186317.795293249,449353.814998678,2026-04-09 22:26:56,I,18,사용중,서울특별시 강서구 화곡동 24-96 모텔플라워,플라워모텔,공공용시설,2026-04-08 17:49:08,,2026-04-08,85,서울특별시 강서구 화곡동 24-96 모텔플라워,3150000-E202600001,3150000,,"서울특별시 강서구 화곡로42길 10, 모텔플라워 (화곡동)",07679,01,영업/정상
수원농생명과학고등학교,2026-04-03,201600.637195398,421469.993327947,2026-04-14 03:03:03,U,19,사용중지,경기도 수원시 장안구 영화동 60번지,수원농생명과학고등학교,정부지원시설,2026-04-13 16:51:13,2026-04-03,1987-12-19,240,경기도 수원시 장안구 영화동 60번지,3750000-E198700004,3740000,2026-04-03,경기도 수원시 장안구 광교산로 13 (영화동),,04,취소/말소/만료/정지/중지
도림유수지,,190859.695410666,444944.029571921,2026-04-07 03:03:03,U,18,사용중,서울특별시 영등포구 도림동 254번지,도림유수지,지자체시설,2026-04-06 17:37:31,,2005-04-18,350,서울특별시 영등포구 도림동 254번지,3180000-E200500002,3180000,,서울특별시 영등포구 대방천로 29-18 (도림동),07375,01,영업/정상
종점떡방앗간,2026-03-31,193766.940037253,456725.146905408,2026-04-10 03:03:03,U,19,사용중지,서울특별시 은평구 불광동 270번지,종점떡방앗간,공공용시설,2026-04-09 09:08:00,2026-03-31,2019-11-27,40,서울특별시 은평구 불광동 270번지,3110000-E201900009,3110000,2026-03-31,서울특별시 은평구 통일로68길 15 (불광동),03355,04,취소/말소/만료/정지/중지
궁동종합사회복지관,,184874.479510795,444112.669240981,2026-04-14 03:03:03,U,18,사용중,서울특별시 구로구 궁동 108번지 9호,궁동종합사회복지관,정부지원시설,2026-04-13 15:28:18,,2006-04-13,93,서울특별시 구로구 궁동 108번지 9호,3160000-E200600002,3160000,,"서울특별시 구로구 오리로22길 5 (궁동, 궁동종합사회복지관)",08249,01,영업/정상
궁동생태공원,,184786.34408646,444359.694846615,2026-04-14 03:03:03,U,18,사용중,서울특별시 구로구 궁동 42번지 4호,궁동생태공원,지자체시설,2026-04-13 15:29:06,,2017-10-25,102,서울특별시 구로구 궁동 42번지 4호,3160000-E201700001,3160000,,,,01,영업/정상
신구로유수지,,188660.55470107,443021.260246192,2026-04-14 03:03:03,U,18,사용중,서울특별시 구로구 구로동 689-8,신구로유수지,지자체시설,2026-04-13 15:21:34,,2022-08-20,1800,서울특별시 구로구 구로동 689-8,3160000-E202200001,3160000,,서울특별시 구로구 안양천동자전거길 807 (구로동),08324,01,영업/정상
신안가축,,180863.322618704,449597.078419987,2026-04-10 22:26:55,I,18,사용중,서울특별시 강서구 오곡동 200-19,신안가축,공공용시설,2026-04-09 11:12:33,,2026-04-08,82,서울특별시 강서구 오곡동 200-19,3150000-E202600002,3150000,,,,01,영업/정상
티파니호텔,,183118.598958412,450884.384415444,2026-04-10 22:26:55,I,18,사용중,서울특별시 강서구 공항동 52-5,티파니호텔,공공용시설,2026-04-09 15:46:09,,2026-04-08,62,서울특별시 강서구 공항동 52-5,3150000-E202600003,3150000,,서울특별시 강서구 송정로 61-3 (공항동),07622,01,영업/정상
공항사우나,,183484.821951778,450713.963336968,2026-04-10 22:26:55,I,18,사용중,서울특별시 강서구 공항동 651-9,공항사우나,공공용시설,2026-04-09 16:04:24,,2026-04-08,70,서울특별시 강서구 공항동 651-9,3150000-E202600004,3150000,,서울특별시 강서구 송정로4길 51 (공항동),07624,01,영업/정상
신한디엠,2026-04-13,195051.53369717,448575.956518546,2026-04-14 03:03:03,U,19,사용중지,서울특별시 마포구 마포동 33-1 대농빌딩,신한디엠,공공용시설,2026-04-13 15:27:29,2026-04-13,2002-03-20,85,서울특별시 마포구 마포동 33-1 대농빌딩,3130000-E200200001,3130000,2026-04-13,"서울특별시 마포구 마포대로 25, 대농빌딩 (마포동)",04167,04,취소/말소/만료/정지/중지
구로구 민방위비상급수시설(구로구청),,189995.347071014,443682.330615552,2026-04-14 03:03:03,U,18,사용중,서울특별시 구로구 구로동 435번지,구로구 민방위비상급수시설(구로구청),정부지원시설,2026-04-13 15:26:04,,1982-12-01,300,서울특별시 구로구 구로동 435번지,3160000-E198200001,3160000,,서울특별시 구로구 가마산로 245 (구로동),,01,영업/정상
구로구 민방위비상급수시설(잣절약수터),,185636.334242802,444442.778821403,2026-04-14 03:03:03,U,18,사용중,서울특별시 구로구 개봉동 45-2,구로구 민방위비상급수시설(잣절약수터),공공용시설,2026-04-13 15:30:20,,1994-12-01,50,서울특별시 구로구 개봉동 45-2,3160000-E199400011,3160000,,서울특별시 구로구 고척로21나길 103 (개봉동),08250,01,영업/정상
