축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,주사육업종,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
637,가축사육업,임진강목장,,186530.349605028,492708.909278468,2026-04-10 03:03:03,U,0000,정상,2026-04-09 13:24:40,,2005-06-01,0,413-881,"경기도 파주시 파평면 눌노리 *** 외 *필지(***, ***)",406000003320050466,4060000,젖소,000,경기도 파주시 파평면 파산서원길 ***-**,10801,,01,영업/정상,,,
94,가축사육업,대성농장2,,344050.871701287,505453.135093344,2026-04-09 03:03:03,U,0000,정상,2026-04-08 09:29:05,,2008-06-18,0,215-822,강원특별자치도 양양군 손양면 우암리 **,435000003320080015,4351000,한우,000,강원특별자치도 양양군 손양면 상촌로 ***,25045,,01,영업/정상,,,
550,가축사육업,대성농장1,,343655.98727567,512367.825437364,2026-04-08 03:03:03,U,0000,정상,2026-04-07 13:22:48,,2020-06-26,,,강원특별자치도 양양군 양양읍 조산리 ***-**,435000003320200012,4351000,한우,000,강원특별자치도 양양군 양양읍 일출로 ***,25016,,01,영업/정상,,,
192,가축사육업,대청목장,2026-04-07,193201.075300127,394261.671866809,2026-04-08 03:03:03,U,0002,폐업,2026-04-07 17:19:25,,2005-04-12,0,451-831,경기도 평택시 청북면 고렴리 ***-*,391000003320050081,3910000,젖소,000,경기도 평택시 청북면 현곡길 ***-*,,,03,폐업,,,
581,가축사육업,김석태,,,,2026-04-11 03:03:03,U,0004,말소,2026-04-10 13:27:34,,2013-08-21,,477-801,경기도 가평군 가평읍 읍내리 ***,416000003320130031,4160000,사슴,000,,,,04,취소/말소/만료/정지/중지,,,
1204,가축사육업,농업회사법인대현주식회사,,190917.727996934,395004.857783,2026-04-11 03:03:03,U,0001,휴업,2026-04-10 15:24:12,,2018-04-30,,,경기도 평택시 청북읍 고잔리 ***-*,391000003320180008,3910000,종계/산란계,L00,경기도 평택시 청북읍 고잔*길 **-**,17794,,02,휴업,2026-04-09,2027-04-10,
838,가축사육업,소원농장,,152427.335169977,466454.692597247,2026-04-08 03:03:03,U,0000,정상,2026-04-07 09:23:05,,2015-07-23,,417-833,인천광역시 강화군 불은면 삼동암리 ***-**,357000003320150018,3570000,종계/산란계,000,인천광역시 강화군 불은면 삼동암길 ***,23045,,01,영업/정상,,,
1181,가축사육업,성재농장,,190777.48847109,395911.919230213,2026-04-11 03:03:03,U,0000,정상,2026-04-10 17:05:58,,2017-06-29,,,경기도 평택시 청북읍 고잔리 ****-* 외 *필지(****-*),391000003320170007,3910000,종계/산란계,000,경기도 평택시 청북읍 청북중앙로 ***-**,17794,,01,영업/정상,,,
157,가축사육업,쌍용농장,,212568.745868464,390919.755493999,2026-04-09 03:03:03,U,0000,정상,2026-04-08 14:03:18,,2005-04-04,0,450-070,"경기도 평택시 월곡동 ***-* ,***-*, ***-*, ***-**, ***-**",391000003320050046,3910000,종계/산란계,000,경기도 평택시 월곡길 ***-** (월곡동),17876,,01,영업/정상,,,
689,가축사육업,에이원농장,,235720.12170752,410510.5751517,2026-04-10 03:03:03,U,0000,정상,2026-04-09 18:11:33,,2005-08-26,0,467-821,경기도 이천시 호법면 동산리 ***-*,407000003320050441,4070000,한우,000,경기도 이천시 호법면 동산로***번길 ***-**,,,01,영업/정상,,,031-634-9180
545,가축사육업,안경종농가,,,,2026-04-14 03:03:03,U,0000,정상,2026-04-13 10:59:09,,2022-05-27,,,강원특별자치도 평창군 대관령면 횡계리 **-*,428000003320220004,4281000,한우,000,,,,01,영업/정상,,,
2,가축사육업,대기농산 영농조합법인,,243089.560615228,459442.920076254,2026-04-08 03:03:03,U,0000,정상,2026-04-07 17:53:38,,2004-06-09,0,477-851,"경기도 가평군 설악면 천안리 *-* 외 *필지(***, ***-*,***-*)",416000003320040001,4160000,종계/산란계,L00,"경기도 가평군 설악면 유명로 ****-***, 외 유명로 ****-***",12469,,01,영업/정상,,,
32,가축사육업,승희목장,,263626.700094874,471830.813718585,2026-04-11 03:03:03,U,0000,정상,2026-04-10 11:19:11,,2004-12-20,0,200-843,강원특별자치도 춘천시 동산면 군자리 ****,418000003320040029,4181000,한우,000,강원특별자치도 춘천시 동산면 종자리로 ***-**,24409,,01,영업/정상,,,
877,가축사육업,경일농장,,155399.670095999,462733.836882288,2026-04-14 03:03:03,U,0000,정상,2026-04-13 11:19:09,,2020-05-25,,,인천광역시 강화군 불은면 신현리 **-*,357000003320200006,3570000,종계/산란계,000,인천광역시 강화군 불은면 강화동로***번길 **,23047,,01,영업/정상,,,
579,가축사육업,우리농장,2025-12-30,168038.85293378,467930.67956984,2026-04-09 03:03:03,U,0002,폐업,2026-04-08 10:38:19,,2011-07-05,,415-882,경기도 김포시 하성면 마곡리 ***,409000003320110013,4090000,한우,000,경기도 김포시 하성면 하성로***번길 *,,,03,폐업,,,
