영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,청오건강농업회사법인주식회사 6공장,식품소분업,,229120.475468797,422456.94298047,2026-04-14 03:03:03,U,01,영업,0,0,0,0,,,0,0,,2026-04-13 10:01:25,2006-03-29,70.80,464-882,경기도 광주시 도척면 노곡리 251-8,N,,5540000-109-2006-00005,0,5540000,"경기도 광주시 도척면 도척로584번길 27, 2층",12815,01,영업/정상,식품소분업,031-761-1050,,,
,임대,(주)재우,식품소분업,,,,2026-04-14 03:03:03,U,01,영업,48.9,,,,,,,,,2026-04-13 10:20:51,2022-06-03,350.00,,경기도 광주시 매산동 201,N,,5540000-109-2022-00006,,5540000,"경기도 광주시 매자리길 94-40, 3동 (매산동)",12798,01,영업/정상,식품소분업,,,,상수도(음용)지하수(주방용)겸용
,임대,(주)두베,식품소분업,,,,2026-04-14 03:03:03,U,01,영업,0,,,,,,,,,2026-04-13 10:55:52,2023-04-04,29.60,,경기도 광주시 고산동 90-1,N,,5540000-109-2023-00008,,5540000,"경기도 광주시 세피내길 47, 일부호 (고산동)",12790,01,영업/정상,식품소분업,070-4647-2781,,,상수도전용
,,원탑,식품소분업,,204497.579516223,463420.000155784,2026-04-10 03:03:03,U,01,영업,0,,,,,,,,,2026-04-09 16:28:07,2020-03-12,37.23,139-837,서울특별시 노원구 상계동 1054-14,N,,3100000-109-2020-00004,,3100000,"서울특별시 노원구 동일로231나길 27, 101호 (상계동)",01614,01,영업/정상,식품소분업,,,,
,자가,롯데쇼핑(주) 본점 3층 바샤커피,식품소분업,,198259.65357739,451392.198218657,2026-04-11 03:03:03,U,01,영업,2.6,,,,,,,,,2026-04-10 17:37:04,2025-04-09,2.60,100-070,서울특별시 중구 소공동 1 롯데백화점 본점,N,,3010000-109-2025-00006,,3010000,"서울특별시 중구 남대문로 81, 롯데백화점 본점 3층 (소공동)",04533,01,영업/정상,식품소분업,02-2118-2222,,,
,자가,주식회사 더푸드웨이,식품소분업,,221056.095336131,475813.797895653,2026-04-09 03:03:03,U,01,영업,391.95,,,,,,,,,2026-04-08 15:19:45,2025-03-11,391.95,487-831,"경기도 포천시 내촌면 내리 49 가동1층, 나동1층",N,,5600000-109-2025-00002,,5600000,"경기도 포천시 내촌면 능곡청정길 51-28, 가동1층, 나동1층",11189,01,영업/정상,식품소분업,,,,
,임대,"다파농, 다파는 농부 마포용강점",식품소분업,2026-04-09,195038.105005811,448896.754707491,2026-04-10 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-09 16:39:07,2025-09-15,40.93,121-874,서울특별시 마포구 염리동 174-14 마포 네이버타운,N,,3130000-109-2025-00005,,3130000,"서울특별시 마포구 큰우물로 53, 마포 네이버타운 1층 1404호 (염리동)",04154,03,폐업,식품소분업,,,,
,,현대상사,식품소분업,2026-04-06,203437.961613983,453282.947169226,2026-04-07 03:03:03,U,02,폐업,33,,,,,,,,,2026-04-06 15:51:10,2016-11-21,33.00,130-863,서울특별시 동대문구 제기동 895-13,N,,3050000-109-2016-00032,,3050000,"서울특별시 동대문구 경동시장로9나길 13, 1층 (제기동)",02571,03,폐업,식품소분업,,,,
기타,,롯데백화점영등포점,식품소분업,,191741.345847708,445970.307641467,2026-04-11 03:03:03,U,01,영업,0,0,0,0,,자율,,0,,2026-04-10 16:38:28,1991-04-29,30.20,150-899,서울특별시 영등포구 영등포동 618-496 영등포 민자역사,N,,3180000-109-1991-00097,,3180000,"서울특별시 영등포구 경인로 846, 영등포 민자역사 (영등포동)",07306,01,영업/정상,식품소분업,02-670-8000,,,
,임대,하와이킴 주식회사,식품소분업,2026-03-13,193689.693040699,450237.032242677,2026-04-10 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-09 17:19:42,2023-06-02,6.00,121-836,서울특별시 마포구 서교동 337-4,N,,3130000-109-2023-00009,,3130000,"서울특별시 마포구 와우산로 147, 2층 (서교동)",04053,03,폐업,식품소분업,,,,
