영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,임대,(주)아룸디앤씨,유통전문판매업,2026-04-06,204966.098616157,449159.452779834,2026-04-07 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-06 14:54:05,2021-11-17,6.00,133-834,서울특별시 성동구 성수동2가 300-1 삼진빌딩,N,,3030000-113-2021-00055,,3030000,"서울특별시 성동구 아차산로 113, 삼진빌딩 8층 879호 (성수동2가)",04794,03,폐업,유통전문판매업,,,,
,임대,케이에스푸드글로벌(주),유통전문판매업,2026-04-08,203821.429859258,464907.896951126,2026-04-09 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-08 13:12:29,2018-05-24,80.84,132-812,서울특별시 도봉구 도봉동 557-9 3층,N,,3090000-113-2018-00003,,3090000,"서울특별시 도봉구 도봉산3길 17, 3층 (도봉동)",01302,03,폐업,유통전문판매업,02-3494-3413,,,
,자가,(주)어니스타컴퍼니,유통전문판매업,,198506.109525673,449201.648650456,2026-04-11 03:03:03,U,01,영업,0,,,,,,,,,2026-04-10 10:21:45,2024-07-05,66.00,140-833,서울특별시 용산구 용산동2가 1-206,N,,3020000-113-2024-00015,,3020000,"서울특별시 용산구 신흥로26길 20, 1층 제1호 (용산동2가)",04337,01,영업/정상,유통전문판매업,,,,
,임대,(주)고려수지,유통전문판매업,,202023.921749857,452387.764894439,2026-04-07 03:03:03,U,01,영업,825,0,0,0,,,,0,,2026-04-06 09:24:04,2014-11-06,825.00,130-814,서울특별시 동대문구 신설동 117-6,N,,3050000-113-2014-00034,,3050000,"서울특별시 동대문구 난계로 250, 4층 (신설동)",02586,01,영업/정상,유통전문판매업,02-2231-3000,,,
,,개꿀푸드,유통전문판매업,2026-04-07,208321.253825874,454006.188209773,2026-04-08 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-07 13:16:27,2024-10-31,36.00,131-811,서울특별시 중랑구 면목동 42-63 영진슈퍼,N,,3060000-113-2024-00020,,3060000,"서울특별시 중랑구 용마산로89길 16, 1층 일부호 (면목동)",02201,03,폐업,유통전문판매업,,,,
,자가,힐라보,유통전문판매업,2026-04-13,204629.17269796,449145.686220169,2026-04-14 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-13 15:44:21,2025-08-28,8.00,133-835,서울특별시 성동구 성수동2가 314-7 에이치디앤텍빌딩,N,,3030000-113-2025-00033,,3030000,"서울특별시 성동구 연무장5길 18, 에이치디앤텍빌딩 302호 (성수동2가)",04782,03,폐업,유통전문판매업,,,,
,자가,주식회사 엑스토리,유통전문판매업,2026-04-13,203024.990115682,457135.973713309,2026-04-14 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-04-13 10:50:11,2020-03-13,50.00,142-801,서울특별시 강북구 미아동 3-29 꿈꾸는 유치원,N,,3080000-113-2020-00015,,3080000,"서울특별시 강북구 오패산로30길 75, 2층 (미아동)",01233,03,폐업,유통전문판매업,02-9800-0815,,,
,임대,주식회사 이너비긴,유통전문판매업,2026-04-13,202000.513660624,458815.97773382,2026-04-14 03:03:03,U,02,폐업,0,0,0,2,,,,0,,2026-04-13 13:56:52,2021-04-02,16.15,142-874,"서울특별시 강북구 수유동 63 삼호아파트, 수유프라자",N,,3080000-113-2021-00010,,3080000,"서울특별시 강북구 도봉로 261, 2층 232호 (수유동, 삼호아파트, 수유프라자)",01114,03,폐업,유통전문판매업,,,,상수도전용
,,(주)미래이앤아이,유통전문판매업,,188151.457662108,448323.232113506,2026-04-10 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-09 11:05:13,2021-07-22,3.30,158-814,서울특별시 양천구 목동 727-29,N,,3140000-113-2021-00023,,3140000,"서울특별시 양천구 목동중앙남로 35, 2층 233호 (목동)",07958,01,영업/정상,유통전문판매업,,,,
,,다온유통,유통전문판매업,,,,2026-04-08 03:03:03,U,01,영업,0,,,,,,,,,2026-04-07 11:18:39,2025-12-04,125.50,,경기도 광주시 매산동 201,N,,5540000-113-2025-00057,,5540000,"경기도 광주시 매자리길 94-40, 4동 (매산동)",12798,01,영업/정상,유통전문판매업,,,,
,,씨제이제일제당(주),유통전문판매업,,200219.375254761,451288.386735763,2026-04-08 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-07 13:37:57,2003-12-09,"1,200.00",100-400,서울특별시 중구 쌍림동 292 17층,N,,3010000-113-2003-00043,,3010000,"서울특별시 중구 동호로 330 (쌍림동,17층)",04560,01,영업/정상,유통전문판매업,02-726-8058,,,
,임대,(주)두베,유통전문판매업,,,,2026-04-14 03:03:03,U,01,영업,0,,,,,,,,,2026-04-13 10:57:07,2023-04-04,25.90,,경기도 광주시 고산동 90-1 1층,N,,5540000-113-2023-00019,,5540000,경기도 광주시 세피내길 47 (고산동),12790,01,영업/정상,유통전문판매업,070-4647-2781,,,
,자가,이안보감,유통전문판매업,,221523.434264735,432972.484588566,2026-04-11 03:03:03,U,01,영업,0,,,,,,,,,2026-04-10 15:59:33,2025-03-28,3.30,464-070,경기도 광주시 장지동 5-1,N,,5540000-113-2025-00010,,5540000,"경기도 광주시 장지1길 60, 3층 S01호 (장지동)",12777,01,영업/정상,유통전문판매업,,,,
,임대,주식회사 그레이트판다,유통전문판매업,,193712.476983727,450637.010875398,2026-04-09 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-08 10:16:47,2023-02-15,3.00,120-836,서울특별시 서대문구 창천동 503-8,N,,3120000-113-2023-00004,,3120000,"서울특별시 서대문구 신촌로 25, 2층 2183호 (창천동)",03785,01,영업/정상,유통전문판매업,,,,
