영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,몽슈슈 HDC아이파크몰 용산점,제과점영업,2026-04-09,196762.077394917,447480.039577359,2026-04-11 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-10 04:15:08,2026-03-09,,140-780,서울특별시 용산구 한강로3가 40-999 용산역,N,,3020000-121-2026-00011,,3020000,"서울특별시 용산구 한강대로23길 55, 용산아이파크몰 3층 (한강로3가)",04377,03,폐업,제과점영업,,,,
,,베이커리 팥샘,제과점영업,2026-04-06,167996.676444233,431133.177996559,2026-04-07 03:03:03,U,02,폐업,45.96,,,,,,,,,2026-04-06 09:22:56,2026-03-09,45.96,406-081,인천광역시 연수구 송도동 10-30 송도SK뷰센트럴 근린생활시설동 113호,N,,3520000-121-2026-00002,,3520000,"인천광역시 연수구 하모니로188번길 17, 근린생활시설동 지상1층 113호 (송도동, 송도SK뷰센트럴)",22011,03,폐업,제과점영업,,,,
,,블랑제리 왕십리점,제과점영업,,203321.562330114,451001.868687869,2026-04-14 03:03:03,U,01,영업,132,,,,,,,,,2026-04-13 16:47:22,2013-06-10,132.00,133-866,서울특별시 성동구 행당동 168-200 지상2층,N,,3030000-121-2013-00011,,3030000,"서울특별시 성동구 왕십리광장로 17, 지상2층 (행당동, 왕십리민자역사)",04750,01,영업/정상,제과점영업,02-2200-1020,,,
,,블랑제리 왕십리점,제과점영업,,203321.562330114,451001.868687869,2026-04-14 03:03:03,U,01,영업,6.6,,,,,,,,,2026-04-13 16:50:05,2016-03-10,6.60,133-866,서울특별시 성동구 행당동 168-151,N,,3030000-121-2016-00004,,3030000,"서울특별시 성동구 왕십리광장로 17, 2층 (행당동)",04750,01,영업/정상,제과점영업,02-2200-1020,,,
,,버터스토리,제과점영업,2026-04-06,201462.251313062,448744.038108098,2026-04-07 03:03:03,U,02,폐업,78.39,,,,,,,,,2026-04-06 15:58:19,2020-01-08,78.39,133-838,서울특별시 성동구 옥수동 191-3 강변벽산빌라트,N,,3030000-121-2020-00001,,3030000,"서울특별시 성동구 한림말길 56, 강변벽산빌라트 3층 305호 (옥수동)",04736,03,폐업,제과점영업,,,,
,,몽슈슈 HDC아이파크몰 용산점,제과점영업,2026-04-11,196762.077394917,447480.039577359,2026-04-13 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-12 04:15:09,2026-03-05,,140-780,서울특별시 용산구 한강로3가 40-999 용산역,N,,3020000-121-2026-00010,,3020000,"서울특별시 용산구 한강대로23길 55, 용산아이파크몰 3층 (한강로3가)",04377,03,폐업,제과점영업,,,,
,,달곰베이커리,제과점영업,,183250.616351954,442943.824259077,2026-04-14 03:03:03,U,01,영업,25.83,,,,,,,,,2026-04-13 09:53:51,2026-03-20,25.83,,경기도 부천시 원미구 역곡동 97-6 에이빌하우스 105호,N,,3871000-121-2026-00003,,3860000,"경기도 부천시 원미구 지봉로 111, 1층 105호 (역곡동, 에이빌하우스)",14668,01,영업/정상,제과점영업,,,,
,,파리바게트까페,제과점영업,2026-04-02,197948.317862349,447933.587473387,2026-04-11 03:03:03,U,02,폐업,85.8,,,,,,,,,2026-04-10 09:47:27,2021-12-10,85.80,140-023,서울특별시 용산구 용산동3가 1,N,,3020000-121-2021-00020,,3020000,"서울특별시 용산구 이태원로 22, 국방부종합민원실 2층 (용산동3가)",04383,03,폐업,제과점영업,02-792-8287,,,상수도전용
,,(주)신세계푸드베이커리장안점,제과점영업,,205423.969491537,451556.210578255,2026-04-14 03:03:03,U,01,영업,92.6,,,,,,,,,2026-04-13 16:37:25,2017-06-14,92.60,130-100,서울특별시 동대문구 장안동 580,Y,,3050000-121-2017-00002,,3050000,"서울특별시 동대문구 한천로 42, 지하1층 (장안동, 위더스빌)",02631,01,영업/정상,제과점영업,,,,
,,(주)신세계푸드베이커리장안점(2),제과점영업,,205423.969491537,451556.210578255,2026-04-14 03:03:03,U,01,영업,6.6,,,,,,,,,2026-04-13 16:34:54,2017-12-28,6.60,130-100,서울특별시 동대문구 장안동 580 위더스빌,N,,3050000-121-2017-00009,,3050000,"서울특별시 동대문구 한천로 42, 지하1층 (장안동, 위더스빌)",02631,01,영업/정상,제과점영업,,,,
,,주식회사 과일맛집,제과점영업,2026-04-10,185494.471138782,450349.104866722,2026-04-11 03:03:03,U,02,폐업,33.75,,,,,,,,,2026-04-10 14:37:40,2026-02-24,33.75,157-827,서울특별시 강서구 내발산동 667 문성빌라,N,,3150000-121-2026-00005,,3150000,"서울특별시 강서구 공항대로36길 73, 1층 104호 (내발산동, 문성빌라)",07632,03,폐업,제과점영업,,,,상수도전용
,,블랑제리 청계천점,제과점영업,,201823.908977364,452076.818664092,2026-04-14 03:03:03,U,01,영업,132,,,,,,,,,2026-04-13 13:50:53,2008-07-23,132.00,100-440,서울특별시 중구 황학동 2545 지하2층,N,,3010000-121-2008-00149,,3010000,"서울특별시 중구 청계천로 400 (황학동, 지하2층)",04572,01,영업/정상,제과점영업,02-2048-5230,,,상수도전용
,,비알코리아(주) 던킨도너츠 시청역점,제과점영업,2026-04-10,197861.454595185,451379.089909811,2026-04-11 03:03:03,U,02,폐업,157.92,,,,,,,,,2026-04-10 11:21:00,2011-03-18,157.92,100-102,서울특별시 중구 태평로2가 360-1 (1층),N,,3010000-121-2011-00005,,3010000,"서울특별시 중구 세종대로 93 (태평로2가,(1층))",04515,03,폐업,제과점영업,02-2187-3131,,,
,,파리바게뜨 충정로역점,제과점영업,,196864.942838297,450649.69804319,2026-04-10 03:03:03,U,01,영업,96.4,,,,,,,,,2026-04-09 13:51:56,2015-09-01,96.40,100-859,서울특별시 중구 중림동 200 삼성사이버빌리지 1동 104-1호,N,,3010000-121-2015-00018,,3010000,"서울특별시 중구 중림로 10 (중림동, 삼성사이버빌리지 1동 104-1호)",04502,01,영업/정상,제과점영업,02-312-8280,,,
,,파리바게뜨 종로구청점,제과점영업,,198386.829870878,452237.303784872,2026-04-09 03:03:03,U,01,영업,102,,,,,,,,,2026-04-08 11:48:26,2016-05-04,102.00,110-170,"서울특별시 종로구 견지동 110 1층 107,108호",N,,3000000-121-2016-00005,,3000000,"서울특별시 종로구 삼봉로 95, 1층 (견지동)",03150,01,영업/정상,제과점영업,,,,
,,팡파미유,제과점영업,2026-04-09,208589.363343145,445455.90405262,2026-04-11 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-10 04:15:08,2026-03-17,,138-721,서울특별시 송파구 잠실동 40-1 롯데월드,N,,3230000-121-2026-00028,,3230000,"서울특별시 송파구 올림픽로 240, 롯데백화점 잠실점 지하1층 (잠실동)",05554,03,폐업,제과점영업,,,,
,,블랑제리용산점,제과점영업,,196762.077394917,447480.039577359,2026-04-14 03:03:03,U,01,영업,163.3,,,,0,,,,,2026-04-13 11:40:29,2004-10-06,163.30,140-780,서울특별시 용산구 한강로3가 40-999 이마트 지하2층,N,0,3020000-121-2004-00007,,3020000,"서울특별시 용산구 한강대로23길 55, 지하2층 (한강로3가, 이마트)",04377,01,영업/정상,제과점영업,02-2012-1264,,,
기타,,블랑제리1용산점,제과점영업,,196762.077394917,447480.039577359,2026-04-14 03:03:03,U,01,영업,4,,,,,,,,,2026-04-13 11:43:19,2015-03-04,4.00,140-780,서울특별시 용산구 한강로3가 40-999 지상2층,N,,3020000-121-2015-00003,,3020000,"서울특별시 용산구 한강대로23길 55, 지하2층 (한강로3가, 이마트)",04377,01,영업/정상,제과점영업,02-2012-1264,,,
,,(주)신세계푸드 블랑제리 묵동점,제과점영업,,206777.731391054,456837.219624564,2026-04-14 03:03:03,U,01,영업,75.4,,,,,,,,,2026-04-13 14:31:06,2011-01-20,75.40,131-848,서울특별시 중랑구 묵동 170-1 이마트묵동점 지하2층 B201호,N,,3060000-121-2011-00001,,3060000,"서울특별시 중랑구 동일로 932, 지하2층 B201호 (묵동, 묵동이마트묵동점)",02033,01,영업/정상,제과점영업,02-948-1074,,,
,,(주)신세계푸드 블랑제리 묵동점,제과점영업,,206777.731391054,456837.219624564,2026-04-14 03:03:03,U,01,영업,9.9,,,,,,,,,2026-04-13 14:25:47,2013-03-18,9.90,131-848,서울특별시 중랑구 묵동 170-1,N,,3060000-121-2013-00003,,3060000,"서울특별시 중랑구 동일로 932 (묵동, 170-1, 이마트 묵동점 지하2층)",02033,01,영업/정상,제과점영업,02-948-1074,,,
,,아뜰리에 플로라,제과점영업,2026-04-10,184998.704481057,450740.541211248,2026-04-11 03:03:03,U,02,폐업,39.29,,,,,,,,,2026-04-10 13:15:21,2021-04-12,39.29,157-210,서울특별시 강서구 마곡동 800-1 문영 퀸즈파크11차 515호,N,,3150000-121-2021-00011,,3150000,"서울특별시 강서구 공항대로 212, 문영 퀸즈파크11차 5층 515호 (마곡동)",07806,03,폐업,제과점영업,,,,상수도전용
,,트레노치(TRE NOCI),제과점영업,2026-04-06,194369.908866542,452269.428013721,2026-04-07 03:03:03,U,02,폐업,12,,,,,,,,,2026-04-06 14:11:45,2025-08-27,12.00,120-829,서울특별시 서대문구 연희동 79-3,N,,3120000-121-2025-00017,,3120000,"서울특별시 서대문구 연희로26길 28, 지층 1호 (연희동)",03723,03,폐업,제과점영업,,,,
,,2Dots,제과점영업,2026-04-13,193502.854193741,442375.446567864,2026-04-14 03:03:03,U,02,폐업,27.72,,,,,,,,,2026-04-13 15:18:16,2017-12-19,27.72,151-930,서울특별시 관악구 신림동 1639-6 선인타운,N,,3200000-121-2017-00019,,3200000,"서울특별시 관악구 관천로 44, 선인타운 지하1층 B102(A)호 (신림동)",08776,03,폐업,제과점영업,,,,
,,(주)루엘드파리,제과점영업,2026-04-10,201463.690299789,442429.147525901,2026-04-11 03:03:03,U,02,폐업,46.87,,,,,,,,,2026-04-10 16:04:23,2025-01-20,46.87,137-866,서울특별시 서초구 서초동 1445-13 서초쌍용플래티넘 106호,N,,3210000-121-2025-00007,,3210000,"서울특별시 서초구 서초중앙로 18, 106호 (서초동, 서초쌍용플래티넘)",06720,03,폐업,제과점영업,02-322-0939,,,
,,스낵빌리지(Snack village),제과점영업,2026-04-06,211450.98307341,448145.324414535,2026-04-07 03:03:03,U,02,폐업,33,,,,,,,,,2026-04-06 09:13:59,2021-04-06,33.00,134-841,서울특별시 강동구 성내동 157-1,N,,3240000-121-2021-00005,,3240000,"서울특별시 강동구 천호대로168가길 38, 1층 104호 (성내동)",05380,03,폐업,제과점영업,,,,
