축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물판매업,주식회사 다맛푸드,식육판매업,,172241.941323204,442078.80248663,2026-04-11 22:43:56,I,0000,정상,2026-04-10 18:56:42,,2026-04-10,68.4,,인천광역시 서구 가좌동 476-12 209호,식육판매업,356000000920260020,3560000,L00,"인천광역시 서구 열우물로197번길 8, 2층 209호 (가좌동)",22824,,01,영업/정상,,,
,축산물판매업,주식회사 다맛푸드,축산물유통전문판매업,,172241.941323204,442078.80248663,2026-04-11 22:43:56,I,0000,정상,2026-04-10 18:57:52,,2026-04-10,68.4,,인천광역시 서구 가좌동 476-12 209호,축산물유통전문판매업,356000000920260021,3560000,L00,"인천광역시 서구 열우물로197번길 8, 2층 209호 (가좌동)",22824,,01,영업/정상,,,
,축산물판매업,(주)풍년에프씨,축산물유통전문판매업,,186442.311166067,441180.587238876,2026-04-11 21:13:50,I,0000,정상,2026-04-10 13:34:48,,2026-04-09,9,,경기도 광명시 광명동 785 광명해모로이연,축산물유통전문판매업,390000000920260005,3900000,L00,"경기도 광명시 목감로 58, 112동 2003호 (광명동, 광명해모로이연)",14295,,01,영업/정상,,,
,축산물판매업,주식회사 한성미트,축산물유통전문판매업,,203794.722205901,412640.560149756,2026-04-11 21:43:51,I,0000,정상,2026-04-10 17:05:42,,2026-04-10,0,,경기도 화성시 병점구 진안동 914-8 뱅뱅프라자,축산물유통전문판매업,576000000920260010,5530000,L00,"경기도 화성시 병점구 효행로 1075-7, 뱅뱅프라자 6층 601호 (진안동)",18398,,01,영업/정상,,,
,축산물판매업,물왕고깃간,식육판매업,,185733.318543878,431488.651408087,2026-04-11 21:43:51,I,0000,정상,2026-04-10 09:10:46,,2026-04-10,11.1,,경기도 시흥시 물왕동 102,식육판매업,401000000920260013,4010000,000,경기도 시흥시 동서로857번길 28-14 (물왕동),14983,,01,영업/정상,,,
,축산물판매업,주식회사엠디알코리아,축산물유통전문판매업,,180878.941038538,424612.422892591,2026-04-11 21:43:54,I,0000,정상,2026-04-10 16:50:21,,2026-04-10,21.45,,경기도 안산시 단원구 신길동 1229 리드 스마트스퀘어 지식산업센터 CB-16호,축산물유통전문판매업,556000000920260007,3930000,L00,"경기도 안산시 단원구 산단로 325, 리드 스마트스퀘어 지식산업센터 CB-163호 (신길동)",15426,,01,영업/정상,,,
,축산물판매업,서울경기양돈축산업협동조합,식육판매업,,210566.875626134,447402.629676369,2026-04-11 22:16:24,I,0000,정상,2026-04-10 17:34:04,,2026-04-10,0,,서울특별시 강동구 성내동 451 농협서울지역본부,식육판매업,324000000920260013,3240000,L00,"서울특별시 강동구 올림픽로 528, 농협서울지역본부 (성내동)",05398,,01,영업/정상,,,
,축산물판매업,명인미트,식육판매업,,193838.398370816,451917.623381651,2026-04-11 22:14:00,I,0000,정상,2026-04-10 15:31:16,,2026-04-10,331.58,,서울특별시 서대문구 연희동 122-2 연희빌딩 지하1층호,식육판매업,312000000920260009,3120000,L00,"서울특별시 서대문구 증가로 15, 연희빌딩 지하1층 (연희동)",03703,,01,영업/정상,,,
,축산물판매업,(주)은자푸드,식육판매업,,203459.158308526,451831.887563369,2026-04-14 03:03:03,U,0000,정상,2026-04-13 21:09:11,,1996-08-01,33.93,,서울특별시 성동구 마장동 481-5 1층,식육판매업,303000000919960138,3030000,L00,"서울특별시 성동구 마장로35나길 5, 1층 (마장동)",04752,,01,영업/정상,,,
,축산물판매업,가보정육점,식육판매업,,193570.567945,387396.927309559,2026-04-14 03:03:03,U,0000,정상,2026-04-13 16:54:55,,2013-11-04,52,,경기도 평택시 안중읍 안중리 281-8,식육판매업,391000000920130043,3910000,000,경기도 평택시 안중읍 안현로서2길 30,17936,,01,영업/정상,,,
,축산물판매업,성남농협 본점(한우직거래),식육판매업,2026-04-06,211388.480709308,436792.365438246,2026-04-14 03:03:03,U,0004,말소,2026-04-13 17:37:50,,2026-03-17,12,,경기도 성남시 중원구 성남동 3210 성남농협,식육판매업,378000000920260027,3780000,L00,"경기도 성남시 중원구 광명로 3, 성남농협 (성남동)",13355,,04,취소/말소/만료/정지/중지,,,033-345-9007
,축산물판매업,성남농협 수내역지점(한우직거래),식육판매업,2026-04-06,209960.145649314,430596.868672123,2026-04-14 03:03:03,U,0004,말소,2026-04-13 17:38:10,,2026-03-17,12,,경기도 성남시 분당구 수내동 19-1 성남농협,식육판매업,378000000920260028,3780000,L00,"경기도 성남시 분당구 백현로101번길 22, 성남농협 (수내동)",13595,,04,취소/말소/만료/정지/중지,,,033-345-9007
,축산물판매업,성남농협 정자지점(한우직거래),식육판매업,2026-04-06,209919.125,429643.019999999,2026-04-14 03:03:03,U,0004,말소,2026-04-13 17:38:27,,2026-03-17,12,,경기도 성남시 분당구 정자동 65-5 현대빌딩,식육판매업,378000000920260029,3780000,L00,"경기도 성남시 분당구 느티로 73, 현대빌딩 (정자동)",13610,,04,취소/말소/만료/정지/중지,,,033-345-9007
,축산물판매업,춘천철원화천양구 축산농협 하나로마트(강남점),식육판매업,2026-04-08,263244.686473259,484697.696269724,2026-04-14 03:03:03,U,0002,폐업,2026-04-13 13:34:03,,1996-05-17,0,,강원특별자치도 춘천시 온의동 515,식육판매업,418000000919960018,4181000,L00,강원특별자치도 춘천시 경춘로 2342 (온의동),,,03,폐업,,,
,축산물판매업,주식회사 세원프레시,식육판매업,,205647.528274503,451946.020382458,2026-04-14 03:03:03,U,0000,정상,2026-04-13 12:01:06,,2023-05-12,92.6,,서울특별시 동대문구 장안동 164-11 1층,식육판매업,305000000920230013,3050000,L00,"서울특별시 동대문구 한천로20길 3, 1층 (장안동)",02626,,01,영업/정상,,,
,축산물판매업,빙그레이화대리점,우유류판매업,,199930.67937036,452732.540439309,2026-04-14 03:03:03,U,0000,정상,2026-04-13 10:17:30,,1998-12-05,0,,서울특별시 종로구 연건동 295-1,우유류판매업,300000000919980012,3000000,000,"서울특별시 종로구 율곡로13길 27, 1층 (연건동)",03081,,01,영업/정상,,,07634222
,축산물판매업,칠천,식용란수집판매업,,217659.813329285,448627.149927317,2026-04-08 03:03:03,U,0000,정상,2026-04-07 17:53:19,,2020-04-01,62.24,,경기도 하남시 덕풍동 373-5,식용란수집판매업,404000000920200020,4040000,000,"경기도 하남시 수리남로6번길 3, 1층 (덕풍동)",12975,,01,영업/정상,,,
,축산물판매업,쉬핑뱅크 주식회사,축산물유통전문판매업,,201606.652554407,445457.36515617,2026-04-10 03:03:03,U,0000,정상,2026-04-09 09:36:42,,2026-02-12,72,,서울특별시 서초구 잠원동 39-13,축산물유통전문판매업,321000000920260012,3210000,L00,"서울특별시 서초구 신반포로45길 18, 5층 502호 (잠원동)",06531,,01,영업/정상,,,02-786-1705
,축산물판매업,영진상회,식육판매업,,205800.406099969,451886.972676276,2026-04-08 03:03:03,U,0000,정상,2026-04-07 10:48:43,,2001-07-23,24.49,,서울특별시 동대문구 장안동 166-9,식육판매업,305000000920010033,3050000,000,"서울특별시 동대문구 답십리로66길 80, 1층 (장안동)",02626,,01,영업/정상,,,02-246-2306
,축산물판매업,태양축산,식육판매업,,206216.222274705,405490.081852264,2026-04-07 03:03:03,U,0000,정상,2026-04-06 16:39:50,,2003-05-17,24.96,,경기도 오산시 오산동 853-14,식육판매업,400000000920000008,4000000,000,경기도 오산시 오산로272번길 19-2 (오산동),,,01,영업/정상,,,
,축산물판매업,주식회사 참바른,축산물유통전문판매업,2026-04-08,208654.34826587,440476.465518089,2026-04-09 03:03:03,U,0002,폐업,2026-04-08 15:31:19,,2024-05-30,344.98,,서울특별시 강남구 세곡동 609,축산물유통전문판매업,322000000920240043,3220000,L00,"서울특별시 강남구 헌릉로569길 39-3, 3층 (세곡동)",06376,,03,폐업,,,070-5001-1734
