사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,약국영업면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
서울수약국,,196907.998491537,450316.399509271,2026-04-07 03:03:03,U,2018-03-21,13,영업중,2026-04-06 16:37:38,,2018-03-21,,서울특별시 중구 만리동2가 10번지 1호,PHMD120183010033084000006,3010000,46,"서울특별시 중구 만리재로 177, 한라비발디 센트랄상가 9호 (만리동2가)",04501,01,영업/정상,,,02-363-3383
삼성바른약국,2026-04-09,200725.662254155,451464.620251226,2026-04-10 03:03:03,U,2025-02-12,03,폐업,2026-04-09 11:34:38,,2025-02-12,,서울특별시 중구 을지로7가 58-2,PHMD120253010033084000002,3010000,37,"서울특별시 중구 을지로 280-1, 1층 (을지로7가)",04565,03,폐업,,,02-2268-5827
신태양약국,2026-04-08,199761.010456703,447586.303219208,2026-04-09 03:03:03,U,1977-07-20,03,폐업,2026-04-08 15:45:43,,1977-07-20,,서울특별시 용산구 보광동 265번지 213호 신태양약국,PHMD119773020033084000003,3020000,17,"서울특별시 용산구 우사단로2길 23, 신태양약국 (보광동)",04413,03,폐업,,,02-794-0744
천사약국,,203161.490165952,452794.8079147,2026-04-07 03:03:03,U,2021-11-29,13,영업중,2026-04-06 10:25:55,,2021-11-29,,서울특별시 동대문구 용두동 52-8,PHMD120213050034084000018,3050000,33,"서울특별시 동대문구 왕산로26길 13, 1층 (용두동)",02566,01,영업/정상,,,02-965-7804
참사랑온누리약국,,205247.577383779,451893.093734117,2026-04-07 03:03:03,U,2022-11-09,13,영업중,2026-04-06 10:36:38,,2022-11-09,,서울특별시 동대문구 답십리동 990 두산아파트,PHMD120223050034084000011,3050000,20,"서울특별시 동대문구 답십리로56길 21, 상가동 102호 (답십리동, 두산아파트)",02613,01,영업/정상,,,02-2213-7588
강북다모아약국,2026-04-08,202538.970810188,457104.287727681,2026-04-09 03:03:03,U,2002-09-02,03,폐업,2026-04-08 15:24:09,,2002-09-02,142-805,서울특별시 강북구 송천동 460번지 108호,PHMD120023080033084000006,3080000,16,서울특별시 강북구 도봉로 79 (미아동),01205,03,폐업,,,02-945-2088
슬기약국,,204911.210628232,456498.098027475,2026-04-08 03:03:03,U,2021-03-17,13,영업중,2026-04-07 16:48:55,,2021-03-17,,서울특별시 성북구 장위동 64-121 104-2호,PHMD120213070034084000003,3070000,29,"서울특별시 성북구 화랑로 245, 1층 104-2호 (장위동)",02772,01,영업/정상,,,02-6396-9543
소원약국,,202190.312961142,458278.675494656,2026-04-10 03:03:03,U,2023-12-28,13,영업중,2026-04-09 10:13:29,,2023-12-28,,서울특별시 강북구 미아동 209-1,PHMD120233080033084000007,3080000,53,서울특별시 강북구 도봉로 205 (미아동),01126,01,영업/정상,,,
라파엘약국,2026-04-06,203650.09345343,462021.773276538,2026-04-14 03:03:03,U,2024-04-11,03,폐업,2026-04-13 16:05:34,,2024-04-11,,서울특별시 도봉구 창동 749-7 1층,PHMD120243090033084000003,3090000,45,"서울특별시 도봉구 도봉로 630, 1층 (창동)",01397,03,폐업,,,02-996-0767
산들약국,,203038.041887993,462564.347474152,2026-04-07 03:03:03,U,2016-04-26,13,영업중,2026-04-06 11:21:04,,2016-04-26,,서울특별시 도봉구 방학동 632번지 57호 1층,PHMD120163090033084000004,3090000,30,"서울특별시 도봉구 도당로13길 17, 1층 (방학동)",01357,01,영업/정상,,,070-4369-0101
