번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),약국영업면적,지정일자,
1,약국,01_01_06_P,3210000,PHMD120263210034084000009,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 반포동 722,"서울특별시 서초구 강남대로 531, B722 지하1층 101호 (반포동)",06536,비722약국,2026-03-27 15:21:07,I,2026-03-29 00:20:01,,201810.402123996,445223.485996894,14.88,20260327,
5,약국,01_01_06_P,4060000,PHMD120264060482084000002,2026-03-27,,01,영업/정상,13,영업중,,,,,070-4099-8062,,,경기도 파주시 와동동 1471-3 힐스테이트 더 운정,"경기도 파주시 와석순환로515번길 10, 힐스테이트 더 운정 P2동 2층 2801, 2802호 (와동동)",10896,운정빌리지약국,2026-03-27 14:40:15,I,2026-03-29 00:20:01,,179108.746801655,469238.71813904,454.38,20260327,
6,약국,01_01_06_P,3240000,PHMD120263240033084000005,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 천호동 453-10 강동미즈산후조리원,"서울특별시 강동구 천호대로159길 13, 강동미즈산후조리원 1층 일부호 (천호동)",05335,하나미즈약국,2026-03-27 08:58:10,I,2026-03-29 00:20:01,,211206.540974151,448438.130467194,63.5,20260326,
7,약국,01_01_06_P,3140000,PHMD119823140033084000001,1982-02-05,,01,영업/정상,13,영업중,,,,,2603-7284,,,서울특별시 양천구 신정동 1148번지 2호,서울특별시 양천구 중앙로 235 (신정동),08077,세왕약국,2026-03-27 11:07:38,U,2026-03-29 02:40:00,,187007.685,446135.935,22.4,19820205,
9,약국,01_01_06_P,3830000,PHMD119823830076084000002,1982-11-18,,01,영업/정상,13,영업중,,,,,031-449-3779,,430-835,경기도 안양시 만안구 안양동 707번지 23호 2층,"경기도 안양시 만안구 장내로 86, 2층 (안양동)",13998,인화약국,2026-03-27 10:12:21,U,2026-03-29 02:40:00,,192700.391998964,432551.059972199,21,19821118,
15,약국,01_01_06_P,3150000,PHMD120213150037084000024,2021-11-29,,01,영업/정상,13,영업중,,,,,02-2601-4308,,,서울특별시 강서구 내발산동 723-2 우장산역엠버리움빌딩,"서울특별시 강서구 강서로 259, 우장산역엠버리움빌딩 103호 (내발산동)",07639,평화약국,2026-03-27 16:02:40,U,2026-03-29 02:40:00,,185438.777192645,449637.299373246,66.6,20211129,
19,약국,01_01_06_P,3780000,PHMD120043780062084000002,2004-02-02,,01,영업/정상,13,영업중,,,,,031-733-7567,,461-803,경기도 성남시 수정구 산성동 1455번지 1층,"경기도 성남시 수정구 수정로 346, 107호 (산성동)",13127,약진보건약국,2026-03-27 09:13:31,U,2026-03-29 02:40:00,,213205.654437444,439163.395164723,28,20040202,
20,약국,01_01_06_P,3150000,PHMD120133150037084000002,2013-01-14,,01,영업/정상,13,영업중,,,,,3663-1972,,,서울특별시 강서구 등촌동 641-11 청림오피스텔,"서울특별시 강서구 공항대로45길 44, 청림오피스텔 1층 107호 (등촌동)",07569,오렌지약국,2026-03-27 15:57:55,U,2026-03-29 02:40:00,,187197.468812217,450519.999405521,31.25,20130114,
25,약국,01_01_06_P,3220000,PHMD120173220033084000052,2017-09-29,,01,영업/정상,13,영업중,,,,,025523800,,,서울특별시 강남구 역삼동 822번지 1호 1층,"서울특별시 강남구 테헤란로 105, 1층 (역삼동)",06134,에이타워약국,2026-03-27 13:15:47,U,2026-03-29 02:40:00,,202451.518293114,444050.818730175,41.5,20170929,
26,약국,01_01_06_P,3230000,PHMD119873230034084000024,1987-07-23,,01,영업/정상,13,영업중,,,,,02-415-7014,,,서울특별시 송파구 석촌동 273번지,"서울특별시 송파구 가락로 82, 102호 (석촌동)",05696,금강약국,2026-03-27 09:23:49,U,2026-03-29 02:40:00,,209247.599133964,444240.553764982,30.78,19870723,
27,약국,01_01_06_P,3020000,PHMD120183020033084000017,2018-11-07,,03,폐업,03,폐업,2026-03-27,,,,02-3273-1553,,,,"서울특별시 용산구 청파로 74, 전자랜드 1층 A147호 (한강로3가)",04372,팜그린약국,2026-03-27 11:11:57,U,2026-03-29 02:40:00,,196370.746398773,447841.698787531,31.1,20181107,
