"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","즉석판매제조가공업","07_22_19_P","3520000","3520000-107-2025-00386","2025-12-31","","01","영업/정상","01","영업","","","","","","","406-081","인천광역시 연수구 송도동 170-1 송도 트리플스트리트","인천광역시 연수구 송도과학로16번길 33-1, 송도 트리플스트리트 A동 지하2층 일부(밀크팜B203d SNF 매장 옆, 판매시설 내)호 (송도동)","21984","딜라잇","2025-12-31 13:14:52","I","2026-01-03 00:20:02","즉석판매제조가공업","169744.688401816","431034.673654182","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","즉석판매제조가공업","07_22_19_P","3520000","3520000-107-2025-00387","2025-12-31","","01","영업/정상","01","영업","","","","","","","406-081","인천광역시 연수구 송도동 170-1 송도 트리플스트리트","인천광역시 연수구 송도과학로16번길 33-1, 송도 트리플스트리트 A동 지하2층 일부(밀크팜B203d SNF 매장 옆, 판매시설 내)호 (송도동)","21984","딜라잇","2025-12-31 14:27:24","I","2026-01-03 00:20:02","즉석판매제조가공업","169744.688401816","431034.673654182","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","즉석판매제조가공업","07_22_19_P","3520000","3520000-107-2025-00388","2025-12-31","","01","영업/정상","01","영업","","","","","","","406-081","인천광역시 연수구 송도동 174-3 송도 트리플스트리트","인천광역시 연수구 송도과학로16번길 33-2, 송도 트리플스트리트 B동 지하3층 일부(CHAI797 매장 옆, 판매시설 내)호 (송도동)","21984","성우유통(향기나는솜사탕)","2025-12-31 15:03:31","I","2026-01-03 00:20:02","즉석판매제조가공업","169826.892106061","430969.982530481","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","즉석판매제조가공업","07_22_19_P","3520000","3520000-107-2025-00389","2025-12-31","","01","영업/정상","01","영업","","","","","","","406-081","인천광역시 연수구 송도동 174-3 송도 트리플스트리트","인천광역시 연수구 송도과학로16번길 33-2, 송도 트리플스트리트 B동 지하3층 일부(CHAI797 매장 옆, 판매시설 내)호 (송도동)","21984","성우유통(향기나는솜사탕)","2025-12-31 15:15:32","I","2026-01-03 00:20:02","즉석판매제조가공업","169826.892106061","430969.982530481","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","즉석판매제조가공업","07_22_19_P","5710000","5730000-107-2023-00311","2023-11-14","","01","영업/정상","01","영업","","","","","","36.90","361-825","충청북도 청주시 흥덕구 비하동 140-22 1층 102호","충청북도 청주시 흥덕구 가로수로1131번길 110, 1층 102호 (비하동)","28366","이반찬","2025-12-31 11:19:36","I","2026-01-03 00:20:02","즉석판매제조가공업","237658.412747211","347797.801494864","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","즉석판매제조가공업","07_22_19_P","5670000","5670123-107-2025-00185","2025-12-31","","01","영업/정상","01","영업","","","","","","","641-864","경상남도 창원시 의창구 동읍 용잠리 398 동읍농협하나로마트 1층 일부호","경상남도 창원시 의창구 동읍 용잠로 21, 동읍농협하나로마트 1층 일부호","51132","스마일유통","2025-12-31 14:18:47","I","2026-01-03 00:20:02","즉석판매제조가공업","353387.045179268","199096.584316712","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"7","즉석판매제조가공업","07_22_19_P","5670000","5670184-107-2025-00163","2025-12-31","","01","영업/정상","01","영업","","","","","","","630-813","경상남도 창원시 마산회원구 양덕동 165-7 창원롯데캐슬하버팰리스","경상남도 창원시 마산회원구 양덕동2길 20, 상가동 일부호 (양덕동, 창원롯데캐슬하버팰리스)","51345","주식회사 맨땅","2025-12-31 14:29:19","I","2026-01-03 00:20:02","즉석판매제조가공업","344772.768925647","192730.645368529","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","즉석판매제조가공업","07_22_19_P","4231000","4231000-107-2025-00071","2025-12-31","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 속초시 청호동 459-134 이마트","강원특별자치도 속초시 설악금강대교로 12, 이마트 1층 (청호동)","24885","농촌사랑(주)","2025-12-31 09:45:06","I","2026-01-03 00:20:02","즉석판매제조가공업","339761.153723826","522089.806016399","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"9","즉석판매제조가공업","07_22_19_P","3550000","3550000-107-2025-00229","2025-12-31","","01","영업/정상","01","영업","","","","","051 717 2950","0.00","407-816","인천광역시 계양구 작전동 448-7 HOME PLUS 작전점","인천광역시 계양구 계양대로 27, HOME PLUS 작전점 1층 수산코너 일부호 (작전동)","21111","주식회사 아미푸드","2025-12-31 14:14:04","I","2026-01-03 00:20:02","즉석판매제조가공업","175291.982296046","447141.041163927","즉석판매제조가공업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"10","즉석판매제조가공업","07_22_19_P","3250000","3250000-107-2025-00131","2025-12-31","","01","영업/정상","01","영업","","","","","","0.00","600-017","부산광역시 중구 중앙동7가 20-1 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 지하1층 (중앙동7가)","48944","심봉사도로케","2025-12-31 17:25:28","I","2026-01-03 00:20:02","즉석판매제조가공업","385590.814676765","179553.867031936","즉석판매제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
