"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","일반음식점","07_24_04_P","3360000","3360000-101-2025-00171","2025-12-31","","01","영업/정상","01","영업","","","","","","37.17","618-200","부산광역시 강서구 명지동 3358-1 103호","부산광역시 강서구 명지국제8로 251, 103호 (명지동)","46773","노랑강정 명지국제신도시점","2025-12-31 09:45:23","I","2026-01-03 00:20:02","호프/통닭","375045.300140699","179383.163196361","호프/통닭","0","0","","","","0","0","0","0","0","","0","0","N","37.17","","","",
"2","일반음식점","07_24_04_P","6510000","6510000-101-2025-00852","2025-12-31","","01","영업/정상","01","영업","","","","","","288.00","695-909","제주특별자치도 제주시 애월읍 상귀리 528-1","제주특별자치도 제주시 애월읍 항몽로 134, 2층","63057","신아한식뷔페","2025-12-31 14:26:51","I","2026-01-03 00:20:02","한식","144945.616809074","-2495.33958091315","한식","0","0","","","","0","0","0","0","0","","0","0","Y","288","","","",
"3","일반음식점","07_24_04_P","5070000","5070000-101-2025-00321","2025-12-31","","01","영업/정상","01","영업","","","","","","68.00","760-801","경상북도 안동시 풍산읍 막곡리 715 영무예다음 포레스트","경상북도 안동시 풍산읍 청회길 432, 108호 (영무예다음 포레스트)","36622","온정가","2025-12-31 16:14:43","I","2026-01-03 00:20:02","기타","","","기타","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","68","","","",
"4","일반음식점","07_24_04_P","3100000","3100000-101-2025-00467","2025-12-31","","01","영업/정상","01","영업","","","","","","33.12","139-846","서울특별시 노원구 월계동 476-12","서울특별시 노원구 광운로2길 45, 1층 1호 (월계동)","01899","장수생고기집","2025-12-31 14:02:09","I","2026-01-03 00:20:02","한식","205152.467464844","457179.79322197","한식","0","0","","","","0","0","0","0","0","","0","0","N","33.12","","","",
"5","일반음식점","07_24_04_P","4160000","4160000-101-2025-00120","2025-12-31","","01","영업/정상","01","영업","","","","","","62.40","477-851","경기도 가평군 설악면 가일리 222-2","경기도 가평군 설악면 유명산길 79-29","12473","하얀산장","2025-12-31 13:40:55","I","2026-01-03 00:20:02","한식","243335.702782356","454733.145401075","한식","0","0","","","지하수전용","0","0","0","0","0","","0","0","N","62.4","","","",
"6","일반음식점","07_24_04_P","4810000","4810000-101-2025-00390","2025-12-31","","01","영업/정상","01","영업","","","","","","145.83","550-030","전라남도 여수시 수정동 343-4","전라남도 여수시 오동도로 73, 1층 (수정동)","59744","정남옥 여수점","2025-12-31 10:49:13","I","2026-01-03 00:20:02","한식","268623.097100368","138598.611265573","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","145.83","","","",
"7","일반음식점","07_24_04_P","3140000","3140000-101-2025-00399","2025-12-31","","01","영업/정상","01","영업","","","","","","145.50","158-860","서울특별시 양천구 신정동 1008-14 오르비에토빌딩","서울특별시 양천구 목동로9길 2, 오르비에토빌딩 1층 (신정동)","08023","수복삼계탕 목동점","2025-12-31 14:48:20","I","2026-01-03 00:20:02","한식","187939.394942915","446770.161017633","한식","0","0","","","","0","0","0","0","0","","0","0","N","145.5","","","",
"8","일반음식점","07_24_04_P","3060000","3060000-101-2025-00328","2025-12-31","","01","영업/정상","01","영업","","","","","0222099958","29.00","131-816","서울특별시 중랑구 면목동 100-64","서울특별시 중랑구 상봉로11길 32, 1층 (면목동)","02162","총각네쌈밥","2025-12-31 10:36:30","I","2026-01-03 00:20:02","한식","208026.541546729","454197.743039902","한식","0","0","","","","0","0","0","0","0","","0","0","N","29","","","",
"9","일반음식점","07_24_04_P","3170000","3170000-101-2025-00315","2025-12-31","","01","영업/정상","01","영업","","","","","","40.22","153-806","서울특별시 금천구 독산동 148-10","서울특별시 금천구 가산로 82, 1층 (독산동)","08533","투맨 피자","2025-12-31 13:20:54","I","2026-01-03 00:20:02","기타","190660.404689423","441272.712572967","기타","0","0","","","","0","0","0","0","0","","0","0","N","40.22","","","",
"10","일반음식점","07_24_04_P","3170000","3170000-101-2025-00316","2025-12-31","","01","영업/정상","01","영업","","","","","02 802 9588","33.00","153-857","서울특별시 금천구 시흥동 882-54","서울특별시 금천구 시흥대로 238, 1층 (시흥동)","08626","소담김밥","2025-12-31 14:55:34","I","2026-01-03 00:20:02","한식","191148.965865391","439220.26822065","한식","0","0","","","","0","0","0","0","0","","0","0","N","33","","","",
