번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,
2,출판사,04_17_01_P,3210000,CDFG1251002026000087,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 서초동 ****-* 롯데캐슬클래식아파트,"서울특별시 서초구 서운로 ***, ***동 ***호 (서초동, 롯데캐슬클래식아파트)",06610,더정성북스,2026-03-27 09:58:16,I,2026-03-29 00:20:01,,201826.205600146,444200.460292696,출판사,출판인쇄업,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,
3,출판사,04_17_01_P,3210000,CDFG1251002026000088,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 서초동 **** 삼풍아파트,"서울특별시 서초구 서초중앙로 ***, **동 ****호 (서초동, 삼풍아파트)",06601,씨앤케이 북스,2026-03-27 12:21:14,I,2026-03-29 00:20:01,,201310.903586376,444037.347883392,출판사,출판인쇄업,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,
4,출판사,04_17_01_P,3210000,CDFG1251002026000089,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 서초동 ****-* 양지원,"서울특별시 서초구 법원로*길 **, 양지원 *층 ****호 (서초동)",06595,주식회사 알씨비씨 (RCBC),2026-03-27 15:01:05,I,2026-03-29 00:20:01,,200675.805294681,443427.113896821,출판사,출판인쇄업,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,
10,출판사,04_17_01_P,3220000,CDFG1251002026000145,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 도곡동 ***-** *층,"서울특별시 강남구 남부순환로***길 **, *층 (도곡동)",06268,채운랩,2026-03-27 09:38:19,I,2026-03-29 00:20:01,,203172.90655758,442638.597905772,출판사,출판인쇄업,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,
11,출판사,04_17_01_P,3220000,CDFG1251002026000146,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 대치동 ***-** 선릉역 롯데골드로즈* ****호,"서울특별시 강남구 선릉로**길 **, 선릉역 롯데골드로즈* ****호 (대치동)",06193,임글리시팩토리,2026-03-27 11:29:23,I,2026-03-29 00:20:01,,204536.822020513,444660.784269339,출판사,출판인쇄업,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,
12,출판사,04_17_01_P,3220000,CDFG1251002026000147,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 자곡동 ***-* LH수서*단지아파트 ***동 ***호,"서울특별시 강남구 자곡로**길 **, ***동 ***호 (자곡동, LH수서*단지아파트)",06369,노재,2026-03-27 13:25:53,I,2026-03-29 00:20:01,,209456.947569316,441862.739646722,출판사,출판인쇄업,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,
13,출판사,04_17_01_P,3220000,CDFG1251002026000148,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 대치동 ***-** ***호,"서울특별시 강남구 삼성로**길 **, ***호 (대치동)",06196,정진일본어,2026-03-27 14:17:04,I,2026-03-29 00:20:01,,204768.693140649,444502.617734994,출판사,출판인쇄업,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,
15,출판사,04_17_01_P,3130000,CDFG1251002026000104,2021-04-02,,01,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 합정동 ***-* ***호,"서울특별시 마포구 토정로*길 *-*, ***호 (합정동)",04085,시안앤싯,2026-03-27 17:52:52,I,2026-03-29 00:20:01,,192380.94275006,449216.493262433,출판사,출판인쇄업,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,
16,출판사,04_17_01_P,3220000,CDFG1251002026000149,2025-06-17,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 논현동 ***-* *층 ***A호,"서울특별시 강남구 강남대로***길 **, *층 ***A호 (논현동)",06121,투비닥터,2026-03-27 16:00:07,I,2026-03-29 00:20:01,,202418.090672911,444911.502269899,출판사,출판인쇄업,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,
18,출판사,04_17_01_P,3990000,CDFG1251002026000041,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,경기도 남양주시 와부읍 덕소리 ***-* 덕소마리드블랑 ***호,"경기도 남양주시 와부읍 덕소로***번길 **, 덕소마리드블랑 ***호",12215,허윤정수학연구소,2026-03-26 17:38:12,I,2026-03-29 00:20:01,,218432.47503151,453657.182272248,출판사,출판인쇄업,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,
