사업장명,사업장부지용도구분명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지면적,지번주소,제조구분명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자
인천광역시연수구청,주거용,제조,,171441.215605644,434235.67959606,2026-04-05 23:07:42,I,01,영업중,2020-12-01 10:19:13,1999-04-01,,인천광역시 연수구 동춘동 923-5 연수구청,냉동,2000352001102200007,3520000,"인천광역시 연수구 원인재로 115, 연수구청 (동춘동)",21967,,01,영업/정상,,
재단법인송도테그노파크,기타,제조,,,,2026-04-05 23:07:43,I,04,타시군구이관,2020-01-18 09:51:51,2002-09-16,,인천광역시 연수구 송도동 994,일반,2002352004702100002,3520000,,,,05,제외/삭제/전출,,
(주)셀트리온,공업용,제조,,,,2026-04-05 23:07:46,I,04,타시군구이관,2012-02-01 16:35:06,2004-02-20,,인천광역시 연수구 송도동 1001,냉동,2004352004702100001,3520000,,,,05,제외/삭제/전출,,
학교법인 가천학원,공공용지등,제조,,172299.004968568,435653.885663545,2026-04-05 23:07:47,I,01,영업중,2004-01-19 00:00:00,2004-01-19,,인천광역시 연수구 연수동 534-2,일반,2004352004702200001,3520000,인천광역시 연수구 함박뫼로 191  (연수동),,,01,영업/정상,,
한국전력공사 남인천배전사업소,상업.업무용,제조,,170568.203013788,435928.173035002,2026-04-05 23:07:48,I,01,영업중,2016-06-14 19:09:59,2004-12-15,,인천광역시 연수구 청학동 448-2,일반,2004352004702200003,3520000,인천광역시 연수구 비류대로 304 (청학동),,,01,영업/정상,,
경인권역재활병원,업무용,제조,,172238.089188488,435151.592701698,2026-04-05 23:07:52,I,01,영업중,2024-12-24 16:43:08,2009-10-28,,인천광역시 연수구 연수동 580-3,냉동,2009352006802200001,3520000,인천광역시 연수구 원인재로 263 (연수동),,,01,영업/정상,,
인천환경공단 승기사업소 (1호기),,제조,,170478.286881553,432760.400023152,2026-04-05 23:07:53,I,01,영업중,2020-04-07 17:15:15,2010-01-28,,인천광역시 연수구 동춘동 947,냉동,2010352006802200001,3520000,,,,01,영업/정상,,
인천환경공단 승기사업소 (2호기),,제조,,170478.286881553,432760.400023152,2026-04-05 23:07:54,I,01,영업중,2020-04-07 17:55:49,2010-01-28,,인천광역시 연수구 동춘동 947,냉동,2010352006802200002,3520000,,,,01,영업/정상,,
선학국제빙상경기장,,제조,,173629.877168462,436552.532787502,2026-04-05 23:07:55,I,01,영업중,2025-02-11 12:47:13,2014-07-03,,인천광역시 연수구 선학동 68,냉동,2014352010502100001,3520000,인천광역시 연수구 경원대로 526 (선학동),,,01,영업/정상,,
(주)송도골프,,제조,,169044.825792311,434772.329623751,2026-04-05 23:07:56,I,01,영업중,2021-06-28 17:45:01,2015-06-09,,인천광역시 연수구 옥련동 595,냉동,2015352012502200001,3520000,인천광역시 연수구 능허대로 236 (옥련동),21960,2015-06-22,01,영업/정상,,
(주)메이저스포츠산업,지정되지않음,제조,,171733.347463511,435103.215823335,2026-04-05 23:07:59,I,01,영업중,2020-12-01 10:23:42,2019-12-16,,인천광역시 연수구 연수동 578 문화공원,냉동,2019352017502100001,3520000,"인천광역시 연수구 새말로 120, 문화공원 (연수동)",21928,,01,영업/정상,,
(주)이마트 연수점,,제조,,171698.988312684,433623.667155133,2026-04-05 23:08:00,I,01,영업중,2024-04-23 09:52:43,2020-05-15,,인천광역시 연수구 동춘동 926-9 이마트,냉동,2020352017502100002,3520000,"인천광역시 연수구 경원대로 184, 이마트 (동춘동)",21975,,01,영업/정상,,
(주)셀트리온,공업기타,저장소,,,,2026-04-05 23:07:45,I,04,타시군구이관,2012-02-01 16:34:31,2003-11-01,,인천광역시 연수구 송도동 1001-5,일반,2003352004702100002,3520000,,,,05,제외/삭제/전출,,
