신청일자,항목값1,사업장명,업소구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
2000-02-05,관급봉투,부성슈퍼,지정,,,,2026-04-05 23:07:51,I,2000-02-05,11,영업,2009-10-30 14:58:20,2000-02-05,인천광역시 계양구 효성1동 260번지 1호,407-041,인천광역시 계양구 효성동 260-1,355000014200000001,3550000,,,,01,영업/정상,,,
2009-10-23,관급봉투,바이더웨이작전중앙점,지정,,176112.171566039,447653.463017369,2026-04-05 23:07:52,I,2009-10-23,11,영업,2009-10-30 15:01:33,2009-10-23,,407-061,인천광역시 계양구 작전동 98-3,355000014200900001,3550000,,,,01,영업/정상,,,
2009-10-20,관급봉투,오감만족,지정,,176758.03,448160.85,2026-04-05 23:07:53,I,2009-10-20,11,영업,2009-10-30 16:07:40,2009-10-20,,407-054,인천광역시 계양구 계산동 1080-6,355000014200900002,3550000,,,,01,영업/정상,,,
2009-10-19,관급봉투,믿음상회,지정,,178153.040119836,447094.160199493,2026-04-05 23:07:54,I,2009-10-19,11,영업,2009-10-30 16:09:01,2009-10-19,,407-063,인천광역시 계양구 서운동 142-21,355000014200900003,3550000,,,,01,영업/정상,,,
2009-10-12,관급봉투,모닝마트,지정,,177149.14182473,447247.223909508,2026-04-05 23:07:55,I,2009-10-12,11,영업,2009-10-30 16:10:42,2009-10-12,,407-070,인천광역시 계양구 서운동 52-1,355000014200900004,3550000,,,,01,영업/정상,,,
2009-10-12,관급봉투,마을슈퍼,지정,,176073.087534793,447672.722949198,2026-04-05 23:07:55,I,2009-10-12,11,영업,2009-10-30 16:12:10,2009-10-12,,407-061,인천광역시 계양구 작전동 232-6,355000014200900005,3550000,,,,01,영업/정상,,,
2009-09-29,관급봉투,GS25귤현제일점,지정,,177665.898870504,451826.018651741,2026-04-05 23:07:56,I,2009-09-29,11,영업,2009-10-30 16:14:10,2009-09-29,,407-350,인천광역시 계양구 귤현동 491-16,355000014200900006,3550000,,,,01,영업/정상,,,
2009-09-29,관급봉투,미니스톱인천작전점,지정,,176442.502720703,447873.09550622,2026-04-05 23:07:57,I,2009-09-29,11,영업,2009-10-30 16:15:44,2009-09-29,,407-063,인천광역시 계양구 작전동 900-1,355000014200900007,3550000,,,,01,영업/정상,,,
2009-09-24,관급봉투,한아름유통,지정,,175620.9375,447416.02,2026-04-05 23:07:58,I,2009-09-24,11,영업,2009-10-30 16:17:28,2009-09-24,,407-062,인천광역시 계양구 작전동 868-38,355000014200900008,3550000,,,,01,영업/정상,,,
2009-09-18,관급봉투,뉴서울마트,지정,,176356.460258491,448100.652455321,2026-04-05 23:07:59,I,2009-09-18,11,영업,2009-10-30 16:18:49,2009-09-18,,407-061,인천광역시 계양구 작전동 26-1,355000014200900009,3550000,,,,01,영업/정상,,,
