영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,영림식품,식품제조가공업,,200944.421918286,450575.318650363,2026-04-05 23:03:22,I,01,영업,0,0,0,0,,,,0,,2018-05-15 17:58:33,1972-09-11,91.50,100-834,서울특별시 중구 신당동 378-9,N,,3010000-106-1972-00001,,3010000,서울특별시 중구 다산로19길 8 (신당동),04607,01,영업/정상,식품제조가공업,02-2234-6700,,,
,,제일식품,식품제조가공업,,201696.298486735,451651.910666167,2026-04-05 23:03:31,I,01,영업,0,0,0,0,,,,0,,2018-04-17 14:01:33,1995-06-19,54.12,100-869,서울특별시 중구 황학동 429,N,,3010000-106-1995-00178,,3010000,서울특별시 중구 퇴계로87길 35-24 (황학동),04576,01,영업/정상,식품제조가공업,02-2235-7010,,,
,,세명식품,식품제조가공업,,200015.499568016,451485.349952584,2026-04-05 23:03:52,I,01,영업,0,0,0,0,,,,0,,2019-06-14 13:09:28,2007-05-07,40.32,100-310,서울특별시 중구 오장동 127-1 센트마빌딩 3040호,N,,3010000-106-2007-00004,,3010000,"서울특별시 중구 동호로33길 24 (오장동,센트마빌딩 3040호)",04547,01,영업/정상,식품제조가공업,,,,상수도전용
,임대,의성상회,식품제조가공업,,201736.062984851,451679.503191228,2026-04-05 23:03:53,I,01,영업,0,0,2,0,,,,0,,2020-02-13 18:01:58,2008-08-11,30.00,100-869,서울특별시 중구 황학동 561,N,,3010000-106-2008-00005,,3010000,서울특별시 중구 퇴계로87길 39-14 (황학동),04576,01,영업/정상,식품제조가공업,,,,상수도전용
,임대,대흥식품,식품제조가공업,,200997.176743321,450740.914667785,2026-04-05 23:03:53,I,01,영업,0,1,0,0,,,,0,,2016-03-15 17:16:28,2008-12-15,28.26,100-834,서울특별시 중구 신당동 379-23 1층,N,,3010000-106-2008-00008,,3010000,"서울특별시 중구 동호로12길 86, 1층 (신당동)",04608,01,영업/정상,식품제조가공업,02-2267-8717,,,상수도전용
,,맛있는 식품,식품제조가공업,,198544.999597391,450626.864139686,2026-04-05 23:03:53,I,01,영업,33,0,2,0,,,,0,,2020-10-06 15:15:12,2010-04-12,100.00,100-041,서울특별시 중구 남산동1가 21-1 1층,N,,3010000-106-2010-00004,,3010000,"서울특별시 중구 퇴계로18길 70 (남산동1가,1층)",04630,01,영업/정상,식품제조가공업,02-3431-4888,,,상수도전용
,자가,딸깍발이 코퍼레이션,식품제조가공업,,199674.407428538,450962.872912559,2026-04-05 23:03:53,I,01,영업,0,,,,,,,,,2017-01-17 16:34:50,2010-09-06,20.00,100-273,서울특별시 중구 필동3가 10-18 2층,N,,3010000-106-2010-00006,,3010000,"서울특별시 중구 서애로 18-9 (필동3가,2층)",04624,01,영업/정상,식품제조가공업,02-2267-7009,,,상수도전용
,임대,커피광,식품제조가공업,,198901.465405306,451325.006079008,2026-04-05 23:03:53,I,01,영업,0,,,,,,,,,2023-01-17 16:41:47,2010-04-28,18.09,100-031,서울특별시 중구 저동1가 2-3,N,,3010000-106-2010-00013,,3010000,"서울특별시 중구 삼일대로 330, 별관동 지층 (저동1가)",04552,01,영업/정상,식품제조가공업,02-749-1002,,,상수도전용
,임대,해마루,식품제조가공업,,200000.509817437,451519.109286925,2026-04-05 23:03:53,I,01,영업,130,,,,,,,,,2017-05-19 16:31:24,2012-01-02,130.00,100-195,서울특별시 중구 을지로5가 272-6,N,,3010000-106-2012-00001,,3010000,"서울특별시 중구 을지로32길 15-5, 1층 (을지로5가)",04547,01,영업/정상,식품제조가공업,02-2273-8510,,,
,임대,(주)두영물산,식품제조가공업,,200007.706358494,451436.293606541,2026-04-05 23:03:53,I,01,영업,7.65,0,0,0,,,,0,,2024-12-27 14:05:33,2014-05-02,89.35,100-310,서울특별시 중구 오장동 145-9 지하1층,N,,3010000-106-2014-00012,,3010000,"서울특별시 중구 을지로32길 33, 지하1층 (오장동)",04547,01,영업/정상,식품제조가공업,02-2268-8510,,,상수도전용
