건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
0,0,반도당구장,2000-01-31,,187022.02884855,446935.775199941,당구장업,2026-04-22 22:30:29,I,03,폐업,,2002-10-22 17:59:13,,1990-06-20,158-859,0,서울특별시 양천구 신정동 947-1,,CDFH3301081990000019,3140000,사립,서울특별시 양천구 오목로 148  (신정동),,03,폐업,,,
0,0,블랙홀,1999-11-02,,187265.646036998,446578.869333061,당구장업,2026-04-22 22:30:29,I,03,폐업,,2002-10-22 17:59:13,,1990-06-20,158-861,0,서울특별시 양천구 신정동 1028-5,,CDFH3301081990000020,3140000,사립,서울특별시 양천구 신월로 322  (신정동),,03,폐업,,,
,250,태양당구장,2002-12-31,,188180.773985654,445216.899831188,당구장업,2026-04-22 22:30:29,I,03,폐업,0,2003-01-02 09:45:52,,1990-09-05,158-850,,서울특별시 양천구 신정동 173-40,,CDFH3301081990000022,3140000,사립,서울특별시 양천구 목동남로4길 50  (신정동),,03,폐업,,,
0,0,큐원당구장,2002-05-30,,186859.110927337,446544.827397374,당구장업,2026-04-22 22:30:29,I,03,폐업,,2002-10-22 17:59:13,,1990-09-13,158-864,0,서울특별시 양천구 신정동 1190-2,,CDFH3301081990000023,3140000,사립,서울특별시 양천구 신월로 282  (신정동),,03,폐업,,,
0,0,25시당구장,1998-07-27,,185180.271377661,447526.814210503,당구장업,2026-04-22 22:30:29,I,03,폐업,,2002-10-22 17:59:13,,1990-09-13,158-827,0,서울특별시 양천구 신월동 130-26,,CDFH3301081990000024,3140000,사립,서울특별시 양천구 곰달래로 3  (신월동),,03,폐업,,,
1,165,챔피온당구장,2017-07-25,,188788.809659247,449313.885409203,당구장업,2026-04-22 22:30:29,I,03,폐업,,2017-07-25 09:20:58,,1990-09-27,158-808,,서울특별시 양천구 목동 526,,CDFH3301081990000025,3140000,사립,"서울특별시 양천구 목동중앙북로16길 3, 3층 (목동)",07971,03,폐업,,,26465798
0,0,프린스,2009-11-05,,184849.094397978,448131.515050543,당구장업,2026-04-22 22:30:29,I,03,폐업,,2009-11-06 16:05:59,,1990-12-12,158-828,0,서울특별시 양천구 신월동 145-5,,CDFH3301081990000030,3140000,사립,서울특별시 양천구 곰달래로5길 81  (신월동),,03,폐업,,,
0,0,용당구장,1999-08-05,,185530.348529618,447727.477819758,당구장업,2026-04-22 22:30:29,I,03,폐업,,2002-10-22 17:59:13,,1991-02-05,158-827,0,서울특별시 양천구 신월동 115-17,,CDFH3301081991000001,3140000,사립,서울특별시 양천구 월정로 143  (신월동),,03,폐업,,,
,,당구나라,2021-10-05,,185959.79896256,446265.130633162,당구장업,2026-04-22 22:30:29,I,03,폐업,0,2021-10-05 16:56:46,,1991-03-22,158-840,,서울특별시 양천구 신월동 544-6,,CDFH3301081991000004,3140000,사립,서울특별시 양천구 신월로 167  (신월동),08031,03,폐업,,,26988543
0,0,갤럭시당구장,2002-05-20,,185396.117619654,447873.123028643,당구장업,2026-04-22 22:30:29,I,03,폐업,,2002-10-22 17:59:13,,1991-04-04,158-827,0,서울특별시 양천구 신월동 113-28,,CDFH3301081991000005,3140000,사립,서울특별시 양천구 곰달래로13길 37  (신월동),,03,폐업,,,
