사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
투윤컴퍼니,,175449.915234411,447704.980176455,2026-04-22 22:37:56,I,13,영업중,2025-06-18 09:29:39,,2023-02-27,,인천광역시 계양구 작전동 ***-**,PHMG120253550020047000029,3550000,"인천광역시 계양구 계양대로 **, *층 ***호 (작전동)",21091,01,영업/정상,,,,99
감성을입다,,176019.689998955,448532.062945231,2026-04-22 22:37:18,I,13,영업중,2024-11-04 09:12:17,,2024-10-31,,인천광역시 계양구 계산동 **-* 인정프린스아파트,PHMG120243550020047000073,3550000,"인천광역시 계양구 계산새로*번길 **, ***동 ***호 (계산동, 인정프린스아파트)",21059,01,영업/정상,,,,104.55
아시모프랩,,156686.289755756,466769.205029783,2026-04-22 22:32:23,I,13,영업중,2024-09-20 17:46:54,,2024-09-13,,,PHMG120243570013047000010,3570000,"인천광역시 강화군 선원면 연동로**번길  **-* , 아시모프랩",23043,01,영업/정상,,,,117.12
세진컴퍼니,,169520.340450671,440520.137272881,2026-04-22 22:33:09,I,15,전출,2023-12-27 11:30:44,,2022-05-09,,인천광역시 미추홀구 숭의동 **-** 제물포 지하도 상가,PHMG120223510513047000197,3510500,"인천광역시 미추홀구 경인로 지하***, 제물포 지하도 상가 **호 (숭의동)",22106,05,제외/삭제/전출,,,,26.4
해피베이비,,173767.426219215,444794.439991356,2026-04-22 22:32:36,I,13,영업중,2013-10-21 15:28:32,,2011-07-07,403-836,인천광역시 부평구 산곡*동 ***번지 **호 롯데마트 산곡지점 *층,PHMG120113540021047000046,3540000,"인천광역시 부평구 마장로 ***, *층 (산곡동, 룻데마트 산곡지점)",21362,01,영업/정상,,,,
(주)은마 인천지점,,175973.713925042,442929.073592721,2026-04-22 22:32:20,I,13,영업중,2016-11-10 14:14:04,,2007-06-28,403-827,인천광역시 부평구 부평동 ***번지 **호,PHMG120073540021047000013,3540000,인천광역시 부평구 장제로 ** (부평동),21406,01,영업/정상,,,032-556-2923,
(주)수성팜,,173836.212892723,443519.7611855,2026-04-22 22:38:47,I,13,영업중,2022-07-08 16:21:59,,2022-07-07,,인천광역시 부평구 산곡동 ***-** *층 일부(***호),PHMG120223540021047000223,3540000,"인천광역시 부평구 마장로***번길 **, *층 일부(***호) (산곡동)",21382,01,영업/정상,,,,
㈜해피의료기,2006-12-11,,,2026-04-22 22:32:07,I,03,폐업,2009-04-22 11:38:54,,2006-03-08,407-300,인천광역시 계양구 임학동 *-**(*F),PHMG120063550020047000007,3550000,,,03,폐업,,,032-555-7525,
지바프로,,176473.122532504,448843.518393659,2026-04-22 22:38:04,I,13,영업중,2025-08-07 09:02:20,,2025-08-06,,인천광역시 계양구 계산동 ** 계산주공아파트,PHMG120253550020047000044,3550000,"인천광역시 계양구 경명대로****번길 *, ***동 ***호 (계산동, 계산주공아파트)",21057,01,영업/정상,,,,41.3
위사카,2022-01-26,177129.065292383,447809.905922551,2026-04-22 22:32:55,I,03,폐업,2022-01-26 18:27:17,,2021-09-09,,인천광역시 계양구 작전동 ***-* 도두리마을대동아파트,PHMG120213550020047000081,3550000,"인천광역시 계양구 도두리로 **, ***동 ****호 (작전동, 도두리마을대동아파트)",21081,03,폐업,,,,
비엠(BM)헬스케어(브레인온),2022-11-18,175443.600387486,448501.590640248,2026-04-22 22:32:55,I,03,폐업,2022-11-19 11:40:13,,2019-07-26,,인천광역시 계양구 계산동 ***-**,PHMG120213550020047000076,3550000,"인천광역시 계양구 계양대로 ***, *층 (계산동)",21055,03,폐업,,,,154.7
참누리 바이오텍,2017-08-01,175060.590529847,444646.454388293,2026-04-22 22:32:37,I,03,폐업,2017-08-01 10:53:10,,2012-08-30,403-818,인천광역시 부평구 부평*동 **번지 **호 *층,PHMG120123540021047000026,3540000,"인천광역시 부평구 원적로 ***, *층 (부평동)",21365,03,폐업,,,070-8230-6001,
콤마드림컴퍼니,,175038.203391524,446135.088587101,2026-04-22 22:39:24,I,13,영업중,2025-11-17 16:20:59,,2025-11-17,,인천광역시 부평구 청천동 ***-* *층 ***(일부)호,PHMG120253540021047000082,3540000,"인천광역시 부평구 평천로***번길 **, *층 ***(일부)호 (청천동)",21315,01,영업/정상,,,,19.5
(주)케이에스메디케어,,171582.904300544,439879.548598189,2026-04-22 22:32:45,I,13,영업중,2023-07-20 11:31:53,,2017-04-04,,,PHMG120173510021047000008,3510500,"인천광역시 미추홀구 석바위로 **-*, **층 ****호 (주안동, 영빌딩)",22139,01,영업/정상,,,,13.2
