건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,국제무도학원,2023-04-21,,207894.432405593,454827.71738484,무도학원업,2026-04-22 23:12:07,I,03,폐업,,2023-04-25 13:30:30,,1992-10-17,131-859,,서울특별시 중랑구 상봉동 88-25,,CDFH3301111992000001,3060000,사립,서울특별시 중랑구 봉우재로33길 92 (상봉동),02151,03,폐업,,,
0,0,도아름,1999-11-16,,207807.657649212,454906.600906178,무도학원업,2026-04-22 23:12:08,I,03,폐업,,2011-10-30 14:05:28,,1999-04-27,131-859,,서울특별시 중랑구 상봉동 89-1 ]호,,CDFH3301111999000001,3060000,사립,서울특별시 중랑구 망우로50길 15 (상봉동),,03,폐업,,,
0,0,신신무도학원,1999-08-12,,208148.727690348,455049.801447009,무도학원업,2026-04-22 23:12:09,I,03,폐업,,2011-10-30 14:04:14,,1999-08-04,131-810,,서울특별시 중랑구 망우동 564-11,,CDFH3301111999000002,3060000,사립,서울특별시 중랑구 상봉로 134 (망우동),,03,폐업,,,
0,0,신신무도학원,2000-07-26,,208148.727690348,455049.801447009,무도학원업,2026-04-22 23:12:10,I,03,폐업,,2011-10-30 14:03:25,,1999-11-17,131-810,,서울특별시 중랑구 망우동 564-11,,CDFH3301111999000003,3060000,사립,서울특별시 중랑구 상봉로 134 (망우동),,03,폐업,,,
,92,하바나 댄스스포츠,2006-12-21,,,,무도학원업,2026-04-22 23:12:12,I,03,폐업,0,2006-12-21 14:59:47,,2001-10-25,131-848,,서울특별시 중랑구 묵동 164-6 (2층),,CDFH3301112001000002,3060000,사립,,,03,폐업,,,
,,신신무도학원,2003-08-11,,208148.727690348,455049.801447009,무도학원업,2026-04-22 23:12:13,I,03,폐업,,2011-10-30 13:32:01,,2003-03-14,131-810,,서울특별시 중랑구 망우동 564-11,,CDFH3301112003000001,3060000,사립,서울특별시 중랑구 상봉로 134 (망우동),,03,폐업,,,
,,대니박댄스스쿨,2007-12-04,,204004.945534634,461048.885008795,무도학원업,2026-04-22 22:30:53,I,03,폐업,,2023-06-22 18:02:44,,1995-08-31,132-908,,서울특별시 도봉구 창동 333-2 한성빌디802호,,CDFH3301111995000001,3090000,사립,"서울특별시 도봉구 노해로65길 11 (창동,한성빌디802호)",,03,폐업,,,
,,세진무도학원,2003-12-30,,204397.004135761,461175.40204195,무도학원업,2026-04-22 22:30:54,I,03,폐업,0,2007-06-11 16:41:42,,2000-04-25,132-898,,서울특별시 도봉구 창동 10-3 지1층,,CDFH3301112000000001,3090000,사립,"서울특별시 도봉구 노해로69길 15  (창동,지1층)",,03,폐업,,,
0,0,신동양무도학원,1999-11-16,,210970.75707265,448713.31669728,무도학원업,2026-04-22 22:31:29,I,03,폐업,,2003-04-11 10:24:39,,1994-12-21,134-874,0,서울특별시 강동구 천호동 425-5 1층,,CDFH3301111994000001,3240000,사립,"서울특별시 강동구 올림픽로 664  (천호동,1층)",,03,폐업,,,
0,0,현대스포츠댄스학원,2000-03-22,,,,무도학원업,2026-04-22 22:31:29,I,03,폐업,,2003-04-11 10:24:39,,1996-08-01,134-822,0,서울특별시 강동구 둔촌동 413-50,,CDFH3301111996000001,3240000,사립,,,03,폐업,,,
