건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,온천실내수영장,2004-08-31,,202132.961071614,452712.645095691,수영장업,2026-04-22 22:30:23,I,03,폐업,0,2004-08-31 18:10:24,,1986-04-28,130-810,,서울특별시 동대문구 신설동 76-34,,CDFH3301011986000001,3050000,사립,서울특별시 동대문구 한빛로 12  (신설동),,03,폐업,,,02-924-1486
,,경해수영장,2009-07-08,,202023.921749857,452387.764894439,수영장업,2026-04-22 22:30:23,I,03,폐업,,2009-07-08 14:53:05,,1986-06-23,130-814,,서울특별시 동대문구 신설동 117-6,,CDFH3301011986000002,3050000,사립,서울특별시 동대문구 난계로 250  (신설동),,03,폐업,,,22342539
,,우창실내수영장,2016-06-15,,205803.075064276,454386.986107641,수영장업,2026-04-22 22:30:23,I,03,폐업,0,2016-06-15 15:27:29,,1995-09-19,130-875,,서울특별시 동대문구 휘경동 71-1,,CDFH3301011995000001,3050000,사립,서울특별시 동대문구 망우로 123  (휘경동),,03,폐업,,,22140880
,,동대문힐스포파크,2007-11-12,,205545.047322182,452387.185701411,수영장업,2026-04-22 22:30:23,I,03,폐업,0,2007-11-19 11:59:19,,1997-07-08,130-808,,서울특별시 동대문구 답십리동 산 2-9,,CDFH3301011997000001,3050000,사립,서울특별시 동대문구 답십리로 209  (답십리동),,03,폐업,,,22145200
,,용성스포츠센터,2004-05-14,,205271.704936121,452706.897879436,수영장업,2026-04-22 22:30:23,I,03,폐업,0,2004-05-14 09:48:43,,2000-08-10,130-769,,서울특별시 동대문구 전농동 10 SK아파트 상가,,CDFH3301012000000001,3050000,사립,"서울특별시 동대문구 사가정로 148  (전농동,SK아파트 상가)",,03,폐업,,,22149642
,7749,동대문종합사회복지관,2025-08-28,,202950.060576221,453523.996663315,수영장업,2026-04-22 22:30:23,I,03,폐업,,2025-08-28 09:04:47,,2000-10-05,130-861,3,서울특별시 동대문구 제기동 220,,CDFH3301012000000002,3050000,사립,서울특별시 동대문구 약령시로5길 22 (제기동),,03,폐업,,,02-920-4500
,,믹스스포츠,2004-12-09,,205022.168210631,456499.598460325,수영장업,2026-04-22 22:31:27,I,03,폐업,0,2005-01-27 10:10:15,,1989-11-30,136-818,,서울특별시 성북구 석관동 242-1,,CDFH3301011989000001,3070000,사립,서울특별시 성북구 화랑로 254  (석관동),,03,폐업,,,
,,제이에프 수영장,2007-06-08,,200841.726990037,454721.505180141,수영장업,2026-04-22 22:31:27,I,03,폐업,0,2007-06-09 14:48:19,,2001-10-08,136-060,,서울특별시 성북구 돈암동 609-1 한진스포츠센타 5001호호,,CDFH3301012001000001,3070000,사립,"서울특별시 성북구 성북로4길 52,  5001호호 (돈암동,한진스포츠센타)",,03,폐업,,,
,,돈암문화스포츠센타,2004-11-11,,201077.338360506,454560.112910776,수영장업,2026-04-22 22:31:27,I,03,폐업,0,2005-10-05 10:42:38,,2003-11-28,136-036,,서울특별시 성북구 동소문동6가 27-1,,CDFH3301012003000001,3070000,사립,,,03,폐업,,,
,,근린레포츠(주),2009-07-14,,205075.814875736,460200.587555363,수영장업,2026-04-22 22:30:24,I,03,폐업,,2009-07-22 17:44:58,,1996-01-05,139-831,,서울특별시 노원구 상계동 770-2,,CDFH3301011996000001,3100000,사립,,,03,폐업,,,
,,이스턴캐슬수영장,2016-07-20,,208347.884966182,458602.540046344,수영장업,2026-04-22 22:30:24,I,03,폐업,,2016-07-21 14:53:43,,1996-05-13,139-800,,서울특별시 노원구 공릉동 26,,CDFH3301011996000002,3100000,사립,서울특별시 노원구 화랑로 653 (공릉동),,03,폐업,,,02-971-0741
,,삼창타워스포츠,2016-01-29,,206341.9040064,461845.120373232,수영장업,2026-04-22 22:30:24,I,03,폐업,Y,2016-01-29 10:49:32,,1997-09-27,139-867,,서울특별시 노원구 중계동 584-1 (지층),,CDFH3301011997000001,3100000,사립,"서울특별시 노원구 한글비석로 383 (중계동,(지층))",,03,폐업,,,02-952-6333
,,더 코치스,2018-12-04,,206719.586259379,460669.836412326,수영장업,2026-04-22 22:30:24,I,03,폐업,,2018-12-04 13:27:39,,2012-07-30,139-710,1,서울특별시 노원구 중계동 364-17 b20호,,CDFH3301012012000002,3100000,사립,서울특별시 노원구 한글비석로 232 (중계동),01734,03,폐업,,,02-948-9479
