사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
한성자동차(주),1148652489,,,,191514.592497803,451357.35918485,2026-04-22 22:31:53,I,11,영업,,,기타수질오염원관리,2024-10-08 17:14:49,2005-02-25,,서울특별시 마포구 성산동 593-8,313000025199400019,3130000,,,,서울특별시 마포구 모래내로 17 (성산동),,,01,영업/정상,,,02-309-3421,
로얄사진관,1051924672,,,,,,2026-04-22 22:32:22,I,11,영업,,,기타수질오염원관리,2013-09-24 19:36:18,1994-12-24,,서울특별시 마포구 대흥동 12-172,313000025199400123,3130000,,,,서울특별시 마포구 대흥로 189-1 (대흥동),,,01,영업/정상,,,02-703-1992,
태평양카독크,1054176166,,,,191433.112679578,451480.245162623,2026-04-22 22:31:56,I,11,영업,,,기타수질오염원관리,2023-05-12 16:12:42,2004-12-17,,서울특별시 마포구 성산동,313000025199500029,3130000,,,,서울특별시 마포구 월드컵로34길 17 (성산동),,,01,영업/정상,,,02-375-7127,
동원자동차공업사,,,,,191406.718345685,451465.793127329,2026-04-22 22:31:57,I,11,영업,0,,기타수질오염원관리,2004-07-02 11:02:44,2004-07-02,121-250,서울특별시 마포구 성산동 590-5,313000025199500036,3130000,,0,,,,,01,영업/정상,,,,
성산자동차공업사,,,,,191448.215630079,451347.655635823,2026-04-22 22:31:57,I,11,영업,,,기타수질오염원관리,2013-07-23 16:08:50,2005-09-15,121-850,서울특별시 마포구 성산동 592-4,313000025199500048,3130000,,,,서울특별시 마포구 모래내로1길 3 (성산동),,,01,영업/정상,,,,
거호프로세스,1050185048,,,,193129.243745788,450598.434333496,2026-04-22 22:32:22,I,11,영업,,,기타수질오염원관리,2010-07-09 09:48:58,1995-04-19,,서울특별시 마포구 동교동 158-25,313000025199500063,3130000,,,,서울특별시 마포구 동교로 198  (동교동),,,01,영업/정상,,,31412416,
경성스튜디오,1053964823,,,,195281.294705197,448590.091922908,2026-04-22 22:32:22,I,11,영업,,,기타수질오염원관리,2010-07-09 09:51:24,1995-07-03,,서울특별시 마포구 도화동 250-2,313000025199500064,3130000,,,,서울특별시 마포구 삼개로 10  (도화동),,,01,영업/정상,,,,
합정사진관,1050740951,,,,192351.519505378,449683.522663289,2026-04-22 22:32:22,I,11,영업,,,기타수질오염원관리,2014-11-17 16:33:25,1995-01-04,,서울특별시 마포구 합정동 414-6,313000025199500099,3130000,,,,서울특별시 마포구 양화로 46-1 (합정동),,,01,영업/정상,,,02-334-2491,
정욱외과의원,1059005640,,,,195966.326673316,449871.159768567,2026-04-22 22:32:23,I,11,영업,,,기타수질오염원관리,2010-07-09 10:53:33,1998-06-29,,서울특별시 마포구 아현동 617-2,313000025199800161,3130000,,,,서울특별시 마포구 마포대로 189  (아현동),,,01,영업/정상,,,02-3437-7859,
양회섭내과의원,1059602626,,,,193015.548461056,450448.445879387,2026-04-22 22:32:23,I,11,영업,,,기타수질오염원관리,2019-05-02 11:27:47,1998-07-27,121-200,서울특별시 마포구 동교동 161-3,313000025199800164,3130000,,,,서울특별시 마포구 동교로 178 (동교동),,,01,영업/정상,,,02-334-0363,
