건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,열림문화사,2008-02-14,176440.337297825,448593.382718314,출판인쇄업,출판사,2026-04-22 23:08:36,I,03,폐업,,,,2008-02-14 17:25:59,,2000-08-02,407-809,인천광역시 계양구 계산동 ****-*,CDFG1251002000000003,3550000,,인천광역시 계양구 장제로 ***  (계산동),,03,폐업,,,,,,
,부흥출판사,2007-02-07,,,출판인쇄업,출판사,2026-04-22 23:08:37,I,03,폐업,,,,2007-02-08 13:54:02,,2001-05-10,407-826,인천광역시 계양구 효성동 **-*,CDFG1251002001000001,3550000,,,,03,폐업,,,,,,
,문화정보기획,2005-01-17,175202.897515314,449114.772523026,출판인쇄업,출판사,2026-04-22 23:08:38,I,03,폐업,,,,2005-01-17 11:15:56,,2001-05-28,407-805,인천광역시 계양구 계산동 ***-**,CDFG1251002001000002,3550000,,인천광역시 계양구 경명대로 ****  (계산동),,03,폐업,,,,,,
,도서출판GG코믹스,2003-08-04,175137.144351117,449054.935801323,출판인쇄업,출판사,2026-04-22 23:08:41,I,03,폐업,,,,2003-08-04 16:36:43,,2002-03-27,407-806,인천광역시 계양구 계산동 ***-*,CDFG1251002002000002,3550000,,인천광역시 계양구 경명대로 ****  (계산동),,03,폐업,,,,,,
,HomeLife,2004-01-29,175891.757466625,447146.070622545,출판인쇄업,출판사,2026-04-22 23:08:41,I,03,폐업,,,,2013-12-28 18:41:28,,2002-05-02,407-771,인천광역시 계양구 작전동 ***-* 동보아파트 ***동 ****호,CDFG1251002002000003,3550000,,"인천광역시 계양구 주부토로***번길 **, ***동 ****호 (작전동, 동보아파트)",,03,폐업,,,,,,
,(주)바로에듀,2003-12-30,175423.776151954,449624.208461353,출판인쇄업,출판사,2026-04-22 23:08:42,I,03,폐업,,,,2004-01-02 13:37:18,,2002-05-13,407-050,인천광역시 계양구 계산동 ***-* 경인여대부설***호,CDFG1251002002000004,3550000,,"인천광역시 계양구 계양산로 **  (계산동,경인여대부설***호)",,03,폐업,,,,,,
,GTS출판,2003-07-14,176966.214066079,447206.010681326,출판인쇄업,출판사,2026-04-22 23:08:44,I,03,폐업,,,,2003-07-14 09:38:57,,2002-08-16,407-821,인천광역시 계양구 작전동 ***-* 성웅산호타운*-***,CDFG1251002002000007,3550000,,"인천광역시 계양구 까치말로*번길 **  (작전동,성웅산호타운*-***)",,03,폐업,,,,,,
,족보편찬위원회,2004-03-23,175055.999395868,448883.094528737,출판인쇄업,출판사,2026-04-22 23:08:44,I,03,폐업,,,,2004-03-23 16:02:33,,2002-09-09,407-808,인천광역시 계양구 계산동 ***-*,CDFG1251002002000008,3550000,,인천광역시 계양구 계산로 **  (계산동),,03,폐업,,,,,,
,한라교육출판,2016-11-24,175351.375234364,448079.369788197,출판인쇄업,출판사,2026-04-22 23:08:45,I,03,폐업,,,,2016-11-25 10:29:00,,2002-10-22,407-822,인천광역시 계양구 작전동 ***-**,CDFG1251002002000010,3550000,,인천광역시 계양구 계양대로***번길 * (작전동),,03,폐업,,,,,,
,도서출판G&T,2003-12-02,177354.049000949,449617.060139618,출판인쇄업,출판사,2026-04-22 23:08:47,I,03,폐업,,,,2003-12-17 14:05:07,,2003-03-17,407-320,인천광역시 계양구 병방동 **-* 힐타운***,CDFG1251002003000002,3550000,,"인천광역시 계양구 장제로***번길 **  (병방동,힐타운***)",,03,폐업,,,,,,
,지호락,2007-05-01,175816.58840828,449386.307167296,출판인쇄업,출판사,2026-04-22 23:08:47,I,03,폐업,,,,2007-05-02 09:03:31,,2003-03-17,407-804,인천광역시 계양구 계산동 ***-**,CDFG1251002003000003,3550000,,인천광역시 계양구 계양산로***번길 **-*  (계산동),,03,폐업,,,,,,
,도서출판라이브러리북스,2005-12-09,176660.86397225,448048.231920583,출판인쇄업,출판사,2026-04-22 23:08:48,I,03,폐업,,,,2005-12-12 13:01:31,,2003-06-30,407-813,인천광역시 계양구 계산동 ****-* 라이즈빌***호,CDFG1251002003000005,3550000,,"인천광역시 계양구 계양문화로 **  (계산동,라이즈빌***호)",,03,폐업,,,,,,
종교시설,지구촌전도협회,2016-01-28,176122.614791243,447736.414654542,출판인쇄업,출판사,2026-04-22 23:08:49,I,03,폐업,,33,1,2016-01-28 10:38:53,,2003-10-30,407-817,인천광역시 계양구 작전동 **,CDFG1251002003000006,3550000,주거지역,인천광역시 계양구 봉오대로***번길 ** (작전동),,03,폐업,,,,032-528-8904,,1
근린생활시설,도서출판 바로에듀,2012-11-19,175365.566451073,449102.680280937,출판인쇄업,출판사,2026-04-22 23:08:50,I,03,폐업,,,7,2012-11-19 15:50:03,,2003-12-20,407-805,인천광역시 계양구 계산동 ***-** ***호,CDFG1251002003000008,3550000,일반주거지역,"인천광역시 계양구 경명대로 ****,  ***호 (계산동)",,03,폐업,,,,032-543-0072,7,
,중앙경영사,2009-07-09,177074.207057283,448912.773841497,출판인쇄업,출판사,2026-04-22 23:08:55,I,03,폐업,,,,2013-12-28 18:43:33,,2005-04-27,407-709,인천광역시 계양구 용종동 ***-* 신대진아파트 ***동 ***호,CDFG1251002005000001,3550000,,"인천광역시 계양구 용종로 **, ***동 ***호 (용종동, 신대진아파트)",,03,폐업,,,,,,
다가구용 주택(공동주택적용),JoyfulShout,2006-07-26,177033.221626528,447486.541499484,출판인쇄업,출판사,2026-04-22 23:08:55,I,03,폐업,,,,2013-12-28 18:45:55,,2005-06-01,407-711,인천광역시 계양구 작전동 ***-* 까치마을태화아파트 ***동 ****호,CDFG1251002005000002,3550000,,"인천광역시 계양구 효서로 ***, ***동 ****호 (작전동, 까치마을태화아파트)",,03,폐업,,,,,,
,행복을여는사람들,2005-09-14,176977.522217005,448321.566053257,출판인쇄업,출판사,2026-04-22 23:08:56,I,03,폐업,,,,2013-12-28 18:47:36,,2005-06-30,407-705,인천광역시 계양구 계산동 ****-* 은행마을삼보아파트 ***동 ****호,CDFG1251002005000003,3550000,,"인천광역시 계양구 계산새로 ***, ***동 ****호 (계산동, 은행마을삼보아파트)",,03,폐업,,,,02-3143-2105,,
,칸투스뮤직,2014-09-05,176729.301603296,449239.189746286,출판인쇄업,출판사,2026-04-22 23:08:57,I,03,폐업,,,,2014-09-11 09:07:28,,2005-09-15,407-814,인천광역시 계양구 임학동 ** 시티****오피스텔 ***호,CDFG1251002005000004,3550000,,"인천광역시 계양구 장제로***번길 **, ***호 (임학동, 시티****오피스텔)",,03,폐업,,,,,,
