축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,사료제조업,디어마이메이플(Dear My Maple),단미,2024-12-31,204290.842372068,452684.569724881,2026-04-22 22:33:42,I,0002,폐업,2025-12-29 10:46:09,,2021-10-21,0,,서울특별시 동대문구 전농동 695 동대문 롯데캐슬 노블레스,단미,305000003420210006,3050000,000,"서울특별시 동대문구 답십리로23길 30, 지2층 13호 (전농동, 동대문 롯데캐슬 노블레스)",02551,,03,폐업,,,
,사료제조업,펫21 (Pet21),단미,,203290.741954641,453197.31199751,2026-04-22 22:33:27,I,0004,말소,2024-12-30 14:02:53,,2018-02-22,0,,서울특별시 동대문구 제기동 940 301호,단미,305000003420180001,3050000,000,"서울특별시 동대문구 약령동길 62, 301호 (제기동)",02570,,04,취소/말소/만료/정지/중지,,,
,사료제조업,(주) 엘리텍메디컬,보조,,202648.573497111,452651.922418029,2026-04-22 22:33:31,I,0000,정상,2020-06-18 17:53:12,,2020-06-18,0,,서울특별시 동대문구 용두동 119-37,보조,305000003420200001,3050000,000,"서울특별시 동대문구 무학로 134, 2층 2-1호 (용두동)",02584,,01,영업/정상,,,02-485-5027
,사료제조업,도리즈(DORISE),단미,,202657.172829283,452465.369591088,2026-04-22 22:33:33,I,0004,말소,2024-12-10 10:51:09,,2020-11-17,0,,서울특별시 동대문구 용두동 118-87,단미,305000003420200002,3050000,000,"서울특별시 동대문구 무학로 116, 5층 (용두동)",02584,,04,취소/말소/만료/정지/중지,,,
,사료제조업,도도한댕댕,단미,,205004.375356464,451748.804705554,2026-04-22 22:33:35,I,0000,정상,2024-06-26 16:59:59,,2021-05-04,0,,서울특별시 동대문구 답십리동 21-8 답십리포레스트스퀘어 제b103호,단미,305000003420210001,3050000,000,"서울특별시 동대문구 전농로 36, 답십리포레스트스퀘어 제b103호 (답십리동)",02615,,01,영업/정상,,,
,사료제조업,냥냥쩝쩝,단미,2026-04-07,204691.361240878,454229.269726288,2026-04-22 22:33:36,I,0002,폐업,2026-04-07 14:16:42,,2021-05-21,0,,서울특별시 동대문구 회기동 62-17,단미,305000003420210002,3050000,000,"서울특별시 동대문구 회기로26길 22, 1층 (회기동)",02460,,03,폐업,,,
,사료제조업,본초마을(댕댕이맘),단미,,203318.020899541,453368.16721427,2026-04-22 22:33:39,I,0000,정상,2021-08-18 10:32:01,,2021-08-17,0,,서울특별시 동대문구 제기동 929-4,단미,305000003420210004,3050000,000,서울특별시 동대문구 고산자로 479(제기동),02570,,01,영업/정상,,,
,사료제조업,댕블리,단미,,204514.694439419,453155.768617302,2026-04-22 22:33:40,I,0000,정상,2021-09-03 09:18:36,,2021-09-03,0,,서울특별시 동대문구 전농동 212-2,단미,305000003420210005,3050000,000,"서울특별시 동대문구 답십리로23길 127, 1층 좌측호 (전농동)",02550,,01,영업/정상,,,
,사료제조업,룩스신,단미,,206141.242424353,452178.850122681,2026-04-22 22:33:43,I,0000,정상,2022-06-15 17:53:42,,2022-06-15,0,,서울특별시 동대문구 장안동 370-10,단미,305000003420220001,3050000,000,"서울특별시 동대문구 장한로25길 18, 1층 (장안동)",02624,,01,영업/정상,,,
,사료제조업,너구리유격대,단미,,203087.765897231,453938.311288446,2026-04-22 22:33:45,I,0000,정상,2023-10-20 11:50:22,,2022-10-11,0,,서울특별시 동대문구 제기동 135-96,단미,305000003420220003,3050000,000,서울특별시 동대문구 안암로22길 22-2(제기동),02473,,01,영업/정상,,,
,사료제조업,헬로댕(hello daeng),단미,,204219.516378396,452430.518547191,2026-04-22 22:33:49,I,0000,정상,2022-11-29 11:33:26,,2022-11-29,0,,서울특별시 동대문구 답십리동 472-46,단미,305000003420220005,3050000,000,"서울특별시 동대문구 서울시립대로4길 35, 헬로댕 1층 (답십리동)",02595,,01,영업/정상,,,
,사료제조업,안멍냥,단미,,206378.455896666,452163.80748389,2026-04-22 22:33:50,I,0000,정상,2023-09-18 10:49:58,,2023-09-13,0,,서울특별시 동대문구 장안동 335-10 태솔아파트4차,단미,305000003420230001,3050000,000,"서울특별시 동대문구 답십리로 292-3, 태솔아파트4차 102호 (장안동)",02637,,01,영업/정상,,,
,사료제조업,꼬순bob,단미,,204897.746309122,452180.418566906,2026-04-22 22:33:51,I,0000,정상,2024-03-22 15:37:29,,2024-03-22,0,,서울특별시 동대문구 답십리동 248-16,단미,305000003420240001,3050000,000,"서울특별시 동대문구 전농로 79-17, 1층 (답십리동)",02599,,01,영업/정상,,,
,사료제조업,그래-잇(gre-eat),단미,,205248.297856492,454247.178669814,2026-04-22 22:33:54,I,0000,정상,2024-11-08 11:09:28,,2024-11-08,0,,서울특별시 동대문구 휘경동 192-5,단미,305000003420240003,3050000,000,"서울특별시 동대문구 망우로21길 52, 춘태빌딩 A동 1층 101호 (휘경동)",02438,,01,영업/정상,,,
,사료제조업,한의 허브나라,단미,,203301.309635065,453367.754990357,2026-04-22 22:33:20,I,0002,폐업,2013-06-27 18:28:27,,2013-05-16,0,,서울특별시 동대문구 제기동 928-2,단미,305000003420130001,3050000,000,서울특별시 동대문구 약령중앙로10길 17 (제기동),02570,,03,폐업,,,
