사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,판매점영업면적,휴업시작일자,휴업종료일자,소재지전화번호
(주)바이더웨이 효창공원점,2014-12-30,,,2026-04-22 22:31:01,I,03,폐업,2014-12-30 16:55:42,,2011-11-16,,,PHMH320113020033087500001,3020000,서울특별시 용산구 효창원로76길 150 (효창동),,03,폐업,,,,
GS25동빙고제일점,2016-11-23,199621.359137509,446867.679325885,2026-04-22 22:30:55,I,03,폐업,2016-11-23 14:35:41,,2012-11-08,,,PHMH320123020033087500001,3020000,서울특별시 용산구 서빙고로91나길 72 (동빙고동),04395,03,폐업,,,,02-794-1091
GS25동빙고점,2017-05-02,199608.612935438,447092.209717144,2026-04-22 22:30:55,I,03,폐업,2017-05-10 10:55:50,,2012-11-08,,,PHMH320123020033087500002,3020000,서울특별시 용산구 장문로6길 97 (동빙고동),04393,03,폐업,,,,02-792-1091
GS25원효타운,2014-04-17,196557.682702991,448041.810074053,2026-04-22 22:30:55,I,03,폐업,2014-04-17 15:38:02,,2012-11-08,,,PHMH320123020033087500003,3020000,서울특별시 용산구 새창로 146 (원효로2가),,03,폐업,,,,02-3275-3966
미니스톱용산월드점,2013-04-05,197542.687282146,448325.294355232,2026-04-22 22:31:01,I,03,폐업,2013-08-22 14:05:26,,2012-11-08,,,PHMH320123020033087500005,3020000,"서울특별시 용산구 한강대로 211, 107호 (한강로1가)",,03,폐업,,,,
GS25후암사랑점,2017-03-31,197963.766166909,449528.48631004,2026-04-22 22:30:59,I,03,폐업,2017-03-31 17:06:18,,2012-11-08,,,PHMH320123020033087500006,3020000,서울특별시 용산구 후암로 23-1 (후암동),04332,03,폐업,,,,02-774-4218
CU후암미주점,2018-07-27,197860.587890368,450002.778511517,2026-04-22 22:30:55,I,03,폐업,2018-07-27 16:45:18,,2012-11-08,,,PHMH320123020033087500007,3020000,서울특별시 용산구 후암로 71-2 (후암동),04325,03,폐업,,,,02-3789-1637
CU용산파크자이점,2023-03-16,197514.145785647,448264.322314594,2026-04-22 22:30:55,I,03,폐업,2023-03-16 17:20:21,,2012-11-08,,,PHMH320123020033087500008,3020000,서울특별시 용산구 한강대로 205 (한강로1가),04322,03,폐업,,,,
GS25서울역서부점,2013-11-26,197177.646750244,450239.515008707,2026-04-22 22:30:55,I,03,폐업,2013-11-26 11:12:03,,2012-11-08,,,PHMH320123020033087500010,3020000,서울특별시 용산구 청파로 389 (서계동),,03,폐업,,,,
CU용산민우점,2015-02-12,197835.076211772,449693.147557804,2026-04-22 22:30:55,I,03,폐업,2015-02-12 11:03:49,,2012-11-08,,,PHMH320123020033087500013,3020000,서울특별시 용산구 후암로35길 47 (후암동),,03,폐업,,,,02-318-7922
