건물지상층수,건물소유구분명,건물지하층수,사업장명,욕실수,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,발한실여부,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
3,,3,새샘목욕탕,2,공동탕업,2005-03-19,,,,208185.006815561,387564.030661499,2026-04-26 22:00:23,I,02,폐업,,2004-01-26 00:00:00,1993-03-22,"1,063.24",450-833,경기도 평택시 합정동 831,N,,3910000-202-1993-00001,3910000,,,03,폐업,공동탕업,N,031-656-8500,1,,3,
0,,0,대성궁전탕,0,공동탕업,2004-04-01,,,,205638.198435659,397608.921870103,2026-04-26 22:00:23,I,02,폐업,,2002-05-16 00:00:00,1997-12-17,422.04,459-110,경기도 평택시 지산동 1128,N,,3910029-202-1997-00001,3910000,,,03,폐업,공동탕업,N,,0,0,,
,,,가좌황토방목욕탕,,공동탕업,2005-12-30,,,,191836.275479334,452295.332828958,2026-04-26 22:31:25,I,02,폐업,,2005-12-20 00:00:00,1999-06-02,548.43,120-811,서울특별시 서대문구 북가좌동 150,N,,3120000-202-1999-00973,3120000,,,03,폐업,공동탕업,N,02-309-0177,,,,
0,,0,동성대중목욕탕,0,공동탕업,,,,,218217.703935806,448454.191599829,2026-04-26 22:00:22,I,01,영업,,2020-08-11 16:32:13,1997-12-19,322.67,465-820,"경기도 하남시 신장동 428-38 2,3,4층",N,,4040000-202-1997-00001,4040000,"경기도 하남시 신장1로9번길 47, 2,3,4층 (신장동)",12958,01,영업/정상,공동탕업,N,031-796-4240,2,0,4,0
3,임대,1,은혜대중목욕탕,0,공동탕업,,,,,218678.414517998,448789.915857577,2026-04-26 22:00:22,I,01,영업,,2023-05-02 10:48:13,1999-02-13,"1,443.92",465-810,경기도 하남시 신장동 386-3,N,,4040000-202-1999-00001,4040000,"경기도 하남시 하남대로784번안길 20, 지하1, 지상1,2,3호 (신장동)",12950,01,영업/정상,공동탕업,N,031-793-9669,1,0,3,0
0,자가,0,더 케이스파,0,공동탕업+찜질시설서비스영업,,,,,217779.003580869,448652.803469302,2026-04-26 22:00:22,I,01,영업,,2025-11-20 10:27:21,2004-10-07,"1,702.31",465-813,경기도 하남시 덕풍동 394-1 6층. 7층,N,,4040000-202-2004-00001,4040000,"경기도 하남시 신장로 156 (덕풍동,6층. 7층)",12969,01,영업/정상,공동탕업+찜질시설서비스영업,N,031-793-3360,7,0,7,0
3,자가,1,주심유황참숯가마,2,공동탕업+찜질시설서비스영업,,,,,215403.756027328,448146.344997246,2026-04-26 22:00:22,I,01,영업,,2021-01-07 15:11:00,2008-08-12,"1,337.50",465-220,"경기도 하남시 초이동 310 1,2,3 층",Y,,4040000-202-2008-00001,4040000,경기도 하남시 초광로 169 (초이동),12986,01,영업/정상,공동탕업+찜질시설서비스영업,Y,02-429-9500,1,0,3,0
23,임대,0,아쿠아필드 하남,9,공동탕업+찜질시설서비스영업,,,,,219699.010520355,449270.371200837,2026-04-26 22:00:22,I,01,영업,50,2026-01-02 10:27:03,2016-08-30,"5,258.19",465-030,"경기도 하남시 신장동 616 스타필드 하남 쇼핑센터 2,3층",Y,17,4040000-202-2016-00001,4040000,"경기도 하남시 미사대로 750, 2,3층 (신장동, 스타필드 하남 쇼핑센터)",12942,01,영업/정상,공동탕업+찜질시설서비스영업,N,031-8072-8800,0,0,0,0
0,자가,0,미사힐링스파,7,공동탕업+찜질시설서비스영업,,,,,216876.049084529,451046.20197058,2026-04-26 22:00:22,I,01,영업,0,2019-10-16 09:18:32,2019-02-01,"2,590.68",465-150,경기도 하남시 망월동 1111 신성프라자  I,Y,0,4040000-202-2019-00001,4040000,"경기도 하남시 미사강변중앙로170번길 10, 신성프라자  I 9,10층 (망월동)",12913,01,영업/정상,공동탕업+찜질시설서비스영업,Y,031-792-3883,9,0,10,0
0,,0,워터캐슬 찜질스파&피트니스,17,공동탕업+찜질시설서비스영업,,,,,217344.753524462,451638.78739702,2026-04-26 22:00:22,I,01,영업,0,2025-03-20 14:14:34,2021-10-01,"3,231.17",465-150,경기도 하남시 망월동 1143-1 미사강변 오벨리스크,Y,0,4040000-202-2021-00001,4040000,"경기도 하남시 미사대로 410, 미사강변 오벨리스크 지하1층 (망월동)",12912,01,영업/정상,공동탕업+찜질시설서비스영업,N,031-792-1118,0,0,0,0
