사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상시설위치,시설명건물명,시설구분명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,해제일자,도로명주소,도로명우편번호,영업상태구분코드,영업상태명
광훈실업,2026-01-05,205103.352929015,448759.035203931,2026-04-26 22:32:10,I,19,사용중지,서울특별시 성동구 성수동2가 269번지 20호,광훈실업,공공용시설,2026-01-05 11:02:29,2026-01-05,2012-02-17,70,서울특별시 성동구 성수동2가 269번지 20호,3030000-E201200008,3030000,2026-01-05,서울특별시 성동구 뚝섬로13길 32-24 (성수동2가),04785,04,취소/말소/만료/정지/중지
플라워모텔,,186317.795293249,449353.814998678,2026-04-26 22:31:03,I,18,사용중,서울특별시 강서구 화곡동 24-96 모텔플라워,플라워모텔,공공용시설,2026-04-08 17:49:08,,2026-04-08,85,서울특별시 강서구 화곡동 24-96 모텔플라워,3150000-E202600001,3150000,,"서울특별시 강서구 화곡로42길 10, 모텔플라워 (화곡동)",07679,01,영업/정상
동작구청(신청사),,194723.666799909,444690.776882951,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 176-3 동작구청,동작구청(신청사),지자체시설,2026-02-25 09:26:09,,2026-02-10,123,서울특별시 동작구 상도동 176-3 동작구청,3190000-E202600002,3190000,,"서울특별시 동작구 장승배기로 70, 동작구청 (상도동)",06963,01,영업/정상
신안가축,,180863.322618704,449597.078419987,2026-04-26 22:31:03,I,18,사용중,서울특별시 강서구 오곡동 200-19,신안가축,공공용시설,2026-04-09 11:12:33,,2026-04-08,82,서울특별시 강서구 오곡동 200-19,3150000-E202600002,3150000,,,,01,영업/정상
티파니호텔,,183118.598958412,450884.384415444,2026-04-26 22:31:03,I,18,사용중,서울특별시 강서구 공항동 52-5,티파니호텔,공공용시설,2026-04-09 15:46:09,,2026-04-08,62,서울특별시 강서구 공항동 52-5,3150000-E202600003,3150000,,서울특별시 강서구 송정로 61-3 (공항동),07622,01,영업/정상
공항사우나,,183484.821951778,450713.963336968,2026-04-26 22:31:03,I,18,사용중,서울특별시 강서구 공항동 651-9,공항사우나,공공용시설,2026-04-09 16:04:24,,2026-04-08,70,서울특별시 강서구 공항동 651-9,3150000-E202600004,3150000,,서울특별시 강서구 송정로4길 51 (공항동),07624,01,영업/정상
디오스모텔,,186327.291836213,447450.90647438,2026-04-26 22:31:02,I,18,사용중,서울특별시 강서구 화곡동 901-2,디오스모텔,공공용시설,2026-01-19 14:39:51,,2024-03-12,67,서울특별시 강서구 화곡동 901-2,3150000-E202400003,3150000,,서울특별시 강서구 강서로5가길 34 (화곡동),07777,01,영업/정상
대성주유소,,185920.266719196,451702.983127126,2026-04-26 22:31:02,I,18,사용중,서울특별시 강서구 등촌동 684,대성주유소,공공용시설,2026-01-19 14:00:16,,2025-03-12,85,서울특별시 강서구 등촌동 684,3150000-E202500001,3150000,,서울특별시 강서구 강서로 472 (등촌동),07573,01,영업/정상
박물관 주유소,,186708.530073604,451701.921231689,2026-04-26 22:31:02,I,18,사용중,서울특별시 강서구 가양동 26-1,박물관 주유소,공공용시설,2026-01-18 15:09:51,,2025-03-12,59,서울특별시 강서구 가양동 26-1,3150000-E202500002,3150000,,서울특별시 강서구 양천로53길 97 (가양동),07529,01,영업/정상
삼표에너지가스충전소,,182094.635692564,448443.351824015,2026-04-26 22:31:02,I,18,사용중,서울특별시 강서구 오쇠동 150-5,삼표에너지가스충전소,공공용시설,2025-05-21 23:12:22,,2025-03-31,64,서울특별시 강서구 오쇠동 150-5,3150000-E202500003,3150000,,서울특별시 강서구 오정로 390 (오쇠동),07505,01,영업/정상
무한사우나,,188575.873671469,449551.307238477,2026-04-26 22:31:02,I,18,사용중,서울특별시 강서구 염창동 310 아네스트염창,무한사우나,공공용시설,2026-01-19 13:17:19,,2025-05-08,67,서울특별시 강서구 염창동 310 아네스트염창,3150000-E202500004,3150000,,"서울특별시 강서구 공항대로 593 (염창동, 아네스트염창)",07559,01,영업/정상
동진금속,,185924.960364272,447831.352231887,2026-04-26 22:31:02,I,18,사용중,서울특별시 강서구 화곡동 354-49 동진빌라,동진금속,공공용시설,2026-01-19 14:40:13,,2025-05-15,72,서울특별시 강서구 화곡동 354-49 동진빌라,3150000-E202500005,3150000,,"서울특별시 강서구 강서로17길 76 (화곡동, 동진빌라)",07768,01,영업/정상
에스더블리싸이클,,180384.547605318,450465.325972648,2026-04-26 22:31:03,I,18,사용중,서울특별시 강서구 오곡동 551-1 에스더블리싸이클,에스더블리싸이클,공공용시설,2025-10-20 21:49:09,,2025-10-17,89,서울특별시 강서구 오곡동 551-1 에스더블리싸이클,3150000-E202500006,3150000,,"서울특별시 강서구 개화동로2길 974, 에스더블리싸이클 (오곡동)",07505,01,영업/정상
태영방송인아파트,,187003.870576304,448367.743580494,2026-04-26 22:31:03,I,18,사용중,서울특별시 강서구 화곡동 1140 태영방송인아파트,태영방송인아파트,공공용시설,2026-01-19 13:48:52,,2025-10-17,80,서울특별시 강서구 화곡동 1140 태영방송인아파트,3150000-E202500007,3150000,,"서울특별시 강서구 등촌로13자길 74 (화곡동, 태영방송인아파트)",07731,01,영업/정상
공암나루근린공원,,186828.258234904,451948.179944576,2026-04-26 22:31:02,I,18,사용중,서울특별시 강서구 가양동 439-1 공암나루근린공원,공암나루근린공원,공공용시설,2026-01-19 16:06:15,,2025-10-17,93,서울특별시 강서구 가양동 439-1 공암나루근린공원,3150000-E202500008,3150000,,"서울특별시 강서구 허준로5길 42, 허준공원관리사무실 (가양동)",07525,01,영업/정상
조선면옥 지하 1층,,204939.062877474,438016.000584522,2026-04-26 22:31:42,I,18,사용중,서울특별시 서초구 원지동 379번지 4호,조선면옥 지하 1층,공공용시설,2025-01-16 13:26:14,,2018-11-27,32,서울특별시 서초구 원지동 379번지 4호,3210000-E201800005,3210000,,"서울특별시 서초구 원터2길 2 (원지동, 조선면옥)",06806,01,영업/정상
그랜드빌딩(그랜드목욕탕) 지하 1층,,198950.039094564,443470.678524875,2026-04-26 22:31:41,I,18,사용중,서울특별시 서초구 방배동 794-19 그랜드빌딩,그랜드빌딩(그랜드목욕탕) 지하 1층,공공용시설,2025-03-20 11:12:22,,2011-07-11,90,서울특별시 서초구 방배동 794-19 그랜드빌딩,3210000-E201100001,3210000,,"서울특별시 서초구 동광로19길 19, 그랜드빌딩 (방배동)",06561,01,영업/정상
내곡터널관리소 지상1층,,206798.977488507,438424.664760602,2026-04-26 22:31:42,I,18,사용중,서울특별시 서초구 내곡동 1번지 2601호,내곡터널관리소 지상1층,공공용시설,2025-04-14 14:20:16,,2005-07-11,80,서울특별시 서초구 내곡동 1번지 2601호,3210000-E201100002,3210000,,서울특별시 서초구 신흥말길 146 (내곡동),,01,영업/정상
(주)삼진글로벌넷 지하1층,,201688.298288094,442743.087659213,2026-04-26 22:31:41,I,18,사용중,서울특별시 서초구 서초동 1604번지 7호,(주)삼진글로벌넷 지하1층,공공용시설,2025-03-17 13:36:38,,2009-07-01,100,서울특별시 서초구 서초동 1604번지 7호,3210000-E201100003,3210000,,"서울특별시 서초구 서초중앙로8길 82 (서초동, 동림빌딩)",06643,01,영업/정상
