사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
경기관상어,2025-12-31,208589.363343145,445455.90405262,2026-04-26 22:33:04,I,0002,폐업,,2026-01-21 14:54:56,,2014-11-12,0,,서울특별시 송파구 잠실동 **-*,323000004520140011,3230000,000,"서울특별시 송파구 올림픽로 ***, 롯데마트 지하*층 (잠실동)",05554,,03,폐업,,,02-2066-4730
SHIBASLUV,2025-12-30,210704.00864061,445377.205447926,2026-04-26 22:33:06,I,0002,폐업,,2025-12-31 09:34:48,,2021-08-02,0,,서울특별시 송파구 방이동 ***-* 보람파크빌리지,323000004520210025,3230000,000,"서울특별시 송파구 마천로 *, ***동 *층 ***호 (방이동, 보람파크빌리지)",05640,,03,폐업,,,
아쿠아플러스 홈플러스(잠실점),2026-01-28,209039.148023482,446007.966801057,2026-04-26 22:33:06,I,0002,폐업,,2026-02-04 17:24:42,,2023-04-26,0,,서울특별시 송파구 신천동 *-** SONGPA FUN STADIUM,323000004520230003,3230000,L00,"서울특별시 송파구 올림픽로**가길 **, SONGPA FUN STADIUM B*층 (신천동)",05510,,03,폐업,,,02-3468-8000
브리더스퀄리티,2025-12-11,159145.052806547,444420.8669145,2026-04-26 22:33:05,I,0002,폐업,,2025-12-16 10:49:12,,2022-03-29,0,,인천광역시 중구 운남동 ***,349000004520220011,3490000,L00,"인천광역시 중구 백운로***번길 **-*, 에이동 (운남동)",22358,,03,폐업,,,032-752-4478
강아지 분양 프러포즈펫,2025-12-29,169929.360688219,440698.160380387,2026-04-26 22:33:08,I,0002,폐업,,2025-12-30 16:50:04,,2021-12-16,0,,인천광역시 미추홀구 도화동 **-*,351050004520210030,3510500,000,"인천광역시 미추홀구 석정로 ***, *층 (도화동)",22102,,03,폐업,,,
D&C Land,2025-12-31,168839.819084359,439481.746469013,2026-04-26 22:33:08,I,0004,말소,,2025-12-31 18:16:42,,2023-07-24,0,,인천광역시 미추홀구 용현동 ***-**,351050004520230003,3510500,000,인천광역시 미추홀구 인주대로 ** (용현동),22177,,04,취소/말소/만료/정지/중지,,,032-888-9910
어린이놀이터파충류샵,2025-12-31,170416.543064875,437782.211544992,2026-04-26 22:33:08,I,0002,폐업,,2025-12-31 17:42:57,,2024-04-01,0,,인천광역시 미추홀구 학익동 ***-* 법조빌딩,351050004520240003,3510500,L00,"인천광역시 미추홀구 소성로 ***, 법조빌딩 ***호 (학익동)",22224,,03,폐업,,,
상도그 미추홀구점,2025-08-04,171562.899138622,437534.812147132,2026-04-26 22:33:09,I,0002,폐업,,2026-01-06 11:51:45,,2024-09-13,0,,인천광역시 미추홀구 문학동 ***-* 삼마빌딩,351050004520240008,3510500,000,"인천광역시 미추홀구 승학길 *, 삼마빌딩 ***호 (문학동)",22231,,03,폐업,,,
예뿌댕,2026-01-22,168550.310683795,447819.289834246,2026-04-26 22:33:09,I,0002,폐업,,2026-01-22 17:41:53,,2024-09-12,0,,인천광역시 서구 청라동 ***-** 청라두손중앙프라자,356000004520240007,3560000,000,"인천광역시 서구 청라커낼로 ***, 청라두손중앙프라자 *층 ***-A호 (청라동)",22762,,03,폐업,,,
퍼피캣 애견분양 인천가좌점,2026-01-20,172053.097520846,443552.09263101,2026-04-26 22:33:10,I,0002,폐업,,2026-01-20 17:48:42,,2025-01-31,0,,인천광역시 서구 가좌동 **-**,356000004520250002,3560000,000,"인천광역시 서구 원적로***번길 **, *층 (가좌동)",22810,,03,폐업,,,
(주)그린아쿠아펫,2025-12-29,170813.26483128,443985.945396357,2026-04-26 22:33:08,I,0002,폐업,,2025-12-29 11:54:06,,2012-08-22,0,,인천광역시 서구 가좌동 ***,356000004520150015,3560000,L00,인천광역시 서구 가정로***번길 ** (가좌동),22832,,03,폐업,,,
애견용품 할인매장,,171005.065596273,445509.248354575,2026-04-26 22:33:08,I,0000,정상,,2024-12-30 15:17:12,,2014-07-23,0,,인천광역시 서구 석남동 ***-*,356000004520140006,3560000,000,인천광역시 서구 가정로 *** (석남동),22784,,01,영업/정상,,,
헬로 퍼피,,170431.00052012,454955.167069997,2026-04-26 22:33:08,I,0004,말소,,2022-04-28 18:11:19,,2014-07-24,0,,인천광역시 서구 마전동,356000004520140007,3560000,000,"인천광역시 서구 완정로**번길 ** (마전동, 검단*차 대주피오레아파트)",22638,,04,취소/말소/만료/정지/중지,,,032-563-7961
인천조류원,,169646.621688312,454161.759340844,2026-04-26 22:33:08,I,0000,정상,,2025-11-27 18:59:22,,2014-09-02,0,,인천광역시 서구 왕길동 ***-*,356000004520140008,3560000,000,"인천광역시 서구 봉수대로 ****, *동 (왕길동)",22671,,01,영업/정상,,,
우리애견,,171075.872297476,443788.025672108,2026-04-26 22:33:08,I,0001,휴업,,2022-04-28 18:11:21,,2015-01-27,,,인천광역시 서구 가좌동 ***-**,356000004520150011,3560000,000,인천광역시 서구 가정로***번길 ** (가좌동),22833,,02,휴업,2015-08-31,2020-08-31,032-572-7708
젊은열대어,,172068.52466532,456817.728501003,2026-04-26 22:33:08,I,0000,정상,,2022-04-28 18:11:22,,2016-09-09,0,,인천광역시 서구 불로동 ***-*,356000004520160008,3560000,000,"인천광역시 서구 검단로 *** (불로동, 상원빌딩)",22620,,01,영업/정상,,,
비숑이즈,,169136.39,447961.405,2026-04-26 22:33:08,I,0004,말소,,2022-04-28 18:11:22,,2017-03-09,0,,인천광역시 서구 연희동 ***-*,356000004520170002,3560000,000,"인천광역시 서구 중봉대로***번길 **-** (연희동, 마르씨엘)",22736,,04,취소/말소/만료/정지/중지,,,032-568-1533
