사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,약국영업면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
온누리백합약국,2012-01-02,,,2026-04-26 22:31:04,I,2001-02-09,03,폐업,2012-01-02 10:25:53,,2001-02-09,,서울특별시 용산구 후암동 105-6 1층,PHMD120013020033084000001,3020000,64,,,03,폐업,,,
편한약국,2011-12-31,,,2026-04-26 22:31:05,I,2001-06-01,03,폐업,2012-01-02 10:28:48,,2001-06-01,,서울특별시 용산구 이촌1동 301-160 현대21동 상가 107호,PHMD120013020033084000002,3020000,45,,,03,폐업,,,
이레팜약국,2011-01-24,,,2026-04-26 22:31:04,I,2001-06-25,03,폐업,2011-01-24 17:21:37,,2001-06-25,,서울특별시 용산구 이촌1동 302-52 엘지프라자 지층 104호,PHMD120013020033084000004,3020000,29,,,03,폐업,,,
새건강약국,2014-08-07,,,2026-04-26 22:31:04,I,2001-07-02,03,폐업,2014-08-07 17:11:26,,2001-07-02,,서울특별시 용산구 이촌1동 300-10 전보상가12-2,PHMD120013020033084000005,3020000,24,,,03,폐업,,,
행복을주는약국,2015-05-21,,,2026-04-26 22:31:04,I,2001-08-07,03,폐업,2015-05-21 15:18:41,,2001-08-07,,서울특별시 용산구 도원동4번지 삼성래미안(아)상가 212호,PHMD120013020033084000006,3020000,42,,,03,폐업,,,
중문약국,2011-03-28,,,2026-04-26 22:31:04,I,2001-11-09,03,폐업,2011-03-28 10:05:29,,2001-11-09,,서울특별시 용산구 한강로3가 48-2,PHMD120013020033084000008,3020000,44,,,03,폐업,,,
굿윌정약국,2011-02-09,,,2026-04-26 22:31:04,I,2002-01-02,03,폐업,2011-02-09 14:24:35,,2002-01-02,,서울특별시 용산구 후암동 105-3,PHMD120023020033084000001,3020000,33,,,03,폐업,,,
원효종로엠약국,2022-07-07,196448.260071629,448121.923070359,2026-04-26 22:31:04,I,2002-04-01,03,폐업,2022-07-07 11:28:14,,2002-04-01,,서울특별시 용산구 원효로2가 91-7,PHMD120023020033084000002,3020000,133,서울특별시 용산구 원효로41길 58-1 (원효로2가),04363,03,폐업,,,02-704-3118
한강약국,2010-10-29,196862.736717493,447075.456650818,2026-04-26 22:31:04,I,2002-04-20,03,폐업,2016-02-11 14:55:47,,2002-04-20,,서울특별시 용산구 한강로3가 45-2,PHMD120023020033084000003,3020000,25,서울특별시 용산구 서빙고로 4-4 (한강로3가),04388,03,폐업,,,
용산중앙약국,2011-04-06,,,2026-04-26 22:31:04,I,2002-04-20,03,폐업,2011-04-07 09:21:58,,2002-04-20,,서울특별시 용산구 한강로3가 65-162,PHMD120023020033084000004,3020000,78,,,03,폐업,,,
참사랑약국,2019-08-29,196950.394718106,448510.426776893,2026-04-26 22:31:04,I,2003-03-21,03,폐업,2019-08-29 16:54:50,,2003-03-21,,서울특별시 용산구 원효로1가 27-12,PHMD120033020033084000001,3020000,36,서울특별시 용산구 원효로77길 12 (원효로1가),04316,03,폐업,,,
서울약국,2012-08-01,,,2026-04-26 22:31:04,I,2003-07-01,03,폐업,2012-08-01 15:40:38,,2003-07-01,,서울특별시 용산구 갈월동 15-3,PHMD120033020033084000002,3020000,70,,,03,폐업,,,
서울중앙약국,2025-01-02,197373.839856311,450014.537949042,2026-04-26 22:31:04,I,2003-11-27,03,폐업,2025-01-02 11:09:51,,2003-11-27,,서울특별시 용산구 동자동 43-205 1층 역사내,PHMD120033020033084000003,3020000,29,"서울특별시 용산구 청파로 378, 1층 (동자동)",04301,03,폐업,,,02-313-4483
정문약국,2025-09-11,200355.926471791,447885.825806315,2026-04-26 22:31:04,I,2003-12-02,03,폐업,2025-09-12 09:34:21,,2003-12-02,,서울특별시 용산구 한남1동 638-11,PHMD120033020033084000004,3020000,48,서울특별시 용산구 대사관로 60-1 (한남동),04402,03,폐업,,,02-796-2580
광장약국,2009-07-22,,,2026-04-26 22:31:04,I,2004-02-11,03,폐업,2009-07-22 17:38:59,,2004-02-11,,서울특별시 용산구 동자동 43-52,PHMD120043020033084000001,3020000,29,,,03,폐업,,,031-274-8456
용산역약국,2017-01-07,196762.077394917,447480.039577359,2026-04-26 22:31:04,I,2004-09-23,03,폐업,2017-01-12 11:45:40,,2004-09-23,,서울특별시 용산구 한강로3가 40-999 3층 맞이방,PHMD120043020033084000004,3020000,50,"서울특별시 용산구 한강대로23길 55, 3층 (한강로3가)",04377,03,폐업,,,
옵티마엠마오약국,2018-09-20,197722.571038558,446344.591216568,2026-04-26 22:31:04,I,2004-10-05,03,폐업,2018-09-20 10:27:05,,2004-10-05,,서울특별시 용산구 이촌1동 300-153 한강맨션 11동 203-1호,PHMD120043020033084000005,3020000,33,"서울특별시 용산구 이촌로 248, 11동 203-1호 (이촌동, 한강맨션)",04426,03,폐업,,,
한국약국,2021-11-03,198236.296378418,446262.544080318,2026-04-26 22:31:04,I,2004-12-01,03,폐업,2021-11-03 14:29:48,,2004-12-01,,서울특별시 용산구 이촌1동 301-160 현대21동 112호,PHMD120043020033084000006,3020000,18,"서울특별시 용산구 이촌로 303, 21동 112호 (이촌동, 현대아파트)",04424,03,폐업,,,02-794-6045
열린약국,2010-09-27,197725.026777439,449696.305233799,2026-04-26 22:31:04,I,2005-05-24,03,폐업,2016-02-11 15:29:43,,2005-05-24,,서울특별시 용산구 후암동 123-13,PHMD120053020033084000004,3020000,37,서울특별시 용산구 한강대로102길 51-4 (후암동),04333,03,폐업,,,
기분좋은 한약국,2016-01-06,,,2026-04-26 22:31:04,I,2005-05-24,03,폐업,2016-01-06 17:39:55,,2005-05-24,,서울특별시 용산구 한강로1가 215-5 의성빌딩 1층,PHMD120053020033084000005,3020000,35,,,03,폐업,,,
수약국,2014-01-24,,,2026-04-26 22:31:05,I,2005-09-08,03,폐업,2014-01-24 11:57:56,,2005-09-08,,서울특별시 용산구 효창동 81-1,PHMD120053020033084000006,3020000,12,,,03,폐업,,,
이촌약국,2012-03-19,,,2026-04-26 22:31:04,I,2005-09-26,03,폐업,2012-03-19 11:01:00,,2005-09-26,,서울특별시 용산구 이촌1동 300-27 한강쇼핑센터 3층 1호,PHMD120053020033084000007,3020000,22,,,03,폐업,,,
김약국,2013-09-30,,,2026-04-26 22:31:04,I,2006-01-18,03,폐업,2013-09-30 13:08:40,,2006-01-18,,서울특별시 용산구 효창동 74,PHMD120063020033084000002,3020000,22,,,03,폐업,,,
청해약국,2010-09-27,197725.026777439,449696.305233799,2026-04-26 22:31:04,I,2006-01-26,03,폐업,2016-02-11 14:45:39,,2006-01-26,,서울특별시 용산구 한강로3가 63-196,PHMD120063020033084000003,3020000,32,서울특별시 용산구 한강대로102길 51-4 (후암동),04333,03,폐업,,,
용산대학약국,2012-11-01,,,2026-04-26 22:31:04,I,2006-03-27,03,폐업,2012-11-01 14:27:01,,2006-03-27,,서울특별시 용산구 한남동 639-8,PHMD120063020033084000004,3020000,64,,,03,폐업,,,
김숙영약국,2016-02-16,197773.224501107,449762.092549488,2026-04-26 22:31:04,I,2006-03-31,03,폐업,2016-02-16 09:31:32,,2006-03-31,,서울특별시 용산구 후암동 116-34,PHMD120063020033084000005,3020000,26,서울특별시 용산구 한강대로104길 62 (후암동),04333,03,폐업,,,32750887
임마누엘 명약국,2011-03-09,,,2026-04-26 22:31:04,I,2006-06-29,03,폐업,2011-03-10 09:23:55,,2006-06-29,,서울특별시 용산구 한강로3가 40-8,PHMD120063020033084000006,3020000,23,,,03,폐업,,,
탑약국,2012-12-21,,,2026-04-26 22:31:04,I,2006-08-17,03,폐업,2012-12-21 14:26:40,,2006-08-17,,서울특별시 용산구 한남2동 736-8,PHMD120063020033084000008,3020000,41,,,03,폐업,,,
효약국,2011-04-21,,,2026-04-26 22:31:04,I,2006-10-12,03,폐업,2011-04-21 11:53:24,,2006-10-12,,서울특별시 용산구 원효로2가 94-2 원효상가아파트 204호,PHMD120063020033084000009,3020000,28,,,03,폐업,,,
서부메디칼약국,2011-06-14,197145.738804882,450208.807869693,2026-04-26 22:31:04,I,2006-11-01,03,폐업,2016-02-11 15:31:15,,2006-11-01,,서울특별시 용산구 서계동 223-18 지하1층,PHMD120063020033084000010,3020000,104,"서울특별시 용산구 청파로 383-8 (서계동, 청운가든)",04300,03,폐업,,,
홍주약국,2008-11-17,,,2026-04-26 22:31:04,I,2006-11-09,03,폐업,2008-11-17 14:17:17,,2006-11-09,,서울특별시 용산구 이촌1동 302-51 3층,PHMD120063020033084000011,3020000,31,,,03,폐업,,,
파운지약국(pha-unge pharmacy),2017-03-27,198165.767858385,446185.244544796,2026-04-26 22:31:04,I,2007-01-04,03,폐업,2017-03-27 17:24:53,,2007-01-04,140-907,서울특별시 용산구 이촌동 301번지 169호 렉스상가 12-1호,PHMD120073020033084000001,3020000,19,"서울특별시 용산구 이촌로 300, 12-1호 (이촌동, 렉스상가)",04425,03,폐업,,,
용사구내약국,2013-10-01,,,2026-04-26 22:31:04,I,2007-01-16,03,폐업,2013-10-01 17:06:17,,2007-01-16,,서울특별시 용산구 한강로3가 40-708,PHMD120073020033084000002,3020000,28,,,03,폐업,,,070-4339-4504
행복나무한약국,2011-02-25,,,2026-04-26 22:31:04,I,2007-10-18,03,폐업,2011-02-25 10:15:07,,2007-10-18,,서울특별시 용산구 보광동 259-1 102호,PHMD120073020033084000006,3020000,34,,,03,폐업,,,
소아건강약국,2013-08-09,,,2026-04-26 22:31:04,I,2008-01-11,03,폐업,2013-08-09 09:33:18,,2008-01-11,,서울특별시 용산구 서계동 223-8 1층,PHMD120083020033084000001,3020000,28,,,03,폐업,,,
유진약국,2008-10-06,,,2026-04-26 22:31:04,I,2008-07-25,03,폐업,2008-11-17 16:20:42,,2008-07-25,,서울특별시 용산구 신계동 25-8,PHMD120083020033084000006,3020000,23,,,03,폐업,,,
저스트헬쓰드럭스토어약국,2008-10-10,,,2026-04-26 22:31:04,I,2008-08-05,03,폐업,2008-11-17 16:22:47,,2008-08-05,,서울특별시 용산구 이태원1동 34-6,PHMD120083020033084000007,3020000,41,,,03,폐업,,,
튼튼약국,2009-03-02,,,2026-04-26 22:31:04,I,2008-08-18,03,폐업,2009-03-02 16:41:23,,2008-08-18,,서울특별시 용산구 용산동6가 69-167 신동아쇼핑센타 1층117호,PHMD120083020033084000008,3020000,24,,,03,폐업,,,
우리들약국,2010-08-03,,,2026-04-26 22:31:04,I,2008-08-27,03,폐업,2010-08-03 17:45:57,,2008-08-27,,서울특별시 용산구 원효로2가 91-9 1층,PHMD120083020033084000009,3020000,36,,,03,폐업,,,
우리약국,2013-07-29,,,2026-04-26 22:31:04,I,2008-09-03,03,폐업,2013-07-29 13:13:18,,2008-09-03,,서울특별시 용산구 한강로3가 40-999 6층 990호,PHMD120083020033084000010,3020000,19,,,03,폐업,,,20121507
홍주약국,2010-12-06,197265.064006919,446517.341438543,2026-04-26 22:31:04,I,2008-11-17,03,폐업,2015-07-27 15:29:25,,2008-11-17,140-854,서울특별시 용산구 이촌동 302번지 51호 국민은행PB센터 3층,PHMD120083020033084000011,3020000,29,서울특별시 용산구 이촌로 206 (이촌동),,03,폐업,,,
한남23시약국,2009-03-31,200455.14401596,447866.831310941,2026-04-26 22:31:04,I,2008-09-23,03,폐업,2011-11-24 14:45:28,,2008-09-23,140-887,서울특별시 용산구 한남동 633번지 3호 1층 1호,PHMD120083020033084000013,3020000,37,,,03,폐업,,,
