건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,동서산업개발(주),2018-01-23,186705.434766217,450531.606544712,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,,,,2018-01-23 18:55:14,,1999-07-03,157-030,서울특별시 강서구 등촌동 ***-**,CDFF2241081999000001,3150000,,서울특별시 강서구 공항대로 ***  (등촌동),,03,폐업,,,,,,
,우리텔레코뮤니케이션(주),2022-09-26,186020.435846488,447556.25663317,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,,,,2022-09-26 15:36:50,,2000-07-12,157-910,서울특별시 강서구 화곡동 ***-*,CDFF2241082000000003,3150000,,서울특별시 강서구 곰달래로 **  (화곡동),,03,폐업,,,,26016070,,
,(주)케이슬롯,2014-03-21,185973.598559924,447835.032408626,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,아케이드,,,2014-03-21 09:28:15,,2001-12-12,157-882,서울특별시 강서구 화곡동 ***-** 중앙빌딩 *층,CDFF2241082001000001,3150000,,"서울특별시 강서구 강서로**길 **  (화곡동,중앙빌딩 *층)",,03,폐업,,,,,,
,코리아테크,2008-03-21,182933.115073744,451603.69008765,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,아케이드,,,2008-03-21 15:00:42,,2002-08-30,157-853,서울특별시 강서구 방화동 ***-**,CDFF2241082002000007,3150000,,서울특별시 강서구 개화동로**길 **  (방화동),,03,폐업,,,,,,
,(주)에어넷엔터테인먼트,2008-03-05,185920.456555403,451515.384030873,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,아케이드,,,2008-03-05 17:05:44,,2003-05-19,157-030,서울특별시 강서구 등촌동 ***-* 태우빌딩 *층,CDFF2241082003000002,3150000,,"서울특별시 강서구 강서로**가길 ***  (등촌동,태우빌딩 *층)",,03,폐업,,,,36645230,,
,오즈마이크로시스템(주),2020-02-11,185897.855570757,452007.862247458,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,아케이드,,,2020-02-19 08:36:50,,2004-04-21,157-801,서울특별시 강서구 가양동 ***-* 상지빌딩 *층,CDFF2241082004000004,3150000,,"서울특별시 강서구 강서로 ***-*  (가양동,상지빌딩 *층)",,03,폐업,,,,36654506,,
,메이킹,2012-10-24,185796.522248947,450735.884713387,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,아케이드,,,2012-10-24 17:43:25,,2004-11-05,157-030,서울특별시 강서구 등촌동 ***-* 성원쌍떼뷰 ***,CDFF2241082004000008,3150000,,"서울특별시 강서구 공항대로 ***  (등촌동,성원쌍떼뷰 ***)",,03,폐업,,,,36625341,,
,동훈전자,2012-05-25,185338.151919392,449010.381570866,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,아케이드,,,2012-05-25 10:02:42,,2005-06-14,157-922,서울특별시 강서구 화곡동 ****-** *층,CDFF2241082005000003,3150000,,"서울특별시 강서구 강서로**길 **  (화곡동,*층)",,03,폐업,,,,26548934,,
,보스,2008-07-21,186812.025119602,450195.162249157,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,온라인,,,2008-07-21 16:13:55,,2005-08-19,157-928,서울특별시 강서구 화곡동 ****-*,CDFF2241082005000004,3150000,,서울특별시 강서구 화곡로 ***  (화곡동),,03,폐업,,,,,,
,(주)니다엔터테인먼트,2025-12-08,185551.882287003,448930.879791208,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,온라인,,,2025-12-08 16:30:24,,2005-10-18,,서울특별시 강서구 화곡동 ****-**,CDFF2241082005000005,3150000,,서울특별시 강서구 화곡로**길 ** (화곡동),,03,폐업,,,,26030163,,
근린생활시설,홀리스,2008-03-24,186086.228907452,448108.231441146,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,온라인,159.81,8,2008-03-25 13:21:16,,2006-09-12,157-882,서울특별시 강서구 화곡동 ***-**,CDFF2241082006000003,3150000,일반주거지역,서울특별시 강서구 강서로**가길 **  (화곡동),,03,폐업,기타,,,02-2602-1212,9,1
근린생활시설,(주)디에이치에스인디비쥬얼,2007-11-21,185888.506869011,451547.681434211,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,아케이드 게임물,,8,2007-11-23 10:06:00,,2007-04-23,157-030,서울특별시 강서구 등촌동 ***-* 센타빌딩 ***호,CDFF2241082007000002,3150000,준주거지역,"서울특별시 강서구 강서로 ***,  ***호 (등촌동,센타빌딩)",,03,폐업,기타,,,,9,1
,(주)센스샵,2013-12-31,186822.250268125,447387.597800385,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,아케이드,228.02,,2014-02-06 09:46:50,,2008-06-25,,서울특별시 강서구 화곡동 ***-* *층,CDFF2241082008000006,3150000,,"서울특별시 강서구 국회대로 ***, *층 (화곡동)",,03,폐업,,,,,,
,게임기뱅크,2025-11-03,187318.488409371,450810.520480469,유통관련업,게임물제작업,2026-04-26 22:33:13,I,03,폐업,아케이드,,,2025-11-05 09:26:06,,2008-10-01,157-838,서울특별시 강서구 등촌동 ***-** 강변샤르망 ***동 ***호,CDFF2241082008000010,3150000,,"서울특별시 강서구 양천로 ***, ***동 ***호 (등촌동,강변샤르망)",,03,폐업,,,,,,
