사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
동일석유(주)개나리주유소,주유소,,185164.07240776,447351.284284049,2026-04-28 22:30:21,I,06,휴지사업재개,2017-11-28 10:51:09,,1977-09-10,1412,서울특별시 양천구 신월동 206-1,1977314007001500002,3140000,서울특별시 양천구 남부순환로 442 (신월동),,,01,영업/정상,,,02-2606-5189
동일석유(주)개나리주유소,주유소,,185164.07240776,447351.284284049,2026-04-28 22:30:21,I,01,신규등록,2014-04-07 17:23:11,,1977-09-10,1412,서울특별시 양천구 신월동 206-1,1977314011401500002,3140000,서울특별시 양천구 남부순환로 442 (신월동),,,01,영업/정상,,,26065189
(주)서부티엔디,주유소,,185716.749050511,445264.23483344,2026-04-28 22:30:21,I,01,신규등록,2018-12-19 17:02:03,,1980-07-28,2056,서울특별시 양천구 신정동 1315 서부트럭터미널,1980314007001500003,3140000,서울특별시 양천구 신정로 167 (신정동),08055,,01,영업/정상,,,02-2614-0047
플라트(주) 서호주유소,주유소,,184626.053521926,448504.146187185,2026-04-28 22:30:21,I,06,휴지사업재개,2024-11-15 09:57:17,,1980-11-06,542.8,서울특별시 양천구 신월동 52-1,1980314007001500004,3140000,서울특별시 양천구 남부순환로 317 (신월동),,,01,영업/정상,2010-10-01,2010-12-31,02-2605-1359
(주)자연에너지 남부주유소,주유소,,185679.940724601,446374.736454938,2026-04-28 22:30:21,I,07,영업개시,2025-04-01 14:29:54,,1981-08-31,2309.4,서울특별시 양천구 신월동 525-1,1981314007001500007,3140000,서울특별시 양천구 남부순환로 553 (신월동),,,01,영업/정상,,,02-2690-5001
신정석유,일반판매소,,187050.834665086,446473.900805319,2026-04-28 22:30:21,I,01,신규등록,2016-01-07 14:14:55,,1988-01-01,,서울특별시 양천구 신정동 1029-45,1988314007001200005,3140000,서울특별시 양천구 은행정로5길 52 (신정동),,,01,영업/정상,,,02-2645-8929
한강석유,일반판매소,,186131.044077479,446571.847789679,2026-04-28 22:30:21,I,01,신규등록,2016-01-07 16:46:42,,1988-01-01,,서울특별시 양천구 신월동 513-5,1988314007001200020,3140000,서울특별시 양천구 월정로 14 (신월동),,,01,영업/정상,,,02-2604-9166
에이치디현대오일뱅크(주)직영 양천셀프주유소,주유소,,188528.033792032,445390.869067966,2026-04-28 22:30:21,I,06,휴지사업재개,2025-04-24 14:27:42,,1989-04-20,729,서울특별시 양천구 신정동 151-20,1989314007001500008,3140000,서울특별시 양천구 목동로 17 (신정동),,2019-09-05,01,영업/정상,2019-06-13,2019-08-31,02-2644-2123
삼미상사(주)신월IC셀프주유소,주유소,,186652.821182263,447040.092238219,2026-04-28 22:30:21,I,06,휴지사업재개,2023-01-19 13:41:03,,1989-08-31,594.7,서울특별시 양천구 신월동 474-4,1989314007001500009,3140000,서울특별시 양천구 중앙로 331 (신월동),,2016-12-02,01,영업/정상,2016-10-04,2017-12-20,02-2694-4966
제일석유,일반판매소,,187428.61357269,446506.328046586,2026-04-28 22:30:21,I,01,신규등록,2018-08-13 11:02:03,,1990-08-09,,서울특별시 양천구 신정동 1024-1,1990314007001200040,3140000,서울특별시 양천구 신월로36길 11 (신정동),,,01,영업/정상,,,02-2643-9191
