사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
pet102거8959,,,,2026-04-28 22:00:59,I,0000,정상,,2026-03-11 11:15:31,,2026-03-11,0,,경기도 양주시 장흥면 부곡리 *** 송추역 북한산 경남아너스빌,559000005020260002,5590000,000,"경기도 양주시 장흥면 호국로***번길 **, ***동 *층 ***호 (송추역 북한산 경남아너스빌)",11521,,01,영업/정상,,,
pet139도8898,,175150.47432362,449378.484055359,2026-04-28 22:33:09,I,0000,정상,,2026-04-15 16:00:03,,2026-04-15,0,,인천광역시 계양구 계산동 ***-** 한림주택 나동 B**호,355000005020260003,3550000,000,"인천광역시 계양구 경명대로****번길 **-*, 나동 B**호 (계산동, 한림주택)",21037,,01,영업/정상,,,
바른반려견센터,,217344.753524462,451638.78739702,2026-04-28 22:01:36,I,0000,정상,,2026-04-27 17:39:35,,2026-04-27,0,,경기도 하남시 망월동 ****-* 미사강변 오벨리스크,404000005020260002,4040000,000,"경기도 하남시 미사대로 ***, 미사강변 오벨리스크 상가동 ***호 (망월동)",12912,,01,영업/정상,,,
pet19무8734,2025-12-22,175857.870524333,446963.151982403,2026-04-28 22:33:08,I,0002,폐업,,2025-12-22 16:18:04,,2022-07-04,0,,인천광역시 계양구 작전동 ***-* 계양 우림카이저팰리스 ***동 ****호,355000005020220003,3550000,000,"인천광역시 계양구 아나지로 ***, ***동 ****호 (작전동, 계양 우림카이저팰리스)",21122,,03,폐업,,,
pet33러0382,2026-01-26,176942.440830814,449151.832548691,2026-04-28 22:33:09,I,0002,폐업,,2026-01-28 11:37:07,,2023-11-29,0,,인천광역시 계양구 병방동 ***-* 학마을서해.영남아파트 ***동 ****호,355000005020230010,3550000,000,"인천광역시 계양구 장제로 ***, 학마을서해.영남아파트 ***동 **층 ****호 (병방동, 학마을서해.영남아파트)",21035,,03,폐업,,,
pet363마3251,,173447.886989487,447673.054479066,2026-04-28 22:33:09,I,0000,정상,,2026-03-23 16:41:18,,2026-03-23,0,,인천광역시 계양구 효성동 ***-** 태산아파트 ***동 ****호,355000005020260002,3550000,000,"인천광역시 계양구 봉오대로***번길 **, ***동 **층 ****호 (효성동, 태산아파트)",21100,,01,영업/정상,,,
해피애견센터(279노2097),,205552.738467833,482006.882996903,2026-04-28 22:00:59,I,0000,정상,,2026-03-12 09:22:55,,2026-03-11,0,,경기도 양주시 덕정동 ***-*,559000005020260003,5590000,000,경기도 양주시 화합로****번길 **-** (덕정동),11451,,01,영업/정상,,,
동물친구들(pet113누6752),2026-04-27,206128.15508667,461580.328746881,2026-04-28 03:03:03,U,0002,폐업,,2026-04-27 16:56:37,,2025-04-03,0,,서울특별시 노원구 상계동 ***-***,310000005020250007,3100000,000,"서울특별시 노원구 상계로**길 **-**, *층 (상계동)",01697,,03,폐업,,,
강아지유치원왕왕 마포점,,196043.165226453,450175.069333285,2026-04-28 03:03:03,U,0000,정상,,2026-04-27 10:52:46,,2024-01-22,0,,서울특별시 마포구 아현동 *** 애오개아이파크,313000005020240001,3130000,000,"서울특별시 마포구 굴레방로*길 **, 상가비동 지*층 ***호 (아현동, 애오개아이파크)",04117,,01,영업/정상,,,1660-0317
pet51러5775,,197924.820160419,468939.081574761,2026-04-28 22:00:59,I,0000,정상,,2026-04-22 12:56:08,,2026-04-22,0,,경기도 양주시 장흥면 부곡리 ***-** 청담에비뉴프리빌리지,559000005020260006,5590000,000,"경기도 양주시 장흥면 가마골로 **-**, K*동 ***호 (청담에비뉴프리빌리지)",11521,,01,영업/정상,,,
