사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
강아지유치원왕왕 마포점,,196043.165226453,450175.069333285,2026-04-28 03:03:03,U,0000,정상,,2026-04-27 10:51:31,,2023-12-08,0,,서울특별시 마포구 아현동 *** 애오개아이파크,313000004820230009,3130000,000,"서울특별시 마포구 굴레방로*길 **, B*층 ***호 (아현동, 애오개아이파크)",04117,,01,영업/정상,,,1660-0317
멍쉘,,178073.966089332,443123.616033504,2026-04-28 21:02:50,I,0000,정상,,2026-04-27 16:35:29,,2026-04-27,0,,경기도 부천시 원미구 상동 ***-* 현대프라자,386000004820260004,3860000,000,"경기도 부천시 원미구 상일로**번길 **, 현대프라자 ***호 (상동)",14598,,01,영업/정상,,,
도담동물보호소,,187822.508429876,463547.210778142,2026-04-28 21:02:51,I,0000,정상,,2026-04-27 17:24:53,,2026-04-27,0,,경기도 고양시 덕양구 원당동 ***-* *층,395000004820260004,3940000,000,"경기도 고양시 덕양구 호국로 ****, *층 (원당동)",10292,,01,영업/정상,,,
프리멍,2025-12-23,175392.454679396,448775.975979453,2026-04-28 22:33:06,I,0002,폐업,,2025-12-24 12:21:20,,2023-10-17,0,,인천광역시 계양구 계산동 ***-**,355000004820230003,3550000,000,"인천광역시 계양구 계양대로 ***, *층 ***호 (계산동)",21048,,03,폐업,,,032-716-5815
GPS 애견학교,,205011.324617126,484318.971423238,2026-04-28 22:00:57,I,0000,정상,,2024-10-28 11:04:55,,2023-02-08,0,,경기도 양주시 봉양동 ***-*,559000004820230004,5590000,000,경기도 양주시 평화로 ****(봉양동),11447,,01,영업/정상,,,
매일 그개와,,205602.261176787,483583.411767975,2026-04-28 22:00:57,I,0000,정상,,2023-02-21 16:28:24,,2023-02-21,0,,경기도 양주시 봉양동 ***,559000004820230005,5590000,000,경기도 양주시 칠봉산로***번길 ***-**(봉양동),11448,,01,영업/정상,,,
달빛냥살롱,,208649.058351816,480001.316857064,2026-04-28 22:00:57,I,0000,정상,,2023-03-02 13:05:34,,2023-03-02,0,,경기도 양주시 옥정동 ****-* 다올레이크프라자,559000004820230006,5590000,000,"경기도 양주시 옥정동로 ***, 다올레이크프라자 *층 *호 (옥정동)",11474,,01,영업/정상,,,
댕댕미용,,207525.257791882,481049.884277842,2026-04-28 22:00:57,I,0000,정상,,2025-05-28 08:24:32,,2023-03-27,0,,경기도 양주시 옥정동 ***-*,559000004820230008,5590000,000,"경기도 양주시 새터로 **-*, *층 (옥정동)",11468,,01,영업/정상,,,
데이지 독,,206503.926338845,481068.409370232,2026-04-28 22:00:57,I,0000,정상,,2023-05-19 10:46:54,,2023-05-19,0,,경기도 양주시 고암동 ***-*,559000004820230009,5590000,000,경기도 양주시 고암길 ***-** (고암동),11457,,01,영업/정상,,,
카네이션 퍼피호텔,,194512.391439743,474515.669405172,2026-04-28 22:00:57,I,0000,정상,,2023-06-27 08:58:14,,2023-06-27,0,,경기도 양주시 백석읍 기산리 ***,559000004820230010,5590000,000,경기도 양주시 백석읍 기산로***번길 **,11518,,01,영업/정상,,,031-855-6292
