건축연면적,건물용도명,사업장명,사업자등록번호,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,기획여행보험시작일자,기획여행보험종료일자,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,사무실,주식회사 오늘콘텐츠,,,,10000000,,,,국내여행업,2026-05-03 22:40:23,I,13,영업중,,,,,,,,,,,2026-02-12 18:03:02,,2026-02-12,,인천광역시 서구 원당동 1041-1 서영아너시티플러스 714호,CDFI2260012026000001,3560000,,,,"인천광역시 서구 이음대로 384, 서영아너시티플러스 714호 (원당동)",22866,01,영업/정상,,,,,,,,,,,,
,,(주) 동서남북테마여행사,,,2011-03-18,50000000,207371.282842355,454566.912774126,관광사업,국내여행업,2026-05-03 22:40:20,I,03,폐업,,,,,,3,,,,,2011-03-18 13:36:26,,2005-04-18,131-860,서울특별시 중랑구 상봉동 110-48,CDFI2260012005000002,3060000,,,,,,03,폐업,,,,,,,02-492-7993,3,,,,
,근린생활시설,하나,,,2016-08-17,,207192.956998185,454183.01859648,관광사업,국내여행업,2026-05-03 22:40:20,I,03,폐업,,,,,,4,,2015-07-13,2016-07-12,서울보증보험,2016-08-18 10:59:28,,2006-07-05,131-819,서울특별시 중랑구 면목동 142-3 2층,CDFI2260012006000002,3060000,,,,"서울특별시 중랑구 면목천로23길 45, 2층 (면목동)",02141,03,폐업,,,,,,,,5,1,,,
,,(주)장애인여행투데이원,,,2011-11-01,50000000,206315.621494545,454437.665584554,관광사업,국내여행업,2026-05-03 22:40:21,I,03,폐업,,,,35.64,36,,,,,,2011-11-01 16:29:22,,2007-01-23,131-861,서울특별시 중랑구 상봉동 137-15 상봉오피스텔 109호,CDFI2260012007000001,3060000,,,,서울특별시 중랑구 중랑천로 77 (상봉동),,03,폐업,,,,,,,,,,,,
,사무실,우리여행사,,,2008-12-31,50000000,207661.4483404,455671.574410523,관광사업,국내여행업,2026-05-03 22:40:21,I,03,폐업,,,,84,84,9,,,,,2009-07-30 14:39:11,,2007-05-16,131-863,서울특별시 중랑구 상봉동 486-1 우암빌딩 302호,CDFI2260012007000002,3060000,,,일반주거지역,,,03,폐업,,,주택가주변,,,,02-2209-3377,3,1,,,
,사무실,(주)지구투어네트워크,,,2018-02-28,,206879.914920135,455725.18087545,관광사업,국내여행업,2026-05-03 22:40:21,I,03,폐업,,,,153.63,154,6,,2015-02-02,2016-02-01,서울보증보험,2018-03-02 10:37:46,,2007-05-31,131-881,서울특별시 중랑구 중화동 307-13 논밭빌딩 3층,CDFI2260012007000003,3060000,,,일반주거지역,"서울특별시 중랑구 동일로 823, 3층 (중화동, 논밭빌딩 )",02014,03,폐업,,,기타,,,,,7,1,,,
,근린생활시설,에이지투어,,,2009-12-22,50000000,208574.566606995,455201.404791635,관광사업,국내여행업,2026-05-03 22:40:21,I,03,폐업,,,,130,130,8,,2007-07-19,2008-07-19,,2011-04-06 11:17:27,,2007-07-19,131-810,서울특별시 중랑구 망우동 470-11 기성빌딩 2층,CDFI2260012007000005,3060000,,,일반주거지역,,,03,폐업,,,기타,,,,,13,5,,,
,사무실,앨리스여행사,,,2009-11-03,100000000,208269.433219878,457021.162035231,,국내여행업,2026-05-03 22:40:21,I,03,폐업,,,,7924,7924,5,,2009-01-02,2010-01-01,서울보증보험주식회사,2009-12-17 10:52:53,,2009-02-27,131-872,서울특별시 중랑구 신내동 644 엘리트하우스 107호,CDFI2260012009000001,3060000,,,준주거지역,,,03,폐업,,,기타,,,,22090119,7,2,,,
,근린생활시설,서광투어 주식회사,,,2016-12-28,90000000,207660.883688474,454911.110252938,,국내여행업,2026-05-03 22:40:21,I,03,폐업,,,,,,2,,2015-07-23,2016-07-22,서울보증보험주식회사,2016-12-29 16:41:14,,2010-09-16,131-859,서울특별시 중랑구 상봉동 101 이지팰리스 204-1호,CDFI2260012010000003,3060000,,,근린상업지역,서울특별시 중랑구 망우로 312-1 (상봉동),02148,03,폐업,,,,,,,22087070,10,8,,,
,근린생활시설,주식회사 조이플러스투어,,,2021-12-31,30000000,208826.107675012,454707.343113838,,국내여행업,2026-05-03 22:40:21,I,03,폐업,,,,,,3,,2020-05-26,2021-05-26,한국관광협회중앙회(공제보증),2022-02-08 08:48:37,,2011-03-07,131-806,서울특별시 중랑구 망우동 409-2,CDFI2260012011000001,3060000,,,주거지역,서울특별시 중랑구 용마공원로 10 (망우동),02182,03,폐업,,,기타,,,,,4,1,,,
,,(주)싼타클럽,,,2016-05-09,90000000,206569.809839433,454749.242868642,,국내여행업,2026-05-03 22:40:21,I,03,폐업,,,,,,,,2013-07-25,2014-07-25,한국관광협회중앙회,2016-05-10 11:19:23,,2011-03-18,131-879,서울특별시 중랑구 중화동 321-34,CDFI2260012011000002,3060000,,,,서울특별시 중랑구 중랑역로3가길 3 (중화동),02110,03,폐업,,,,,,,,,,,,
,아파트,(주)터치더월드,,,2015-04-14,250000000,206808.914669794,456949.35802282,,국내여행업,2026-05-03 22:40:22,I,03,폐업,,,,,,35,,2013-04-28,2014-04-27,서울보증보험주식회사,2015-04-16 13:16:16,,2009-04-02,131-848,서울특별시 중랑구 묵동 164-4 묵동자이1단지 101동 110호,CDFI2260012012000002,3060000,,,일반상업지역,"서울특별시 중랑구 숙선옹주로 6-9, 101동 220호 (묵동, 묵동자이1단지)",,03,폐업,,,,,,,,,5,,,
,근린생활시설,이화여행사,,,2022-06-23,30000000,207721.105117662,454704.381969161,,국내여행업,2026-05-03 22:40:22,I,03,폐업,,,,,,3,,2020-07-26,2021-07-26,한국관광협회중앙회,2022-06-24 09:41:06,,2013-02-18,,서울특별시 중랑구 상봉동 104-57,CDFI2260012013000001,3060000,,,,"서울특별시 중랑구 봉우재로33길 47, 302호 (상봉동)",02154,03,폐업,,,,,,,,4,1,,,
,근린생활시설,주식회사 포유씨앤씨투어,,,2015-12-31,30000000,206689.85488446,456825.300625744,,국내여행업,2026-05-03 22:40:22,I,03,폐업,,,,,,7,,2014-07-14,2015-07-14,한국관광협회중앙회 여행공제회,2020-12-08 17:52:46,,2013-03-21,131-851,서울특별시 중랑구 묵동 238-1 수정빌딩 6층,CDFI2260012013000002,3060000,,,일반주거지역,"서울특별시 중랑구 동일로 933, 6층 (묵동, 수정빌딩 )",02005,03,폐업,,,,,,,,8,1,,,
