건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,프로젝트날,2014-12-30,199675.783080021,446686.334480454,,영화배급업,2026-05-03 22:40:45,I,03,폐업,,,2007-06-12,,2014-12-30 14:05:40,,2007-06-12,,서울특별시 용산구 동빙고동 **-*,CDFF5211032007000001,3020000,,서울특별시 용산구 서빙고로**길 ** (동빙고동),,03,폐업,,,,,,
,(주)제이에스디에스엔터테인먼트,2015-11-23,,,,영화배급업,2026-05-03 22:40:45,I,03,폐업,,,2008-06-02,,2016-11-23 14:42:04,,2008-06-02,,서울특별시 용산구 한강로*가 ***-* *층,CDFF5211032008000002,3020000,,,,03,폐업,,,,34444231,,
,오드,2010-04-30,200732.91120363,448033.316711475,,영화배급업,2026-05-03 22:40:45,I,03,폐업,,,2009-06-10,,2010-04-30 11:46:55,,2009-06-10,,서울특별시 용산구 한남동 **-* B동 ***호,CDFF5211032009000001,3020000,,"서울특별시 용산구 독서당로 **-*, B동 ***호 (한남동)",,03,폐업,,,,68332070,,
,오드(AUD),2016-12-14,200732.91120363,448033.316711475,,영화배급업,2026-05-03 22:40:45,I,03,폐업,,,2010-04-30,,2016-12-20 15:22:02,,2010-04-30,,서울특별시 용산구 한남동 **-* A동 ***호,CDFF5211032010000003,3020000,,"서울특별시 용산구 독서당로 **-*, A동 ***호 (한남동)",,03,폐업,,,,,,
,(주)라이브모션픽쳐스,2016-04-15,200775.183106359,447913.672783761,,영화배급업,2026-05-03 22:40:46,I,03,폐업,,,2012-07-31,,2016-04-18 08:45:32,,2012-07-31,,서울특별시 용산구 한남동 ***-*,CDFF5211032012000003,3020000,,"서울특별시 용산구 독서당로**길 *-**, *층 (한남동)",,03,폐업,,,,,,
,(주)뭉클픽쳐스,2024-06-04,201092.638680747,448477.788622494,,영화배급업,2026-05-03 22:40:46,I,03,폐업,,,2013-01-15,,2024-06-04 10:03:24,,2013-01-15,,서울특별시 용산구 한남동 *-* 파크뷰빌라 ***호,CDFF5211032013000001,3020000,,"서울특별시 용산구 유엔빌리지길 ***-**, ***호 (한남동, 파크뷰빌라)",,03,폐업,,,,,,
,영화사보라,2014-10-23,198853.075427187,448263.78028276,,영화배급업,2026-05-03 22:40:46,I,03,폐업,,,2013-03-21,,2014-10-23 15:59:35,,2013-03-21,,서울특별시 용산구 이태원동 *** ***호,CDFF5211032013000003,3020000,,"서울특별시 용산구 녹사평대로**길 **, ***호 (이태원동)",,03,폐업,,,,02-3478-9144,,
,주식회사 베세토케이엠제이미디어 그룹,2019-09-05,197202.846269061,446986.411557186,,영화배급업,2026-05-03 22:40:47,I,03,폐업,,,2015-07-22,,2019-09-05 09:05:46,,2015-07-22,,서울특별시 용산구 한강로*가 **-***,CDFF5211032015000003,3020000,,"서울특별시 용산구 서빙고로 **, ***동 ****호 (한강로*가)",,03,폐업,,,,02-2012-2512,,
,주식회사 비오비스타컴퍼니,2017-02-06,195322.602262906,448009.59736107,,영화배급업,2026-05-03 22:40:47,I,03,폐업,,,2015-09-24,,2017-06-19 16:06:48,,2015-09-24,,서울특별시 용산구 원효로*가 ***-*,CDFF5211032015000004,3020000,,"서울특별시 용산구 원효로 **, *층 (원효로*가)",04365,03,폐업,,,,,,
,우키픽쳐스(Wooky Pictures),2016-11-17,196697.953737986,447071.362160663,,영화배급업,2026-05-03 22:40:47,I,03,폐업,,,2016-10-07,,2016-11-23 14:08:43,,2016-10-07,,서울특별시 용산구 한강로*가 **-***,CDFF5211032016000004,3020000,,"서울특별시 용산구 한강대로**길 **, *층 (한강로*가, (주)세아정보시스템)",04379,03,폐업,,,,,,
