사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,조제용연마기수,상세영업상태코드,상세영업상태명,시력표수,총면적,안경세척기수,가열기수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,렌즈절단기수,지번주소,관리번호,측정의자수,개방자치단체코드,동공거리측정기수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,표본렌즈수,휴업시작일자,휴업종료일자,소재지전화번호,정점굴절계기수
렌즈스토리2호점,2014-12-01,194982.163296951,450753.611038379,2026-05-03 22:33:06,I,1,03,폐업,1,16.2,1,1,2014-12-01 17:01:46,,2010-04-15,120-808,1,서울특별시 서대문구 대현동 37번지 38호 1층,PHMB220103120033082200002,1,3120000,1,"서울특별시 서대문구 이화여대길 79, 1층 (대현동)",,03,폐업,1,,,02-364-6938,1
스퀘어콘택트,2014-04-01,194474.81938437,450422.374151297,2026-05-03 22:33:05,I,0,03,폐업,1,94.4,1,0,2015-04-14 16:59:57,,2010-05-17,120-180,0,서울특별시 서대문구 창천동 29번지 81호  201호(2층),PHMB220103120033082200003,1,3120000,1,"서울특별시 서대문구 신촌로 109, 2층 201호 (창천동)",,03,폐업,1,,,,1
글라스스토리 신촌점,2016-04-05,194336.727060936,450721.641758835,2026-05-03 22:33:06,I,1,03,폐업,1,111.84,1,1,2016-04-05 16:57:37,,2010-08-12,120-834,1,서울특별시 서대문구 창천동 33번지 9호,PHMB220103120033082200006,1,3120000,1,서울특별시 서대문구 연세로 35 (창천동),03788,03,폐업,1,,,02-363-3929,1
대한안경,2012-03-21,195147.40273674,450735.341626576,2026-05-03 22:33:05,I,1,03,폐업,1,16.82,1,1,2012-03-23 15:24:44,,2010-11-12,120-808,1,서울특별시 서대문구 대현동 60번지 9호 1층,PHMB220103120033082200007,1,3120000,1,"서울특별시 서대문구 이화여대길 42, 1층 (대현동)",,03,폐업,1,,,02-364-1008,1
렌즈데이,2010-12-29,195091.923429162,450778.360526179,2026-05-03 22:33:06,I,1,03,폐업,1,17.73,1,1,2010-12-29 18:42:44,,2010-12-17,120-808,1,서울특별시 서대문구 대현동 33번지 15호 1층,PHMB220103120033082200008,1,3120000,1,,,03,폐업,1,,,070-4248-2959,1
룩옵티컬 신촌점,2019-05-03,194491.307019287,450646.576957423,2026-05-03 22:33:06,I,2,03,폐업,2,663.01,4,3,2019-05-03 15:35:38,,2011-03-08,120-180,2,"서울특별시 서대문구 창천동 13번지 2호 준성빌딩 1,2층",PHMB220113120033082200001,2,3120000,2,서울특별시 서대문구 명물길 32 (창천동),03777,03,폐업,2,,,02-365-0925,2
아이젬,2014-04-25,195063.820722531,450597.874088644,2026-05-03 22:33:06,I,1,03,폐업,1,3.6,1,1,2014-04-25 17:33:57,,2011-05-18,120-753,1,서울특별시 서대문구 대현동 145번지 예스에이피엠 M층 47호(지하1층),PHMB220113120033082200002,1,3120000,1,"서울특별시 서대문구 이화여대1길 10 (대현동, 예스에이피엠)",,03,폐업,1,,,02-6373-7226,1
ALO안경원,2015-12-31,194368.300483907,450402.125783552,2026-05-03 22:33:06,I,1,03,폐업,1,19.4,1,1,2015-12-31 09:16:49,,2012-06-11,120-180,1,서울특별시 서대문구 창천동 18번지 48호,PHMB220123120033082200003,1,3120000,1,서울특별시 서대문구 연세로 4 (창천동),03779,03,폐업,1,,,02-362-8301,1
씨웰(seewell)안경원,2018-08-08,193360.478809546,452687.402459284,2026-05-03 22:33:06,I,1,03,폐업,1,165.42,3,3,2018-08-07 18:07:55,,2012-07-26,120-806,1,서울특별시 서대문구 남가좌2동 328번지 27호 1층,PHMB220123120033082200004,1,3120000,1,"서울특별시 서대문구 증가로 106, 1층 (남가좌동)",03666,03,폐업,1,,,02-302-5119,2
안경천국명지대점,2013-03-21,193210.518646643,453008.446840496,2026-05-03 22:33:06,I,1,03,폐업,1,42.12,1,1,2013-03-21 14:39:54,,2013-01-22,120-806,1,서울특별시 서대문구 남가좌2동 324번지 30호 1층,PHMB220133120033082200001,1,3120000,1,"서울특별시 서대문구 거북골로 35, 1층 (남가좌동)",,03,폐업,1,,,,1
