자산규모,사업장명,폐업일자,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,부채총액,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,에치와이 방이점,2026-01-16,,210751.031983551,445003.010096202,2026-05-03 22:51:09,I,03,폐업처리,2026-01-19 10:57:08,,,2018-06-25,,서울특별시 송파구 방이동 ***번지 *호,2018323025723200037,3230000,"서울특별시 송파구 오금로**길 **-*, *층 ***호 (방이동)",05646,,03,폐업,,,
306949842,주식회사 뉴경지,2025-12-29,200000000,,,2026-05-03 22:51:10,I,03,폐업처리,2025-12-29 14:04:48,86006248,,2017-08-04,,서울특별시 송파구 문정동 ***번지 **호 파트너스*,2019323026123200032,3230000,"서울특별시 송파구 법원로 **, 파트너스*  ****호 (문정동)",05855,,03,폐업,,,02-517-9960
,씽크엔젤,2026-01-19,,212765.946334965,443357.165805012,2026-05-03 22:51:10,I,03,폐업처리,2026-01-20 07:48:29,,,2021-02-24,,서울특별시 송파구 거여동 ***,2021323026123200007,3230000,"서울특별시 송파구 양산로**길 *, ***호 (거여동)",05773,,03,폐업,,,1800-7357
,비엠케이(BMK) BATH MASTER KITCHEN,2026-01-22,,207014.321859086,445254.66421973,2026-05-03 22:51:11,I,03,폐업처리,2026-01-23 13:04:06,,,2018-05-11,,서울특별시 송파구 잠실동 ***-* 유성빌딩 *층,2023323029123200001,3230000,"서울특별시 송파구 백제고분로*길 *, 유성빌딩 *층 (잠실동)",05561,,03,폐업,,,
,로뎀 체형 교정원,2026-01-30,,209651.977288507,444313.85474878,2026-05-03 22:51:11,I,03,폐업처리,2026-02-02 12:43:11,,,2025-02-04,,서울특별시 송파구 석촌동 ***-** ***호,2025323029123200003,3230000,"서울특별시 송파구 송파대로**길 **, *층 ***호 (석촌동)",05697,,03,폐업,,,
,에스케이건강 장안지점,2026-01-20,,201248.184904095,422213.855052933,2026-05-03 22:02:53,I,05,타시군구이관,2026-01-20 11:22:14,,,2023-10-24,,경기도 수원시 장안구 조원동 ***-**,2023375003223200010,3740000,"경기도 수원시 장안구 조원로 ***, *층 (조원동)",16282,,05,제외/삭제/전출,,,
,엘뤼프퀸,2026-01-30,,195600.425167617,418073.31072479,2026-05-03 22:02:54,I,03,폐업처리,2026-02-02 14:35:49,,,2023-08-02,,경기도 수원시 권선구 호매실동 **** 한양수자인파크원,2023376003423200005,3740000,"경기도 수원시 권선구 칠보로 ***, ***동 ***호 (호매실동, 한양수자인파크원)",16401,,03,폐업,,,
,남문 선불폰,2026-02-02,,204178.909050149,418347.159178883,2026-05-03 22:02:59,I,03,폐업처리,2026-02-04 17:09:30,,,2023-10-30,,경기도 수원시 영통구 매탄동 ***-**,2023561001823200008,3740000,경기도 수원시 영통구 매원로**번길 *-** (매탄동),16540,,03,폐업,,,
,모두드림,2025-06-07,,205149.870597784,415112.012794311,2026-05-03 22:03:02,I,03,폐업처리,2026-01-29 17:44:23,,,2024-06-13,,경기도 수원시 영통구 망포동 ***-* 세호프라자,2024561001823200005,3740000,"경기도 수원시 영통구 영통로 ***, 세호프라자 ***호 (망포동)",16692,,03,폐업,,,
,엑소바이옴 원탑지점,2026-01-23,,,,2026-05-03 22:03:06,I,03,폐업처리,2026-01-26 14:44:39,,,2025-09-24,,경기도 수원시 권선구 곡반정동 *** 수원 하늘채 더퍼스트*단지,2025376003423200012,3740000,"경기도 수원시 권선구 망포로 **, ***동 ***호 (곡반정동, 수원 하늘채 더퍼스트*단지)",16668,,03,폐업,,,
10000000,주식회사 원라이프,2026-01-26,10000000,201294.39190857,421052.789316684,2026-05-03 22:02:38,I,03,폐업처리,2026-01-26 15:48:52,0,,2019-06-05,,경기도 수원시 장안구 영화동 ***번지 *호 건호빌딩,2019375003223200004,3740000,"경기도 수원시 장안구 팔달로***번길 **-*, 건호빌딩 *층 (영화동)",16269,,03,폐업,,,031-254-3579
,초클릭,,,205348.119225103,417043.442740416,2026-05-03 22:03:16,I,01,정상영업,2026-04-14 10:50:56,,,2026-04-14,,경기도 수원시 영통구 매탄동 ***-**,2026561001823200003,3740000,"경기도 수원시 영통구 신원로***번길 **, ***호 (매탄동)",16676,,01,영업/정상,,,
,테라리온,,,202525.902969789,417607.22104113,2026-05-03 22:03:15,I,01,정상영업,2026-04-27 13:37:42,,,2026-04-27,,경기도 수원시 권선구 권선동 ****-* 한라비발디파크 ***호,2026376003423200006,3740000,"경기도 수원시 권선구 효원로***번길 **, 한라비발디파크 *층 ***호 (권선동)",16571,,01,영업/정상,,,
,기아 호매실 대리점,,,196290.357993431,418978.45295002,2026-05-03 22:03:15,I,01,정상영업,2026-04-08 11:25:34,,,2026-04-08,,경기도 수원시 권선구 금곡동 ****-*,2026376003423200003,3740000,"경기도 수원시 권선구 서수원로 ***, *층 ***~***호 *층 ***호, ***호 (금곡동)",16393,,01,영업/정상,,,
,연세우유동수원대리점,,,202350.092128406,420942.533777428,2026-05-03 22:03:15,I,01,정상영업,2026-04-08 15:59:22,,,2026-04-08,,경기도 수원시 팔달구 우만동 ***-*,2026377004123200001,3740000,"경기도 수원시 팔달구 창룡대로***번길 **, *층 (우만동)",16232,,01,영업/정상,,,031-236-5326
,모두드림,,,194633.176728331,421041.271356356,2026-05-03 22:03:15,I,01,정상영업,2026-04-20 14:51:25,,,2025-10-24,,경기도 수원시 권선구 당수동 ***-* 영송프라자 ***호,2026376003423200005,3740000,"경기도 수원시 권선구 당진로 **, 영송프라자 *층 ***호 (당수동)",16376,,01,영업/정상,,,
