사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
캣돌 캐터리,2025-12-05,160571.338532604,445277.018946759,2026-05-03 22:33:01,I,0002,폐업,,2025-12-16 10:52:17,,2018-04-10,0,,인천광역시 중구 중산동 ****-**,349000003720180003,3490000,000,인천광역시 중구 영종순환로***번길 *** (중산동),22358,,03,폐업,,,
캣플라워,2025-11-28,154820.503218349,444443.101822965,2026-05-03 22:33:01,I,0002,폐업,,2025-12-17 10:17:56,,2018-05-12,0,,인천광역시 중구 운서동 ****-*,349000003720180012,3490000,000,인천광역시 중구 백년로**번길 * (운서동),22363,,03,폐업,,,
부개,2025-10-10,160467.883581587,445182.052472013,2026-05-03 22:33:01,I,0002,폐업,,2025-12-16 10:55:03,,2019-01-22,0,,인천광역시 중구 중산동 ****-*,349000003720190006,3490000,000,인천광역시 중구 중산로**번길 **-* (중산동),22358,,03,폐업,,,
해피캣,2025-11-24,159339.642169621,445843.963286596,2026-05-03 22:33:01,I,0002,폐업,,2025-12-16 10:53:50,,2019-12-04,0,,인천광역시 중구 운북동 ****-**,349000003720190018,3490000,000,인천광역시 중구 논골*길 **-*(운북동),22357,,03,폐업,,,
소울캣,,202599.99,457730.563333333,2026-05-03 22:42:56,I,0000,정상,,2022-07-04 11:06:56,,2018-04-10,0,,서울특별시 강북구 미아동 ***-**,308000003720180004,3080000,000,"서울특별시 강북구 도봉로**길 ***, *층층 (미아동)",01162,,01,영업/정상,,,
가방위에 고양이,,201387.770150573,459271.807233782,2026-05-03 22:43:22,I,0000,정상,,2024-06-12 17:11:31,,2024-06-12,0,,서울특별시 강북구 수유동 ***-*,308000003720240002,3080000,000,"서울특별시 강북구 삼양로**길 **-*, *층 (수유동)",01090,,01,영업/정상,,,
아리솔(Arisol),,193467.836973469,452491.540026141,2026-05-03 22:46:20,I,0000,정상,,2022-07-12 15:16:50,,2019-01-28,0,,서울특별시 서대문구 연희동 ***,312000003720190001,3120000,000,"서울특별시 서대문구 증가로 **, 지층 (연희동)",03700,,01,영업/정상,,,
후르츠바스캣,,194601.941879205,444028.885924957,2026-05-03 22:03:18,I,0000,정상,,2022-07-11 09:55:44,,2019-06-07,0,,서울특별시 동작구 상도동 ***-**,319000003720190006,3190000,000,"서울특별시 동작구 양녕로**사길 **-*, *층 (상도동)",07046,,01,영업/정상,,,
푸르메 캐터리,,213537.639491012,444259.502587716,2026-05-03 22:03:54,I,0000,정상,,2023-08-07 18:04:03,,2019-09-20,0,,서울특별시 송파구 마천동 ***-*,323000003720190055,3230000,000,서울특별시 송파구 성내천로**길 **-* (마천동),05747,,01,영업/정상,,,
냥스타그램,,210257.398087205,447906.846309687,2026-05-03 22:03:57,I,0000,정상,,2023-08-08 13:02:17,,2021-04-12,0,,서울특별시 송파구 풍납동 ***-**,323000003720210007,3230000,000,"서울특별시 송파구 풍성로**길 *, *층 (풍납동)",05533,,01,영업/정상,,,
