건축물명,건축물상태명,건축물연면적,사업장명,청소대상시작일자,청소대상종료일자,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,업무구분,업무구분명,휴업폐지사유,휴업시작일자,휴업종료일자,소재지전화번호
,,,삼정보건환경,,,,172357.024171475,446489.055480717,2026-05-03 22:53:34,I,2,폐업,2015-01-05 21:03:34,,2007-10-19,,인천광역시 부평구 청천동 **-**,354000031200300010,3540000,인천광역시 부평구 서달로***번길 **  (청천동),,,03,폐업,31,저수조청소업,개인사유,,,
,,,경인산업개발(주),,,,172924.758432648,441067.209345546,2026-05-03 22:53:34,I,2,폐업,2015-01-05 21:03:34,,2004-02-12,,인천광역시 부평구 십정동 ***-* 예전빌딩 *층,354000031200300011,3540000,"인천광역시 부평구 백범로 ***  (십정동,예전빌딩 *층)",,,03,폐업,31,저수조청소업,사업부진,,,
,,,(주)대성종합관리,,,,176589.779196113,442582.55952638,2026-05-03 22:53:34,I,2,폐업,2015-01-05 21:03:34,,2005-02-07,,인천광역시 부평구 부개동 ***-*,354000031200300012,3540000,인천광역시 부평구 동수로 ***-*  (부개동),,,03,폐업,31,저수조청소업,"신고 ,저수조청소업폐지신고",,,032-504-8093
,,,태경환경개발,,,,173191.962870102,441522.507065958,2026-05-03 22:53:34,I,2,폐업,2015-01-05 21:03:34,,2007-12-28,,인천광역시 부평구 십정동 ***-*,354000031200300020,3540000,인천광역시 부평구 열우물로 **  (십정동),,,03,폐업,31,저수조청소업,경영수지악화,,,
,,,창신환경,,,,173638.428012603,444463.912439118,2026-05-03 22:53:31,I,2,폐업,2015-01-05 21:03:34,,2007-12-26,,인천광역시 부평구 산곡동 ***-*,354000031200300022,3540000,인천광역시 부평구 마장로 ***  (산곡동),,,03,폐업,31,저수조청소업,법인설립,,,032-505-6284
,,,21세기방역,,,,173849.755726025,445979.777864944,2026-05-03 22:53:31,I,2,폐업,2015-01-05 21:03:34,,2008-02-18,,인천광역시 부평구 청천동 ***-**,354000031200400001,3540000,인천광역시 부평구 마장로***번길 **-**  (청천동),,,03,폐업,31,저수조청소업,소재지변경,,,
,,,영인환경,,,,171651.086816084,448927.81820035,2026-05-03 22:53:33,I,2,폐업,2015-01-05 21:04:46,,2005-06-13,,인천광역시 서구 심곡동 ***-*,356000031200400001,3560000,인천광역시 서구 심곡로 **  (심곡동),,,03,폐업,31,저수조청소업,자진폐지,,,
,,,가람종합환경,,,,171340.013247906,446439.657112087,2026-05-03 22:53:33,I,2,폐업,2015-01-05 21:04:46,,2006-03-03,,인천광역시 서구 가정동 ***-*,356000031200400003,3560000,인천광역시 서구 가남로 ***  (가정동),,,03,폐업,31,저수조청소업,자진폐업,,,
,,,현대환경,,,,168602.958649768,441995.393329093,2026-05-03 22:53:30,I,2,폐업,2015-01-05 21:03:44,,2004-08-24,,인천광역시 동구 송림동 **-**,350000031200400001,3500000,인천광역시 동구 샛골로***번길 *  (송림동),,,03,폐업,31,저수조청소업,자진폐업,,,032-761-8344
,,,유로이앤씨,,,,170317.778626505,442024.810393466,2026-05-03 22:53:30,I,2,폐업,2015-01-05 21:03:44,,2005-05-06,,인천광역시 동구 송림동 ***-** B**호,350000031200400002,3500000,"인천광역시 동구 방축로 ***  (송림동,B**호)",,,03,폐업,31,저수조청소업,자진 폐업,,,032-529-2348
