영업소면적,사업장명,사업장구분명,업태구분명,폐업일자,위탁업체명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,실험실면적,실험실반,실험실번지,실험실산,실험실지역코드,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소건물층구분,실험실도로명주소코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소시군구코드,실험실도로명주소우편번호,실험실도로명특수주소,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실통,실험실호,실험실우편번호,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,재단법인 환경보건기술연구원,측정대행업,,2014-07-08,,187561.265938558,450958.580192166,2026-05-03 22:37:35,I,2,폐업,,,1488,1,1150010400,202,26,0,3115013,1150010400,1,11500,,(가양동),,,,,6,,2015-02-06 17:25:54,2011-12-29,,서울특별시 강서구 가양동 1488-6,315000066201100002,3150000,서울특별시 강서구 허준로 202-26 (가양동),,,03,폐업,,,02-6210-1461
,상록환경위생(주),측정대행업,,2012-03-30,,187952.560027898,450562.020225978,2026-05-03 22:37:35,I,2,폐업,,,,1,1150010100,,,,,,,,,,240-21 우림블루나인 B-911,,,,,,2015-05-11 16:27:01,2012-03-02,,서울특별시 강서구 염창동 240-21 우림블루나인 B-911,315000066201200001,3150000,서울특별시 강서구 양천로 583 (염창동),,,03,폐업,,,02-556-6929
,(주)대한환경분석기관,측정대행업,,2023-07-19,,186398.338369074,450646.647499364,2026-05-03 22:37:36,I,2,폐업,,,661,1,1150010200,351,,0,2005007,1150010200,1,11500,07590,키모코리아빌딩 (등촌동),키모코리아빌딩,,,,1,,2023-07-24 14:54:36,2019-04-16,,서울특별시 강서구 등촌동 661-1 키모코리아빌딩,315000066201900001,3150000,"서울특별시 강서구 공항대로 351, 키모코리아빌딩 (등촌동)",07590,,03,폐업,,,02-889-5500
,(주)유경시스템,측정대행업,,,,187831.720345753,450994.213236731,2026-05-03 22:37:35,I,BBBB,영업,,,1487,1,1150010400,217,,0,3115013,1150010400,1,11500,,"(가양동,가양테크노타운 403호)",가양테크노타운 403호,,,,,157200,2015-11-27 09:15:13,2007-01-22,,서울특별시 강서구 가양동 1487,315000066200700001,3150000,서울특별시 강서구 허준로 217 (가양동),,,01,영업/정상,,,36659685
,상록환경위생(주),측정대행업,,,,187952.560027898,450562.020225978,2026-05-03 22:37:35,I,BBBB,영업,,,240,1,1150010100,583,,0,3115008,1150010100,1,11500,157779,(염창동),우림블루나인 B-911,,,,21,157040,2016-09-05 09:22:26,2010-07-13,,서울특별시 강서구 염창동 240-21 우림블루나인 B-911,315000066201000001,3150000,서울특별시 강서구 양천로 583 (염창동),,,01,영업/정상,,,02-556-6929
,(재)환경보건기술연구원,측정대행업,,,,187561.265938558,450958.580192166,2026-05-03 22:37:35,I,BBBB,영업,,,1488,1,1150010400,202,26,0,3115013,1150010400,1,11500,,(가양동),,,,,6,,2026-03-11 17:46:23,2011-08-30,,서울특별시 강서구 가양동 1488-6,315000066201100001,3150000,서울특별시 강서구 허준로 202-26 (가양동),,,01,영업/정상,,,02-6210-1400
,(주)리소텍,측정대행업,,,,185341.423784971,450596.955663074,2026-05-03 22:37:35,I,BBBB,영업,,,638,1,1150010200,82,,0,4145550,1150010200,1,11500,,"901호 (등촌동, 강서IT밸리)",강서IT밸리,,901,,3,,2026-01-29 17:52:49,2012-05-25,,서울특별시 강서구 마곡동 801-12 KH에너지 R&D센터,315000066201200002,3150000,"서울특별시 강서구 마곡중앙2로 75-5, KH에너지 R&D센터 3층 (마곡동)",07805,,01,영업/정상,,,02-837-2900
,상록환경위생(주),측정대행업,,,,187952.560027898,450562.020225978,2026-05-03 22:37:36,I,BBBB,영업,0,,240,1,1150010100,583,,0,3115008,1150010100,1,11500,,(염창동),,,,,21,,2014-09-25 17:45:14,2014-09-25,,서울특별시 강서구 염창동 240-21,315000066201400001,3150000,"서울특별시 강서구 양천로 583, B동 911호 (염창동, 우림블루나인)",,,01,영업/정상,,,02-556-6929
,(주)로커스솔루션,측정대행업,,,,187952.560027898,450562.020225978,2026-05-03 22:37:36,I,BBBB,영업,21,,240,1,1150010100,583,,0,3115008,1150010100,1,11500,,"B동 21층 2102호 (염창동, 우림블루나인)",,,,,21,,2017-06-28 15:37:55,2015-01-07,,서울특별시 강서구 염창동 240-21,315000066201500001,3150000,"서울특별시 강서구 양천로 583, B동 21층 2102호 (염창동, 우림블루나인)",,,01,영업/정상,,,26589865
,재단법인환경보건기술연구원,측정대행업,,,,187561.265938558,450958.580192166,2026-05-03 22:37:36,I,BBBB,영업,490,,1488,1,1150010400,202,26,0,3115013,1150010400,1,11500,,(가양동),,,,,6,,2026-04-03 15:42:20,2015-02-09,,서울특별시 강서구 가양동 1488-6,315000066201500002,3150000,서울특별시 강서구 허준로 202-26 (가양동),,,01,영업/정상,,,62101400
