사업장명,업태보관및창고업,업태제조업,업태판매업,업태운송및택배업,폐업일자,법인여부명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,직원수,시설/장비현황,냉동냉장창고면적,냉동냉장창고동수,일반창고면적,일반창고동수,보관장소면적,보관요율,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
주식회사 탑로지스,1,,,,,법인,234581.874549563,411850.816584453,2026-05-03 22:03:57,I,01,영업중,15,"파렛트랙, 전동지게차6대 등",0,0,6734.64,1,6734.64,,2026-04-15 15:59:11,2026-04-09,,경기도 이천시 호법면 매곡리 567-46 켄달스퀘어 호법DC2,2026407024932517269,4070000,"경기도 이천시 호법면 덕평로 472-67, 켄달스퀘어 호법DC2 1,2층",17396,,01,영업/정상,,,
씨제이대한통운(주) 동부지사,,1,,1,,법인,233306.195806376,413044.911521837,2026-05-03 22:02:54,I,03,폐업,21,"렉설치, 지게차",0,0,1984,1,0,,2018-02-27 19:01:16,2013-02-27,467-812,경기도 이천시 마장면 이평리 149번지 15호,2012407009832500010,4070000,경기도 이천시 마장면 덕평로 647,,,03,폐업,,,
(주)청백에프에스,1,,,,,법인,,,2026-05-03 22:02:59,I,03,폐업,30,"렉설치, 지게차",6783,1,0,0,0,,2018-02-27 19:10:53,2013-02-27,,,2012407009832500039,4070000,경기도 이천시 호법면 중부대로714번길 21-1,17392,,03,폐업,,,
이엑스알코리아(주),,1,,,,법인,238794.78261994,405498.439627142,2026-05-03 22:03:00,I,03,폐업,100,"렉설치, 지게차",0,0,24822,1,0,,2018-02-27 19:11:26,2013-02-27,467-871,경기도 이천시 모가면 두미리 410번지 1호,2012407009832500041,4070000,경기도 이천시 모가면 사실로 419-20,,,03,폐업,,,
(주)덕평물류,1,,,,,법인,233035.201911509,412860.546079447,2026-05-03 22:03:00,I,03,폐업,18,"렉설치, 지게차",0,0,8004,2,0,,2018-02-27 19:11:55,2013-02-27,467-812,경기도 이천시 마장면 이평리 157번지 5호,2012407009832500043,4070000,경기도 이천시 마장면 덕평로661번길 53,,,03,폐업,,,
(주)덕평물류,1,,,,,법인,233145.121511814,409710.973433143,2026-05-03 22:03:00,I,03,폐업,21,"렉설치, 지게차",0,0,30460,3,0,,2018-02-27 19:12:19,2013-02-27,467-821,경기도 이천시 호법면 매곡리 988번지 3호,2012407009832500045,4070000,경기도 이천시 호법면 덕평로 217-42,,,03,폐업,,,
(주)비엘에스,,,,,,법인,232815.368424901,414624.149674965,2026-05-03 22:03:00,I,03,폐업,10,컨베니어벨트,0,0,1527,1,0,,2018-02-27 19:12:56,2013-02-27,467-812,경기도 이천시 마장면 덕평리 148번지,2012407009832500046,4070000,경기도 이천시 마장면 덕이로39번길 8,,,03,폐업,,,031-8006-2101
(주)두두로지텍,1,,,1,,법인,241181.058477312,413118.275513163,2026-05-03 22:03:00,I,03,폐업,10,"렉설치, 지게차",0,0,2338,3,0,5442,2018-02-27 19:13:11,2013-02-27,467-130,경기도 이천시 대포동 254번지 1호,2012407009832500047,4070000,경기도 이천시 대장로 144-5 (대포동),,,03,폐업,,,
(주)진안유통,,,,1,,법인,238284.361080634,415525.758779317,2026-05-03 22:03:00,I,03,폐업,4,"렉설치, 지게차",0,0,2100,1,0,6190,2018-02-27 19:13:34,2013-02-27,467-822,경기도 이천시 호법면 유산리 769번지 7호,2012407009832500048,4070000,경기도 이천시 호법면 중부대로 894-84,,,03,폐업,,,
제이비물류(주),1,,,1,,법인,235001.173216152,420237.820878067,2026-05-03 22:03:00,I,03,폐업,10,"렉설치, 지게차",0,0,6002,2,0,9000,2018-02-27 19:13:45,2013-02-27,467-811,경기도 이천시 마장면 장암리 388번지 96호,2012407009832500049,4070000,경기도 이천시 마장면 서이천로719번길 50-13,,,03,폐업,,,
(주)성안로지스틱스,1,,,,,법인,234079.596570912,419908.470817627,2026-05-03 22:03:01,I,03,폐업,17,"렉설치, 지게차,",0,0,1884,1,0,,2018-02-27 19:14:58,2013-02-27,467-811,경기도 이천시 마장면 장암리 462번지 4호,2012407009832500054,4070000,경기도 이천시 마장면 이장로311번길 91,,,03,폐업,,,
(주)아이엘,,,,,,법인,243622.804528638,419551.010173275,2026-05-03 22:03:01,I,03,폐업,10,칸막이,0,0,1735,1,0,30000,2018-02-27 19:15:24,2013-01-25,467-864,경기도 이천시 부발읍 죽당리 1144번지 3호,2013407009832500002,4070000,경기도 이천시 부발읍 부발중앙로 85,,,03,폐업,,,031-8006-2101
