사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
해솔약국,,187826.698183821,443925.52468616,2026-05-03 22:39:06,I,0002,폐업,2023-04-11 13:23:40,,2019-01-23,0,,서울특별시 구로구 고척동 73-3 일이삼전자타운 2동 120호,316000001120210001,3160000,000,"서울특별시 구로구 경인로 393-7, 일이삼전자타운 2동 120호 (고척동)",08227,,03,폐업,,,
해솔약국,,187826.698183821,443925.52468616,2026-05-03 22:39:06,I,0002,폐업,2023-04-12 10:07:39,,2021-01-14,,,서울특별시 구로구 고척동 73-3 일이삼전자타운 2동 120호,316000001120210002,3160000,000,"서울특별시 구로구 경인로 393-7, 일이삼전자타운 2동 1층 120호 (고척동)",08227,,03,폐업,,,02-2625-0026
혜원온누리약국,,171043.268419145,437518.572474754,2026-05-03 22:32:22,I,0002,폐업,2014-02-04 11:11:27,,2013-06-05,,,인천광역시 미추홀구 학익동 661-1,351000001120130005,3510500,000,인천광역시 미추홀구 매소홀로 466 (학익동),22223,,03,폐업,,,032-864-6939
영광약국,,190473.426092623,443772.6325524,2026-05-03 22:39:06,I,0002,폐업,2023-06-07 15:35:18,,2021-07-13,0,,서울특별시 구로구 구로동 74-30 신구로현대아파트 상가동 103호,316000001120210009,3160000,000,"서울특별시 구로구 구로중앙로18길 68, 상가동 1층 3호 (구로동, 신구로현대아파트)",08303,,03,폐업,,,
녹십자약국,,171334.442538275,449084.227068623,2026-05-03 22:32:30,I,0000,정상,2026-03-17 14:21:40,,2026-03-17,,,인천광역시 서구 심곡동 248,356000001120260006,3560000,000,"인천광역시 서구 서곶로 293, 1층 (심곡동)",22727,,01,영업/정상,,,032-566-8600
검단종로약국,,,,2026-05-03 22:32:30,I,0000,정상,2026-03-17 14:22:12,,2026-03-17,,,인천광역시 서구 원당동 1030-1 JS프라자,356000001120260007,3560000,000,"인천광역시 서구 이음5로 60, JS프라자 117~118호 (원당동)",22865,,01,영업/정상,,,
검단마트약국,,171367.172682423,453724.353616205,2026-05-03 22:32:30,I,0000,정상,2026-03-17 14:22:46,,2026-03-17,,,인천광역시 서구 당하동 1065-1 당하 이마트,356000001120260008,3560000,000,"인천광역시 서구 서곶로 754, 당하 이마트 3층 (당하동)",22686,,01,영업/정상,,,
연세희망약국,,192648.808096041,456904.390235007,2026-05-03 22:32:30,I,0000,정상,2026-03-18 09:01:30,,2026-03-18,,,서울특별시 은평구 갈현동 462-54,311000001120260009,3110000,000,서울특별시 은평구 연서로 175 (갈현동),03334,,01,영업/정상,,,
성모바로약국,,175611.907297718,442626.266511078,2026-05-03 22:32:31,I,0000,정상,2026-02-19 13:54:03,,2026-02-19,,,인천광역시 부평구 부평동 654-39 남부빌딩 1층 일부호,354000001120260002,3540000,000,"인천광역시 부평구 동수로 57-1, 남부빌딩 1층 일부호 (부평동)",21425,,01,영업/정상,,,
대조약국,,192656.302129643,456562.163418874,2026-05-03 22:32:30,I,0000,정상,2026-04-28 10:23:57,,2026-04-28,,,서울특별시 은평구 대조동 224-24 1층,311000001120260012,3110000,000,"서울특별시 은평구 서오릉로 140, 1층 (대조동)",03394,,01,영업/정상,,,
더채움허준약국,,192567.347062151,453851.127070876,2026-05-03 22:32:29,I,0000,정상,2026-03-13 09:39:09,,2026-03-13,0,,서울특별시 은평구 응암동 603-63 새로나빌딩 1층,311000001120260007,3110000,000,"서울특별시 은평구 응암로 168-1, 새로나빌딩 1층 (응암동)",03478,,01,영업/정상,,,02-302-1550
신일약국,,193299.735991454,455390.583613134,2026-05-03 22:32:30,I,0000,정상,2026-03-13 10:01:36,,2026-03-13,,,서울특별시 은평구 응암동 98-1 그레이스 힐 101호,311000001120260008,3110000,000,"서울특별시 은평구 은평로 156, 1층 101호 (응암동, 그레이스 힐)",03462,,01,영업/정상,,,
무악재약국,,,,2026-05-03 22:39:34,I,0000,정상,2026-04-22 09:52:03,,2026-04-22,,,서울특별시 서대문구 홍제동 478 서대문푸르지오센트럴파크아파트,312000001120260005,3120000,000,"서울특별시 서대문구 통일로 339, 상가121동 B216호 (홍제동, 서대문푸르지오센트럴파크아파트)",03731,,01,영업/정상,,,
코끼리온누리동물약국,,,,2026-05-03 22:32:30,I,0000,정상,2026-04-22 17:35:50,,2026-04-22,,,인천광역시 서구 불로동 999-7 현해타워2,356000001120260013,3560000,000,"인천광역시 서구 고산후로 285, 현해타워2 B06동 07호 (불로동)",22888,,01,영업/정상,,,032-223-1933
티아모 라이프 메디 청라 약국,,169032.208178376,446794.716345407,2026-05-03 22:32:30,I,0000,정상,2026-03-27 16:50:02,,2026-03-27,,,인천광역시 서구 청라동 202-3,356000001120260010,3560000,000,"인천광역시 서구 중봉대로 490, 120~122호 (청라동)",22770,,01,영업/정상,,,032-213-2664
검로푸한들약국,,,,2026-05-03 22:32:30,I,0000,정상,2026-03-24 17:39:42,,2026-03-24,,,인천광역시 서구 백석동 0 한들타워1,356000001120260009,3560000,000,"인천광역시 서구 한들로 74, 한들타워1 105호 (백석동)",22687,,01,영업/정상,,,
성모사랑약국,,175625.570804475,442634.835781896,2026-05-03 22:32:31,I,0000,정상,2026-03-20 14:43:31,,2026-03-20,,,"인천광역시 부평구 부평동 654-14 공익스포렉스빌딩, 113, 115~119호",354000001120260007,3540000,000,"인천광역시 부평구 동수로 61, 공익스포렉스빌딩 113, 115~119호 (부평동)",21425,,01,영업/정상,,,
새서울약국,,195036.294848865,453980.142682639,2026-05-03 22:39:34,I,0000,정상,2026-04-29 09:26:34,,2026-04-29,,,서울특별시 서대문구 홍제동 173-29,312000001120260006,3120000,000,"서울특별시 서대문구 통일로 441, 1, 3층 (홍제동)",03639,,01,영업/정상,,,
이웃사랑 힐스약국,,189727.2146132,444999.461907513,2026-05-03 22:39:11,I,0000,정상,2026-04-09 14:40:45,,2026-04-09,,,서울특별시 구로구 신도림동 433-24 힐스테이트 신도림역 센트럴,316000001120260006,3160000,000,"서울특별시 구로구 경인로 625, 힐스테이트 신도림역 센트럴 1층 111호 (신도림동)",08210,,01,영업/정상,,,
인하365약국,,168800.030609931,438489.822482458,2026-05-03 22:32:27,I,0000,정상,2026-04-10 16:13:57,,2026-04-10,,,인천광역시 미추홀구 용현동 665-9,351050001120260002,3510500,000,"인천광역시 미추홀구 독배로317번길 15, 104호 (용현동)",22188,,01,영업/정상,,,031-907-7365
엑스약국 검단점,,,,2026-05-03 22:32:30,I,0000,정상,2026-04-10 14:33:11,,2026-04-10,,,인천광역시 서구 원당동 1067,356000001120260011,3560000,000,"인천광역시 서구 이음4로 36, 101,201호 (원당동)",22877,,01,영업/정상,,,
정다운온누리약국,,192533.245686036,457523.059641315,2026-05-03 22:32:30,I,0000,정상,2026-04-23 10:52:32,,2026-04-23,,,서울특별시 은평구 갈현동 451-1 1층,311000001120260011,3110000,000,"서울특별시 은평구 갈현로 260, 1층 (갈현동)",03331,,01,영업/정상,,,
이야기약국,,168725.044916072,447687.557991574,2026-05-03 22:32:30,I,0000,정상,2026-03-05 16:12:16,,2026-03-05,,,인천광역시 서구 청라동 159-1 청라 롯데캐슬,356000001120260003,3560000,000,"인천광역시 서구 청라커낼로 252, A동 145호 (청라동, 청라 롯데캐슬)",22762,,01,영업/정상,,,
메디팜우리들약국,2018-08-27,169522.194878288,455637.263737572,2026-05-03 22:32:25,I,0002,폐업,2018-08-27 15:18:19,,2017-08-22,,,,356000001120170009,3560000,000,"인천광역시 서구 완정로 187 (왕길동, 마전메디칼센타)",22616,,03,폐업,,,
전방프라자약국,,174163.500250959,444925.241884066,2026-05-03 22:32:31,I,0000,정상,2026-03-10 13:12:29,,2026-03-10,,,인천광역시 부평구 산곡동 124-25 전방프라자 102호,354000001120260006,3540000,000,"인천광역시 부평구 안남로 261, 전방프라자 102호 (산곡동)",21362,,01,영업/정상,,,
파인약국,2026-01-26,,,2026-05-03 22:39:20,I,0002,폐업,2026-01-30 14:34:13,,2021-01-22,,,서울특별시 서대문구 창천동 72-81,312000001120210001,3120000,000,"서울특별시 서대문구 신촌로 65, 1층 (창천동)",03787,,03,폐업,,,02-336-3301
조아약국,,192636.569369815,454410.118103455,2026-05-03 22:32:30,I,0000,정상,2026-04-13 15:03:12,,2026-04-13,,,서울특별시 은평구 응암동 578-49,311000001120260010,3110000,000,서울특별시 은평구 응암로 223 (응암동),03457,,01,영업/정상,,,02-373-7525
서대문약국,2025-12-31,196646.316262816,451906.882016285,2026-05-03 22:39:30,I,0002,폐업,2026-01-27 14:58:52,,2024-03-05,,,서울특별시 서대문구 옥천동 1 1층,312000001120240006,3120000,000,"서울특별시 서대문구 통일로 177, 1층 (옥천동)",03734,,03,폐업,,,
하늘약국,,168881.415511821,439528.480300902,2026-05-03 22:32:27,I,0000,정상,2026-04-13 17:00:16,,2026-04-13,,,인천광역시 미추홀구 용현동 463-1,351050001120260003,3510500,000,"인천광역시 미추홀구 독배로 423, 105호 (용현동)",22177,,01,영업/정상,,,
