영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,신원푸드,식품소분업,2026-02-04,191173.495594828,441448.277486855,2026-05-03 22:33:19,I,02,폐업,0,,,,,,,,,2026-02-04 17:00:53,2021-04-16,43.00,153-825,서울특별시 금천구 독산동 970-30,N,,3170000-109-2021-00007,,3170000,"서울특별시 금천구 시흥대로148길 43, 102호 (독산동)",08541,03,폐업,식품소분업,02-862-9780,,,
,자가,(주)터틀크루,식품소분업,2026-01-21,189202.600232089,441848.24299943,2026-05-03 22:33:19,I,02,폐업,0,,,,,,,,,2026-01-21 09:14:54,2021-10-15,63.18,153-759,서울특별시 금천구 가산동 426-5 월드메르디앙2차,N,,3170000-109-2021-00011,,3170000,"서울특별시 금천구 가산디지털2로 123, 월드메르디앙2차 2층 203호 (가산동)",08505,03,폐업,식품소분업,070-7424-8104,,,
,자가,플로앤티,식품소분업,2026-01-19,189834.383375802,441938.326056501,2026-05-03 22:33:20,I,02,폐업,0,,,,,,,,,2026-01-19 16:09:54,2023-07-25,4.80,153-801,서울특별시 금천구 가산동 60-18 한신IT 타워2차 205호,N,,3170000-109-2023-00010,,3170000,"서울특별시 금천구 디지털로9길 47, 한신IT 타워2차 205-에이31호 (가산동)",08511,03,폐업,식품소분업,,,,
,자가,미소당,식품소분업,2026-02-02,190786.744423847,441501.925282187,2026-05-03 22:33:21,I,02,폐업,0,,,,,,,,,2026-02-02 17:01:47,2025-02-04,7.00,153-806,서울특별시 금천구 독산동 147-54,N,,3170000-109-2025-00002,,3170000,"서울특별시 금천구 시흥대로151길 25, 1층 101호 (독산동)",08533,03,폐업,식품소분업,,,,
,자가,디어파티(DEER PARTY),식품소분업,,193712.476983727,450637.010875398,2026-05-03 22:33:56,I,01,영업,0,,,,,,,,,2024-01-16 16:12:13,2024-01-16,3.00,120-836,서울특별시 서대문구 창천동 503-8,N,,3120000-109-2024-00001,,3120000,"서울특별시 서대문구 신촌로 25, 2층 255호 (창천동)",03785,01,영업/정상,식품소분업,,,,
,자가,쓰리피스커피,식품소분업,,191726.390310311,453056.844417875,2026-05-03 22:33:56,I,01,영업,0,,,,,,,,,2024-02-16 13:15:16,2024-02-16,6.60,120-814,서울특별시 서대문구 북가좌동 347-43,N,,3120000-109-2024-00004,,3120000,"서울특별시 서대문구 거북골로24길 1, 1층 가운데호 (북가좌동)",03680,01,영업/정상,식품소분업,,,,
,자가,주식회사 킹스패밀리,식품소분업,,194429.19744109,452269.999347554,2026-05-03 22:33:56,I,01,영업,0,,,,,,,,,2024-02-26 13:29:16,2024-02-26,20.00,120-823,서울특별시 서대문구 연희동 71-8,N,,3120000-109-2024-00005,,3120000,"서울특별시 서대문구 연희로26길 37, 나동 1층 (연희동)",03720,01,영업/정상,식품소분업,,,,
,자가,유닉 커피로스터스,식품소분업,,193531.627296736,451563.512107422,2026-05-03 22:33:57,I,01,영업,0,,,,,,,,,2024-03-12 14:02:20,2024-03-12,4.00,120-825,서울특별시 서대문구 연희동 192-28,N,,3120000-109-2024-00007,,3120000,"서울특별시 서대문구 연희로11가길 51, 지층 (연희동)",03707,01,영업/정상,식품소분업,,,,
,자가,문구방구 남가좌점,식품소분업,,192559.994725361,452852.020155302,2026-05-03 22:33:58,I,01,영업,0,,,,,,,,,2024-04-26 16:13:43,2024-04-26,8.00,120-120,서울특별시 서대문구 남가좌동 377 DMC래미안클라시스,N,,3120000-109-2024-00010,,3120000,"서울특별시 서대문구 증가로 191, 상가동 109호 (남가좌동, DMC래미안클라시스)",03686,01,영업/정상,식품소분업,,,,
,자가,갸또디솔레,식품소분업,,192737.745088368,451731.537566036,2026-05-03 22:33:58,I,01,영업,5.6,,,,,,,,,2024-06-14 17:37:09,2024-06-14,71.60,120-832,서울특별시 서대문구 연희동 446-285 금송빌딩,N,,3120000-109-2024-00011,,3120000,"서울특별시 서대문구 성산로 253-4, 금송빌딩 2층 201-2호 (연희동)",03706,01,영업/정상,식품소분업,,,,
,임대,무릉 mureung,식품소분업,,193506.540863616,451837.840118675,2026-05-03 22:33:58,I,01,영업,0,,,,,,,,,2025-08-08 11:49:12,2024-07-26,10.00,120-831,서울특별시 서대문구 연희동 437-12,N,,3120000-109-2024-00012,,3120000,"서울특별시 서대문구 연희로11마길 23, 지하1층 102호 (연희동)",03704,01,영업/정상,식품소분업,,,,
,자가,지에스 팩토리(GS팩토리),식품소분업,,193404.355876738,453215.930629822,2026-05-03 22:33:58,I,01,영업,0,,,,,,,,,2024-09-27 14:13:31,2024-09-27,4.49,120-848,서울특별시 서대문구 홍은동 400-37 시루지음,N,,3120000-109-2024-00013,,3120000,"서울특별시 서대문구 거북골로 8, 시루지음 지하1층 일부 (홍은동)",03675,01,영업/정상,식품소분업,,,,
,자가,제이컴퍼니,식품소분업,,191664.261439483,452591.038938964,2026-05-03 22:33:58,I,01,영업,0,,,,,,,,,2024-11-15 16:58:40,2024-11-15,15.00,120-816,서울특별시 서대문구 북가좌동 385-11,N,,3120000-109-2024-00015,,3120000,"서울특별시 서대문구 수색로8길 22, 지하1층 (북가좌동)",03714,01,영업/정상,식품소분업,,,,
,임대,(주)발명과디자인,식품소분업,,194133.070760012,454550.341433877,2026-05-03 22:33:58,I,01,영업,3,,,,,,,,,2025-10-17 14:24:07,2025-10-17,61.00,120-845,서울특별시 서대문구 홍은동 190-24,N,,3120000-109-2025-00001,,3120000,"서울특별시 서대문구 연희로41길 105, 3층 일부 (홍은동)",03650,01,영업/정상,식품소분업,,,,
,임대,마농초콜라띠에,식품소분업,,195113.32478409,450671.838118837,2026-05-03 22:33:58,I,01,영업,0,,,,,,,,,2025-12-23 09:20:45,2025-12-23,12.00,120-808,서울특별시 서대문구 대현동 56-17,N,,3120000-109-2025-00002,,3120000,"서울특별시 서대문구 이화여대5길 3, 1층 (대현동)",03766,01,영업/정상,식품소분업,02-365-5413,,,
,자가,주식회사 더담현,식품소분업,,189016.465808265,442320.784167212,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2024-06-03 15:36:26,2023-03-03,9.00,153-803,서울특별시 금천구 가산동 459-24,N,,3170000-109-2023-00015,,3170000,"서울특별시 금천구 가산디지털2로 169-16, 3층 319호 (가산동)",08500,01,영업/정상,식품소분업,,,,
,자가,주식회사 금해코리아,식품소분업,,189982.344533404,441928.69040241,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2024-01-03 14:23:37,2024-01-03,71.20,153-709,서울특별시 금천구 가산동 60-5 갑을그레이트밸리,N,,3170000-109-2024-00001,,3170000,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 지하105호(일부)호 (가산동)",08512,01,영업/정상,식품소분업,1800-9258,,,
,자가,메리고라운드 기프트,식품소분업,,189065.818334596,442338.144130222,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2024-01-26 17:00:13,2024-01-26,10.00,153-803,서울특별시 금천구 가산동 459-23 에이스 비즈포레 지식산업센터,N,,3170000-109-2024-00004,,3170000,"서울특별시 금천구 가산디지털2로 173, 에이스 비즈포레 지식산업센터 3층 310호 (가산동)",08500,01,영업/정상,식품소분업,,,,
,자가,주식회사 제이에프에프,식품소분업,,189127.981104583,442460.505542105,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2024-02-21 17:28:43,2024-02-21,9.23,153-803,서울특별시 금천구 가산동 481-10 벽산/경인디지털밸리2,N,,3170000-109-2024-00005,,3170000,"서울특별시 금천구 가산디지털2로 184, 벽산/경인디지털밸리2 15층 1511호 (가산동)",08501,01,영업/정상,식품소분업,,,,
,자가,준유통,식품소분업,,191683.57332144,441778.351919205,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2024-02-22 17:30:57,2024-02-22,63.45,153-818,서울특별시 금천구 독산동 881-44,N,,3170000-109-2024-00006,,3170000,"서울특별시 금천구 남부순환로126길 48, 1층 (독산동)",08547,01,영업/정상,식품소분업,,,,
,자가,주식회사 오에스케이에프앤지,식품소분업,,190114.172267006,441080.238719981,2026-05-03 22:33:21,I,01,영업,0,0,0,0,,,,0,,2024-03-12 17:20:19,2024-03-12,99.00,153-814,서울특별시 금천구 독산동 336-1,N,,3170000-109-2024-00007,,3170000,"서울특별시 금천구 가산로3길 115, 102,103호 (독산동)",08526,01,영업/정상,식품소분업,,,,
,자가,언더레이,식품소분업,,189647.046752134,441677.096205358,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2024-03-22 16:48:21,2024-03-22,62.00,153-803,서울특별시 금천구 가산동 371-37 에스티엑스브이타워,N,,3170000-109-2024-00008,,3170000,"서울특별시 금천구 가산디지털1로 128, 에스티엑스브이타워 11층 1105-2호 (가산동)",08507,01,영업/정상,식품소분업,02-837-8890,,,
,자가,크로플팡,식품소분업,,189511.975416074,441089.209367837,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2024-05-10 15:01:17,2024-05-10,47.52,153-802,서울특별시 금천구 가산동 345-40,N,,3170000-109-2024-00009,,3170000,"서울특별시 금천구 가산디지털2로 41, 지하2층 지하204호 (가산동)",08593,01,영업/정상,식품소분업,,,,
,자가,랩미스윗,식품소분업,2026-04-02,190901.481378795,441536.391463324,2026-05-03 22:33:21,I,02,폐업,0,,,,,,,,,2026-04-02 13:56:51,2024-06-28,30.00,153-806,서울특별시 금천구 독산동 145-8 NBN빌딩,N,,3170000-109-2024-00010,,3170000,"서울특별시 금천구 시흥대로 473, NBN빌딩 5층 505호 (독산동)",08531,03,폐업,식품소분업,070-4580-9323,,,
,자가,마고푸드랩,식품소분업,,189841.076534283,441127.322443807,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2024-08-07 14:17:18,2024-08-07,597.70,153-802,서울특별시 금천구 가산동 319 호서대벤처타워,N,,3170000-109-2024-00011,,3170000,"서울특별시 금천구 가산디지털1로 70, 호서대벤처타워 지하107호 (가산동)",08590,01,영업/정상,식품소분업,02-863-4797,,,
,자가,(주)올타코퍼레이션,식품소분업,,190089.848501108,441320.86732122,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2024-10-14 11:39:08,2024-10-14,6.60,153-801,서울특별시 금천구 가산동 219-6 에이스 하이엔드타워 클래식 지식산업센터,N,,3170000-109-2024-00012,,3170000,"서울특별시 금천구 벚꽃로24길 26, 에이스 하이엔드타워 클래식 지식산업센터 3층 303 일부호 (가산동)",08517,01,영업/정상,식품소분업,,,,
,자가,집사네 잡화상점,식품소분업,,191005.72224345,440289.932089659,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2024-12-16 16:20:21,2024-12-16,70.65,153-830,서울특별시 금천구 독산동 1033-56,N,,3170000-109-2024-00015,,3170000,"서울특별시 금천구 시흥대로104길 23, 지하1층 (독산동)",08616,01,영업/정상,식품소분업,,,,
,자가,에이폴론(aepollon),식품소분업,,191101.813003888,439569.843379643,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2025-02-07 16:50:52,2025-02-07,17.00,153-857,서울특별시 금천구 시흥동 869-26,N,,3170000-109-2025-00003,,3170000,"서울특별시 금천구 시흥대로76길 11, 1층 (시흥동)",08624,01,영업/정상,식품소분업,,,,
,자가,오렌지리프,식품소분업,,189788.849463856,441731.610478567,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2025-04-09 13:03:03,2025-04-09,24.30,153-781,서울특별시 금천구 가산동 60-24 월드메르디앙1차,N,,3170000-109-2025-00004,,3170000,"서울특별시 금천구 벚꽃로 254, 월드메르디앙1차 402호 (가산동)",08511,01,영업/정상,식품소분업,,,,
,자가,(주)올댓미트,식품소분업,,190555.011233025,441101.266892734,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2025-04-10 09:34:47,2025-04-10,82.87,153-813,서울특별시 금천구 독산동 299-44,N,,3170000-109-2025-00005,,3170000,서울특별시 금천구 두산로11길 38 (독산동),08524,01,영업/정상,식품소분업,02-804-5828,,,
,자가,마망갸또,식품소분업,,190612.396689527,440843.481313197,2026-05-03 22:33:21,I,01,영업,0,,,,,,,,,2025-04-23 15:41:38,2025-04-23,3.30,153-813,서울특별시 금천구 독산동 300-2 성화빌딩,N,,3170000-109-2025-00006,,3170000,"서울특별시 금천구 두산로14길 4, 성화빌딩 3층 (독산동)",08584,01,영업/정상,식품소분업,02-6407-3937,,,
,자가,바질팜,식품소분업,,189920.528610917,440521.85524888,2026-05-03 22:33:22,I,01,영업,0,,,,,,,,,2025-07-17 14:53:38,2025-05-20,40.00,153-803,서울특별시 금천구 가산동 691 대륭테크노타운 20차,N,,3170000-109-2025-00007,,3170000,"서울특별시 금천구 가산디지털1로 5, 대륭테크노타운 20차 B309호 (가산동)",08594,01,영업/정상,식품소분업,,,,
,자가,주식회사 코코빈푸드,식품소분업,,189055.138252216,441958.334400683,2026-05-03 22:33:22,I,01,영업,0,,,,,,,,,2025-06-02 16:27:52,2025-06-02,33.03,153-803,서울특별시 금천구 가산동 543-1 대성디폴리스지식산업센터,N,,3170000-109-2025-00008,,3170000,"서울특별시 금천구 서부샛길 606, 대성디폴리스지식산업센터 212-2호 (가산동)",08504,01,영업/정상,식품소분업,,,,
