영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,임대,(주)본떼르,유통전문판매업,2025-12-17,201293.629904156,449020.99075508,2026-05-03 22:38:35,I,02,폐업,0,,,,,,,,,2025-12-17 16:12:53,2011-08-05,1.58,133-840,서울특별시 성동구 옥수동 314-11,N,,3030000-113-2011-00007,,3030000,"서울특별시 성동구 한림말3길 28, 2층 (옥수동)",04735,03,폐업,유통전문판매업,,,,
,자가,마음머금,유통전문판매업,2026-01-23,204287.426463329,448770.592460467,2026-05-03 22:38:46,I,02,폐업,0,,,,,,,,,2026-01-23 15:23:18,2021-05-13,1.65,133-819,서울특별시 성동구 성수동1가 72-87,N,,3030000-113-2021-00026,,3030000,"서울특별시 성동구 뚝섬로3길 11-5, 4층 402호 (성수동1가)",04780,03,폐업,유통전문판매업,,,,
,자가,아러바우트,유통전문판매업,2026-01-23,204878.106745027,449093.326405651,2026-05-03 22:38:47,I,02,폐업,0,,,,,,,,,2026-01-23 15:24:14,2021-06-25,148.00,133-835,서울특별시 성동구 성수동2가 315-97 성광빌딩,N,,3030000-113-2021-00033,,3030000,"서울특별시 성동구 아차산로 110, 2층 203호 (성수동2가)",04782,03,폐업,유통전문판매업,070-8827-5994,,,
,자가,주식회사 제이디아이디어스마켓,유통전문판매업,2026-01-23,205527.887051222,451002.807624223,2026-05-03 22:38:48,I,02,폐업,0,0,0,0,,,,0,,2026-01-23 15:24:50,2021-12-01,.00,133-850,서울특별시 성동구 용답동 232-1 신창비바패밀리,N,,3030000-113-2021-00059,,3030000,"서울특별시 성동구 천호대로 400, 11층 1105호 (용답동, 신창비바패밀리)",04808,03,폐업,유통전문판매업,070-8842-1111,,,
,자가,그대로 괜찮은 쿠키,유통전문판매업,2026-01-26,203053.350637549,451286.714895706,2026-05-03 22:38:51,I,02,폐업,0,,,,,,,,,2026-01-26 16:59:37,2023-01-17,3.00,133-882,서울특별시 성동구 도선동 70 창성빌딩,N,,3030000-113-2023-00002,,3030000,"서울특별시 성동구 왕십리로24나길 20, 창성빌딩 2층 219호 (도선동)",04709,03,폐업,유통전문판매업,,,,
,자가,클리어디어,유통전문판매업,2025-12-30,203911.513091074,448508.756036449,2026-05-03 22:38:51,I,02,폐업,0,,,,,,,,,2025-12-30 14:05:43,2023-02-09,35.44,133-923,서울특별시 성동구 성수동1가 718 트리마제,N,,3030000-113-2023-00006,,3030000,"서울특별시 성동구 왕십리로 16, 103동 2층 205호 (성수동1가, 트리마제)",04773,03,폐업,유통전문판매업,,,,
,임대,주식회사 엔터박스,유통전문판매업,2025-12-22,205073.47604441,448797.51637505,2026-05-03 22:38:51,I,02,폐업,0,,,,,,,,,2025-12-22 09:32:22,2023-05-04,16.50,133-831,서울특별시 성동구 성수동2가 271-11 상상플래닛,N,,3030000-113-2023-00017,,3030000,"서울특별시 성동구 뚝섬로13길 38, 상상플래닛 6층 606호 (성수동2가)",04785,03,폐업,유통전문판매업,,,,
,자가,런치랩,유통전문판매업,2026-01-08,204895.642528327,448701.40145153,2026-05-03 22:38:52,I,02,폐업,0,,,,,,,,,2026-01-08 09:38:21,2023-05-25,82.80,133-827,서울특별시 성동구 성수동2가 323 서울숲 드림타워,N,,3030000-113-2023-00021,,3030000,"서울특별시 성동구 성수이로 66, 서울숲 드림타워 지1층 B109호 (성수동2가)",04784,03,폐업,유통전문판매업,070-8811-0102,,,
,임대,쌍떼365,유통전문판매업,2026-01-05,203561.378699177,450439.294711473,2026-05-03 22:38:39,I,02,폐업,0,,,,,,,,,2026-01-05 15:39:40,2015-07-23,14.74,133-862,서울특별시 성동구 행당동 70-6,N,,3030000-113-2015-00012,,3030000,"서울특별시 성동구 살곶이길 346, 3층 303호 (행당동)",04764,03,폐업,유통전문판매업,02-6338-8594,,,
,자가,(주)조선호텔앤리조트김치,유통전문판매업,2026-01-14,205197.247681516,448985.06747453,2026-05-03 22:38:39,I,02,폐업,0,,,,,,,,,2026-01-14 10:45:15,2016-11-22,11.55,133-831,서울특별시 성동구 성수동2가 273-15,N,,3030000-113-2016-00012,,3030000,"서울특별시 성동구 아차산로 144, 1층 103호 (성수동2가, 우영테크노센터)",04783,03,폐업,유통전문판매업,02-461-1579,,,
,자가,쓰리케이유통,유통전문판매업,2026-01-23,204344.153805032,448527.9260926,2026-05-03 22:38:42,I,02,폐업,0,,,,,,,,,2026-01-23 15:21:50,2019-12-11,35.00,133-819,서울특별시 성동구 성수동1가 272,N,,3030000-113-2019-00036,,3030000,"서울특별시 성동구 성덕정9길 10, 1층 (성수동1가)",04775,03,폐업,유통전문판매업,,,,
,자가,한국인삼(KOREA GINSENG),유통전문판매업,2025-12-29,203017.021457357,451346.281102634,2026-05-03 22:38:44,I,02,폐업,0,,,,,,,,,2025-12-29 13:00:26,2020-05-19,21.56,133-882,서울특별시 성동구 도선동 69 성동삼성쉐르빌,N,,3030000-113-2020-00018,,3030000,"서울특별시 성동구 무학로6길 50, 101동 1층 133호 (도선동, 성동삼성쉐르빌)",04709,03,폐업,유통전문판매업,,,,
,자가,맛차차,유통전문판매업,2026-01-23,203520.351688406,449396.290427768,2026-05-03 22:38:44,I,02,폐업,0,,,,,,,,,2026-01-23 15:22:27,2020-11-13,4.00,133-825,서울특별시 성동구 성수동1가 685-450,N,,3030000-113-2020-00045,,3030000,"서울특별시 성동구 서울숲2길 18-11, 1층 (성수동1가)",04768,03,폐업,유통전문판매업,,,,
,자가,스쿼럴,유통전문판매업,2025-12-22,202277.937068105,449393.800969153,2026-05-03 22:38:56,I,02,폐업,0,,,,,,,,,2025-12-22 12:52:59,2024-12-20,6.60,133-094,서울특별시 성동구 금호동4가 1553 힐스테이트 서울숲리버,N,,3030000-113-2024-00060,,3030000,"서울특별시 성동구 독서당로 344, 상가동 지1층 30호 (금호동4가, 힐스테이트 서울숲리버)",04743,03,폐업,유통전문판매업,,,,
,자가,우주상사,유통전문판매업,2025-12-30,204481.098687431,451174.365026424,2026-05-03 22:38:56,I,02,폐업,0,,,,,,,,,2025-12-30 16:33:11,2024-05-30,10.00,133-848,서울특별시 성동구 용답동 51-5,N,,3030000-113-2024-00065,,3030000,"서울특별시 성동구 용답19길 3-1, 2층 B-21호 (용답동)",04804,03,폐업,유통전문판매업,,,,
,자가,주식회사 동아글로벌,유통전문판매업,2026-01-05,203561.378699177,450439.294711473,2026-05-03 22:38:55,I,02,폐업,0,,,,,,,,,2026-01-05 15:42:41,2024-11-26,66.00,133-862,서울특별시 성동구 행당동 70-6,N,,3030000-113-2024-00054,,3030000,"서울특별시 성동구 살곶이길 346, 3층 302호 (행당동)",04764,03,폐업,유통전문판매업,,,,
주택가주변,,대원제약(주),유통전문판매업,,205387.275608249,451027.636797935,2026-05-03 22:38:30,I,01,영업,0,0,0,0,0,기타,,0,,2024-03-20 11:50:23,1999-10-08,30.00,133-850,서울특별시 성동구 용답동 229-3,N,0,3030000-113-1999-00627,,3030000,"서울특별시 성동구 천호대로 386, 3층 (용답동)",04808,01,영업/정상,유통전문판매업,02-2204-7067,,,
,,(주)기정인터내셔날,유통전문판매업,,204522.096092445,448925.421926728,2026-05-03 22:38:30,I,01,영업,0,0,0,0,,,,0,,2022-04-21 10:55:12,2000-02-16,144.00,133-827,서울특별시 성동구 성수동2가 308-4 서울숲코오롱디지털타워,N,,3030000-113-2000-00752,,3030000,"서울특별시 성동구 성수일로4길 25, 서울숲코오롱디지털타워 2층 202호 (성수동2가)",04781,01,영업/정상,유통전문판매업,02-583-7471,,,
,자가,(주)이앤에프메딕스,유통전문판매업,,203887.185047227,449860.057407228,2026-05-03 22:38:32,I,01,영업,0,0,0,0,,,0,0,,2019-02-21 16:35:44,2004-10-05,98.04,133-825,서울특별시 성동구 성수동1가 671-6,N,,3030000-113-2004-00012,0,3030000,"서울특별시 성동구 광나루로 130, 302호 (성수동1가, 서울숲아이티캐슬)",04788,01,영업/정상,유통전문판매업,02-3445-2282,,,
,,오정상사(주),유통전문판매업,,202326.598295857,451988.812476724,2026-05-03 22:38:33,I,01,영업,0,,,,,,,,,2005-10-17 00:00:00,2005-10-17,,133-854,서울특별시 성동구 하왕십리동 291-10,N,,3030000-113-2005-00003,,3030000,서울특별시 성동구 청계천로 452 (하왕십리동),04702,01,영업/정상,유통전문판매업,02-2293-7883,,,
,자가,(주)신세계푸드,유통전문판매업,,204798.346778805,448669.043360044,2026-05-03 22:38:34,I,01,영업,0,,,,,,,,,2026-04-16 14:57:35,2010-04-14,36.01,133-827,서울특별시 성동구 성수동2가 325-2,N,,3030000-113-2010-00002,,3030000,"서울특별시 성동구 성수이로 51, 지하1층 B110호 (성수동2가, 서울숲한라시그마밸리)",04781,01,영업/정상,유통전문판매업,02-3397-6000,,,
,자가,(주) 한국메디칼푸드,유통전문판매업,,204304.435352975,449241.757151863,2026-05-03 22:38:35,I,01,영업,0,0,0,0,,,,0,,2013-03-08 14:31:00,2011-01-21,42.00,133-822,서울특별시 성동구 성수동1가 16-4 sk테크노빌딩 702호 지상7층,N,,3030000-113-2011-00001,,3030000,"서울특별시 성동구 성수일로 55, 지상7층 702호 (성수동1가, 16-4 sk테크노빌딩)",04779,01,영업/정상,유통전문판매업,02-468-7000,,,
,,(주)다인내추럴,유통전문판매업,,203887.185047227,449860.057407228,2026-05-03 22:38:35,I,01,영업,0,,,,,,,,,2021-04-14 10:44:43,2011-01-26,16.27,133-825,서울특별시 성동구 성수동1가 671-6 서울숲IT캐슬,N,,3030000-113-2011-00009,,3030000,"서울특별시 성동구 광나루로 130, 지하3층 B303호 (성수동1가)",04788,01,영업/정상,유통전문판매업,041-575-1599,,,
,자가,(주)나베에스앤에프,유통전문판매업,,200951.206580662,449000.920061846,2026-05-03 22:38:36,I,01,영업,0,,,,,,,,,2022-09-01 10:57:54,2012-02-24,70.00,133-844,서울특별시 성동구 옥수동 428 극동상가 503호,N,,3030000-113-2012-00002,,3030000,"서울특별시 성동구 독서당로 187, 503호 (옥수동, 옥수동 428 극동상가 )",04732,01,영업/정상,유통전문판매업,02-2293-0717,,,
,임대,(주)고미하우스,유통전문판매업,,204824.574210593,448450.76619243,2026-05-03 22:38:37,I,01,영업,0,0,0,0,,,,0,,2025-12-30 11:08:17,2012-11-20,40.00,133-827,서울특별시 성동구 성수동2가 331-243,N,,3030000-113-2012-00014,,3030000,"서울특별시 성동구 성덕정17길 12, 401호 (성수동2가)",04776,01,영업/정상,유통전문판매업,02-336-6665,,,
,자가,비젼스타,유통전문판매업,,202113.869605464,451897.581865192,2026-05-03 22:38:46,I,01,영업,0,,,,,,,,,2021-04-28 09:58:38,2021-04-28,26.93,133-010,서울특별시 성동구 상왕십리동 811 텐즈힐,N,,3030000-113-2021-00022,,3030000,"서울특별시 성동구 마장로 137, 402동 2층 212호 (상왕십리동, 텐즈힐)",04700,01,영업/정상,유통전문판매업,,,,
,자가,해처리,유통전문판매업,,203808.758780095,449612.381770941,2026-05-03 22:38:46,I,01,영업,0,,,,,,,,,2021-04-30 12:55:38,2021-04-28,5.00,133-823,서울특별시 성동구 성수동1가 656-292 KD타워,N,,3030000-113-2021-00023,,3030000,"서울특별시 성동구 왕십리로 125, 5층 513호 (성수동1가)",04766,01,영업/정상,유통전문판매업,,,,
,자가,청록바이오,유통전문판매업,,204435.871170342,449810.174315763,2026-05-03 22:38:46,I,01,영업,0,,,,,,,,,2022-08-08 14:58:32,2021-05-03,31.80,133-822,서울특별시 성동구 성수동1가 13-12 이에스에이리버하우스,N,,3030000-113-2021-00024,,3030000,"서울특별시 성동구 광나루로 190, 이에스에이리버하우스 에이동 3층 308호 (성수동1가)",04791,01,영업/정상,유통전문판매업,,,,
,자가,(주)미래셀바이오,유통전문판매업,,205013.206755565,449538.234799943,2026-05-03 22:38:46,I,01,영업,0,,,,,,,,,2021-05-06 13:52:47,2021-05-06,74.62,133-834,서울특별시 성동구 성수동2가 289-319 아이에스비즈타워,N,,3030000-113-2021-00025,,3030000,"서울특별시 성동구 성수이로 147, 15층 1502호 (성수동2가)",04795,01,영업/정상,유통전문판매업,02-457-8759,,,
,임대,(주)빅케터스,유통전문판매업,,204928.592781023,448351.381425678,2026-05-03 22:38:46,I,01,영업,0,,,,,,,,,2021-05-24 15:08:01,2021-04-26,50.73,133-829,서울특별시 성동구 성수동2가 572-3,N,,3030000-113-2021-00027,,3030000,"서울특별시 성동구 성덕정19길 12, 1층 (성수동2가)",04776,01,영업/정상,유통전문판매업,070-4352-4422,,,
,자가,주식회사 이에이치글로벌,유통전문판매업,,205014.436191811,448961.208329966,2026-05-03 22:38:46,I,01,영업,0,,,,,,,,,2025-02-06 14:05:31,2021-06-21,4.95,133-831,서울특별시 성동구 성수동2가 273-61 우리큐브,N,,3030000-113-2021-00031,,3030000,"서울특별시 성동구 연무장11길 10, 우리큐브 2층 R293호 (성수동2가)",04783,01,영업/정상,유통전문판매업,,,,
,자가,주식회사 위메이커스,유통전문판매업,,204167.721292495,449290.778225677,2026-05-03 22:38:47,I,01,영업,0,,,,,,,,,2021-06-25 10:42:47,2021-06-25,3.30,133-924,서울특별시 성동구 성수동1가 656-1572,N,,3030000-113-2021-00034,,3030000,"서울특별시 성동구 상원1길 25, 4층 4285호 (성수동1가)",04779,01,영업/정상,유통전문판매업,,,,
,자가,(주)케르티갤러리,유통전문판매업,,204895.642528327,448701.40145153,2026-05-03 22:38:47,I,01,영업,0,,,,,,,,,2022-08-26 11:27:16,2021-08-11,15.00,133-827,서울특별시 성동구 성수동2가 323 서울숲 드림타워,N,,3030000-113-2021-00040,,3030000,"서울특별시 성동구 성수이로 66, 서울숲 드림타워 108호 (성수동2가)",04784,01,영업/정상,유통전문판매업,02-3409-9233,,,
,임대,미팩토리,유통전문판매업,,205116.298634583,449289.354711172,2026-05-03 22:38:47,I,01,영업,0,0,0,0,,,,0,,2024-12-26 17:25:37,2021-09-02,84.23,133-832,서울특별시 성동구 성수동2가 277-24,N,,3030000-113-2021-00041,,3030000,"서울특별시 성동구 아차산로9길 20, 2층 (성수동2가)",04797,01,영업/정상,유통전문판매업,02-2039-5528,,,
,자가,야호글로벌,유통전문판매업,,201961.299187512,450253.007279651,2026-05-03 22:38:47,I,01,영업,0,0,0,0,,,,0,,2023-11-06 13:18:32,2021-09-09,.00,133-091,서울특별시 성동구 금호동1가 1823 이편한세상금호파크힐스,N,,3030000-113-2021-00042,,3030000,"서울특별시 성동구 금호로 140, 109동 1202호 (금호동1가, 이편한세상금호파크힐스)",04727,01,영업/정상,유통전문판매업,,,,
,임대,주식회사 디에디트미디어,유통전문판매업,,204995.570924122,449146.879714196,2026-05-03 22:38:47,I,01,영업,0,,,,,,,,,2021-09-24 17:25:07,2021-09-24,50.00,133-832,서울특별시 성동구 성수동2가 277-81 보성빌딩,N,,3030000-113-2021-00043,,3030000,"서울특별시 성동구 성수이로 108, 보성빌딩 4층 401호 (성수동2가)",04797,01,영업/정상,유통전문판매업,02-411-1194,,,
,자가,주식회사 테크트리,유통전문판매업,,204213.931288501,449363.057036726,2026-05-03 22:38:47,I,01,영업,0,0,0,0,,,,0,,2023-07-26 15:13:55,2021-09-30,18.48,133-721,서울특별시 성동구 성수동1가 656-766 개풍빌딩,N,,3030000-113-2021-00044,,3030000,"서울특별시 성동구 아차산로 38, 개풍빌딩 3층 303호 (성수동1가)",04779,01,영업/정상,유통전문판매업,070-4699-3203,,,
,임대,(주)준일레븐,유통전문판매업,,202932.381982673,451169.524277434,2026-05-03 22:38:47,I,01,영업,0,,,,,,,,,2025-12-18 15:09:55,2021-10-01,9.90,133-882,서울특별시 성동구 도선동 58-1 세신빌딩,N,,3030000-113-2021-00045,,3030000,"서울특별시 성동구 왕십리로 326, 세신빌딩 6층 R613호 (도선동)",04709,01,영업/정상,유통전문판매업,,,,
,임대,육회바른연어,유통전문판매업,,203086.926717868,451149.392095853,2026-05-03 22:38:47,I,01,영업,0,,,,,,,,,2024-06-14 16:37:47,2021-10-13,230.38,133-882,서울특별시 성동구 도선동 21-1 케이 타워,N,,3030000-113-2021-00046,,3030000,"서울특별시 성동구 고산자로 255, 케이 타워 11층 (도선동)",04709,01,영업/정상,유통전문판매업,,,,
,임대,엘엔엔푸드(LNN Food),유통전문판매업,,201157.877298502,449563.280012747,2026-05-03 22:38:48,I,01,영업,0,,,,,,,,,2021-11-10 16:30:58,2021-11-10,10.50,133-845,서울특별시 성동구 옥수동 528 이편한세상옥수파크힐스,N,,3030000-113-2021-00052,,3030000,"서울특별시 성동구 매봉길 50, 126동 209호 (옥수동, 이편한세상옥수파크힐스)",04731,01,영업/정상,유통전문판매업,,,,
,임대,(주)아룸디앤씨,유통전문판매업,2026-04-06,204966.098616157,449159.452779834,2026-05-03 22:38:48,I,02,폐업,0,,,,,,,,,2026-04-06 14:54:05,2021-11-17,6.00,133-834,서울특별시 성동구 성수동2가 300-1 삼진빌딩,N,,3030000-113-2021-00055,,3030000,"서울특별시 성동구 아차산로 113, 삼진빌딩 8층 879호 (성수동2가)",04794,03,폐업,유통전문판매업,,,,
,자가,한국바이오인더스트리(주),유통전문판매업,,204798.346778805,448669.043360044,2026-05-03 22:38:37,I,01,영업,0,0,0,0,,,,0,,2025-12-11 15:12:34,2013-04-30,88.00,133-827,서울특별시 성동구 성수동2가 325-2 서울숲한라시그마밸리 707호,N,,3030000-113-2013-00003,,3030000,"서울특별시 성동구 성수이로 51, 지상7층 707호 (성수동2가, 서울숲한라시그마밸리)",04781,01,영업/정상,유통전문판매업,02-424-5270,,,
,자가,농업회사법인 청솔식품주식회사,유통전문판매업,,203008.248340004,450602.441034998,2026-05-03 22:38:37,I,01,영업,0,,,,,,,,,2017-05-26 10:24:15,2013-11-22,20.00,133-869,서울특별시 성동구 행당동 320-5,N,,3030000-113-2013-00005,,3030000,"서울특별시 성동구 고산자로6길 27, 1층 (행당동)",04745,01,영업/정상,유통전문판매업,02-2294-4666,,,
,자가,(주)올박스,유통전문판매업,,203887.185047227,449860.057407228,2026-05-03 22:38:38,I,01,영업,0,,,,,,,,,2024-03-28 09:44:57,2013-09-11,152.62,133-825,서울특별시 성동구 성수동1가 671-6 서울숲IT캐슬,N,,3030000-113-2013-00011,,3030000,"서울특별시 성동구 광나루로 130, 서울숲IT캐슬 11층 1101호 (성수동1가)",04788,01,영업/정상,유통전문판매업,,,,
,,(주)녹십자웰빙,유통전문판매업,,203481.628249668,450468.773302861,2026-05-03 22:38:38,I,01,영업,0,0,0,0,,,,0,,2025-12-23 15:10:33,2013-07-03,966.71,133-070,서울특별시 성동구 행당동 377 서울숲 더샵,N,,3030000-113-2013-00012,,3030000,"서울특별시 성동구 왕십리로 241, 201동 상가401호 (행당동, 서울숲 더샵)",04765,01,영업/정상,유통전문판매업,031-698-4300,,,
,자가,(주)카드랜드,유통전문판매업,,203310.401237613,451542.748921419,2026-05-03 22:38:38,I,01,영업,0,,,,,,,,,2014-12-01 17:05:02,2014-02-10,33.40,133-813,서울특별시 성동구 마장동 498-2,N,,3030000-113-2014-00001,,3030000,서울특별시 성동구 마장로 255 (마장동),04755,01,영업/정상,유통전문판매업,02-2281-6000,,,
,자가,주식회사 엠티엠코,유통전문판매업,,205557.941680639,449473.46380541,2026-05-03 22:38:38,I,01,영업,0,,,,,,,,,2015-03-25 16:56:35,2014-12-22,67.53,133-832,서울특별시 성동구 성수동2가 280-15,N,,3030000-113-2014-00005,,3030000,"서울특별시 성동구 광나루로8길 10, 101호 (성수동2가)",04799,01,영업/정상,유통전문판매업,,,,
,임대,미소포유,유통전문판매업,,203543.956458882,450868.869071348,2026-05-03 22:38:38,I,01,영업,0,,,,,,,,,2021-09-09 17:07:35,2014-07-10,3.30,133-871,서울특별시 성동구 행당동 6-2 제일빌딩,N,,3030000-113-2014-00008,,3030000,"서울특별시 성동구 마조로 25, 제일빌딩 3층 (행당동)",04760,01,영업/정상,유통전문판매업,,,,
,자가,(주)카페베네,유통전문판매업,,203341.479448652,451461.526909724,2026-05-03 22:38:38,I,01,영업,0,,,,,,,,,2025-04-02 14:52:58,2014-11-13,33.00,133-815,서울특별시 성동구 마장동 776-3,N,,3030000-113-2014-00011,,3030000,"서울특별시 성동구 마장로 260, 3층 (마장동)",04759,01,영업/정상,유통전문판매업,,,,상수도전용
,임대,블루빈컴퍼니 주식회사,유통전문판매업,,203735.285180314,449345.626351188,2026-05-03 22:38:39,I,01,영업,0,,,,,,,,,2020-12-29 16:53:14,2015-08-17,74.88,133-824,서울특별시 성동구 성수동1가 668-105,N,,3030000-113-2015-00007,,3030000,"서울특별시 성동구 서울숲2길 40, 4층 (성수동1가)",04768,01,영업/정상,유통전문판매업,070-4351-0188,,,상수도전용
