자동환기여부,건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,편의시설여부,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상구여부,비상계단여부,기존게임업외업종명,제작취급품목내용,시설면적,소방시설여부,지상층수,청소년실수,청소년실여부,노래방실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,조명시설유무,조명시설조도,관리번호,개방자치단체코드,통로너비,제공게임물명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,방음시설여부,음향시설여부,특수조명여부,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총게임기수,총층수,지하층수,비디오재생기명
,,맥스게임,2009-03-05,193090.767455628,455999.944403608,유통관련업,청소년게임제공업,,2026-05-03 22:34:54,I,03,폐업,,,,,115.04,,,,,,2009-03-05 14:15:18,,2008-04-11,122-896,서울특별시 은평구 역촌동 16-7 3층,,,CDFF2241142008000001,3110000,,,,"서울특별시 은평구 진흥로 105  (역촌동,3층)",,03,폐업,,,,,,,,,,,
,근린생활시설,게임빌리지,2018-09-17,192837.683859485,457357.936557304,유통관련업,청소년게임제공업,,2026-05-03 22:34:55,I,03,폐업,,,,,106.7,,3,,,,2018-09-17 09:13:50,,2008-05-20,,서울특별시 은평구 갈현동 456-5 1층,,40,CDFF2241142008000003,3110000,,전체이용가,일반상업지역,"서울특별시 은평구 연서로29길 3 (갈현동,1층)",,03,폐업,,,,유흥업소밀집지역,,,02-352-1242,,3,,
,,짱게임파크,2011-09-08,192845.044379709,457412.609904875,유통관련업,청소년게임제공업,,2026-05-03 22:34:55,I,03,폐업,,,,,280.04,,7,,,,2011-09-08 10:23:23,,2008-07-24,122-809,서울특별시 은평구 갈현동 398-4 2층,,,CDFF2241142008000005,3110000,,전체이용가,,"서울특별시 은평구 연서로29길 8-8  (갈현동,2층)",,03,폐업,,,,학교정화(상대),,,,37,10,3,
,,게임랜드,2009-03-18,193019.403382395,456302.92877653,유통관련업,청소년게임제공업,,2026-05-03 22:34:55,I,03,폐업,,,,,32.16,,21,,,,2009-03-20 11:38:20,,2008-08-21,122-845,서울특별시 은평구 대조동 231 1층,,,CDFF2241142008000008,3110000,,전체이용가,,"서울특별시 은평구 서오릉로 94  (대조동,1층)",,03,폐업,,,,,,,,,23,2,
,,종합 게임랜드,2010-07-27,192963.278707466,457362.284809028,유통관련업,청소년게임제공업,,2026-05-03 22:34:56,I,03,폐업,,,,,248.41,,,,,,2010-07-27 17:43:34,,2008-12-02,,서울특별시 은평구 대조동 185-1 2층,,,CDFF2241142008000012,3110000,,,,"서울특별시 은평구 통일로 845  (대조동,2층)",,03,폐업,,,,,,,,,,,
,근린생활시설,짱게임파크,2018-11-06,192845.044379709,457412.609904875,유통관련업,청소년게임제공업,,2026-05-03 22:34:56,I,03,폐업,,,,철권5 등,167.04,,7,,,,2018-11-06 13:31:50,,2008-01-21,,서울특별시 은평구 갈현동 398-4 1층,,,CDFF2241142008000013,3110000,,전체이용가,일반상업지역,"서울특별시 은평구 연서로29길 8-8 (갈현동,1층)",,03,폐업,,,,,,,02-352-3545,50,10,3,
,,영24시 게임랜드,2009-03-09,192044.761304931,455888.07011424,유통관련업,청소년게임제공업,,2026-05-03 22:34:57,I,03,폐업,,,,,163.96,,,,,,2009-03-13 09:14:07,,2009-01-20,122-900,"서울특별시 은평구 역촌동 55-35 201호,202호",,,CDFF2241142009000003,3110000,,전체이용가,,"서울특별시 은평구 갈현로 82  (역촌동,201호,202호)",,03,폐업,,,,,,,,,,,
,,스쿠버뱅크,2010-02-01,192346.141180792,457136.196565218,유통관련업,청소년게임제공업,,2026-05-03 22:34:57,I,03,폐업,,,,,133.5,,,,,,2010-02-03 12:29:43,,2009-02-27,,서울특별시 은평구 갈현동 505-5 1층,,,CDFF2241142009000006,3110000,,전체이용가,,"서울특별시 은평구 갈현로 213-1  (갈현동,1층)",,03,폐업,,,,,,,,,,,
,,게임랜드,2009-08-21,192945.891991944,457172.764137396,유통관련업,청소년게임제공업,,2026-05-03 22:34:57,I,03,폐업,,,,,142.8,,,,,,2009-08-25 18:36:02,,2009-02-27,,서울특별시 은평구 대조동 196-25 지층,,,CDFF2241142009000007,3110000,,전체이용가,,"서울특별시 은평구 연서로26길 11  (대조동,지층)",,03,폐업,,,,,,,,,,,
,,게임랜드,2009-10-09,193019.403382395,456302.92877653,유통관련업,청소년게임제공업,,2026-05-03 22:34:58,I,03,폐업,,,,,32.16,,,,,,2009-10-09 16:06:18,,2009-03-31,,서울특별시 은평구 대조동 231 삼성아파트 상가 101동 112호,,,CDFF2241142009000012,3110000,,전체이용가,,"서울특별시 은평구 서오릉로 94  (대조동,삼성아파트 상가 101동 112호)",,03,폐업,,,,,,,,,,,
