건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,(주)국제레저산업,2008-02-18,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:35,I,03,폐업,0,2008-02-18 19:59:05,,2008-01-02,402-070,,인천광역시 미추홀구 문학동 482,,CDFH3301092008000001,3510500,사립,인천광역시 미추홀구 매소홀로 618  (문학동),,03,폐업,,,
,,(주)다스씨앤아이,2011-03-02,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:35,I,03,폐업,Y,2011-10-11 15:12:32,,2010-12-27,402-799,,인천광역시 미추홀구 문학동 482 문학경기장,,CDFH3301092010000001,3510500,사립,"인천광역시 미추홀구 매소홀로 618  (문학동,문학경기장)",,03,폐업,,,
,,청성테크,2012-02-23,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:35,I,03,폐업,,2012-02-23 17:01:33,,2011-12-16,402-799,,인천광역시 미추홀구 문학동 482 문학경기장,,CDFH3301092011000001,3510500,사립,인천광역시 미추홀구 매소홀로 618 (문학동),,03,폐업,,,
,,스노우 아이스 페스티벌,2013-02-27,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:35,I,03,폐업,Y,2013-02-27 11:40:59,,2012-12-18,402-799,,인천광역시 미추홀구 문학동 482 문학경기장,,CDFH3301092012000001,3510500,사립,인천광역시 미추홀구 매소홀로 618 (문학동),,03,폐업,,,
,,(주)대가인터내셔날,2015-02-25,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:36,I,03,폐업,,2015-02-25 15:42:48,,2015-01-06,402-070,,인천광역시 미추홀구 문학동 482,,CDFH3301092015000001,3510500,사립,인천광역시 미추홀구 매소홀로 681 (문학동),,03,폐업,,,
,,인천 문학 눈썰매장,2016-07-19,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:36,I,03,폐업,Y,2016-07-19 17:30:09,,2015-12-23,,,,,CDFH3301092015000002,3510500,사립,"인천광역시 미추홀구 매소홀로 618 (문학동, 인천문학경기장)",22234,03,폐업,,,
,,문학 워터파크,2016-09-01,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:36,I,03,폐업,,2016-09-06 08:50:04,,2016-07-27,,,,,CDFH3301092016000001,3510500,사립,"인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장)",22234,03,폐업,,,
,,문학경기장 눈썰매장,2017-03-08,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:36,I,03,폐업,Y,2017-03-08 10:20:35,,2015-12-23,,,,,CDFH3301092016000002,3510500,사립,"인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장)",22234,03,폐업,,,
,,문학워터파크,2018-03-05,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:37,I,03,폐업,,2018-05-31 17:36:44,,2017-07-13,,,인천광역시 미추홀구 문학동 482 보조경기장,,CDFH3301092017000001,3510500,사립,"인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장)",22234,03,폐업,,,
,,문학경기장 눈썰매장,2018-03-05,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:37,I,03,폐업,,2018-03-05 13:33:48,,2017-12-15,,,인천광역시 미추홀구 문학동 482 문학경기장 동문광장,,CDFH3301092017000002,3510500,사립,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",22234,03,폐업,,,
,,문학워터파크,2018-08-23,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:37,I,03,폐업,,2018-08-23 18:11:47,,2018-07-11,,,인천광역시 미추홀구 문학동 482 문학경기장,,CDFH3301092018000001,3510500,사립,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",22234,03,폐업,,,
,,문학경기장 눈썰매장,2019-03-14,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:37,I,03,폐업,,2019-03-14 16:56:15,,2018-12-20,,,인천광역시 미추홀구 문학동 482 문학경기장,,CDFH3301092018000002,3510500,사립,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",22234,03,폐업,,,
,,문학워터파크,2019-10-10,,172576.611809597,437142.079770801,썰매장업,2026-05-14 22:55:37,I,03,폐업,Y,2019-10-10 10:12:56,,2019-07-23,,,인천광역시 미추홀구 문학동 482 문학경기장,,CDFH3301092019000001,3510500,사립,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",22234,03,폐업,,,
