아세틸렌수,사업장명,폐업일자,원심주조기수,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,치과용프레스수,상세영업상태코드,상세영업상태명,기공용컴프레서수,기공용레스수,기공용모터수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,핀덱스수,포셀린로수,전기로수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,샌드기수,서베이어수,휴업시작일자,휴업종료일자,소재지전화번호,트리머수,초음파청소기수,진공매몰기수,진동기수
1,피트치과기공소,2022-07-01,1,172313.724612695,439797.179889616,2026-05-14 22:31:51,I,1,03,폐업,1,1,5,2022-07-01 17:24:07,,2011-11-01,402-848,인천광역시 미추홀구 주안동 994-11번지 2층,PHMB320113510021062300002,3510500,1,2,2,"인천광역시 미추홀구 석바위로 135, 2층 (주안동)",22134,03,폐업,1,1,,,,1,2,1,1
1,남성치과기공소,2014-12-04,1,167941.62180215,438788.121993124,2026-05-14 22:31:51,I,1,03,폐업,1,1,3,2014-12-05 10:15:48,,2012-01-12,402-025,인천광역시 미추홀구 용현동 627-78번지,PHMB320123510021062300002,3510500,1,2,2,인천광역시 미추홀구 낙섬중로 20 (용현동),,03,폐업,2,2,,,,1,2,1,1
1,비타민치과기공소,2013-09-24,1,170538.320388506,440539.805090902,2026-05-14 22:31:51,I,1,03,폐업,1,1,3,2013-09-24 09:42:36,,2013-02-20,402-061,인천광역시 미추홀구 도화동 232-1번지,PHMB320133510021062300001,3510500,1,1,1,인천광역시 미추홀구 석정로282번길 41 (도화동),,03,폐업,2,1,,,,1,1,1,1
1,일신치과기공소,2021-04-13,1,172285.884418706,439434.826224499,2026-05-14 22:31:52,I,1,03,폐업,1,1,3,2021-04-16 11:10:39,,2018-10-30,,인천광역시 미추홀구 주안동 303번지 25호,PHMB320183510513062300001,3510500,1,1,1,"인천광역시 미추홀구 동주길120번길 45, 2층 (주안동)",22149,03,폐업,1,1,,,,1,1,1,1
1,peace lab(피스랩),2024-06-27,1,172292.271282471,439554.234643283,2026-05-14 22:31:52,I,1,03,폐업,1,1,3,2024-07-12 13:21:40,,2019-06-10,,인천광역시 미추홀구 주안동 302번지 1호 삼성생명빌딩,PHMB320193510513062300001,3510500,1,1,1,"인천광역시 미추홀구 경인로 428, 삼성생명빌딩 8일부층 (주안동)",22149,03,폐업,1,2,,,,1,1,1,1
0,용현플란트치과기공소,2024-07-12,1,167996.705464155,439495.822679023,2026-05-14 22:31:52,I,1,03,폐업,1,0,3,2024-07-12 13:46:03,,2022-02-07,,인천광역시 미추홀구 용현동 565-4 백운프라자,PHMB320223510513062300001,3510500,0,1,1,"인천광역시 미추홀구 아암대로29번길 48, 백운프라자 2층 (용현동)",22175,03,폐업,1,1,,,,1,1,1,1
1,아름치과기공소,2012-08-02,1,168647.109223674,439740.396019865,2026-05-14 22:31:50,I,1,03,폐업,1,1,2,2012-08-02 14:08:54,,1992-12-17,402-012,인천광역시 미추홀구 숭의동 302-15번지,PHMB319923510021062300002,3510500,1,1,1,인천광역시 미추홀구 장천로 15  (숭의동),,03,폐업,1,1,,,,1,1,1,1
1,뉴예원치과기공소,2013-08-19,1,170538.320388506,440539.805090902,2026-05-14 22:31:50,I,1,03,폐업,1,1,2,2013-08-20 08:47:20,,1997-10-20,402-062,인천광역시 미추홀구 도화동 232-1번지,PHMB319973510021062300001,3510500,1,1,1,인천광역시 미추홀구 석정로282번길 41  (도화동),,03,폐업,1,1,,,,1,1,1,1
1,주연치과기공소,2012-06-05,1,171663.382888161,439762.501409341,2026-05-14 22:31:50,I,1,03,폐업,1,1,2,2012-06-05 12:03:47,,2003-07-09,402-835,인천광역시 미추홀구 주안동 185-4번지 태성빌딩4층,PHMB320033510021062300001,3510500,1,1,1,"인천광역시 미추홀구 미추홀대로 696  (주안동,태성빌딩4층)",,03,폐업,1,1,,,,1,1,2,1
1,오티(O.T)치과기공소,2014-04-30,1,170666.820276505,437746.217440489,2026-05-14 22:31:50,I,1,03,폐업,1,1,2,2014-04-30 13:43:54,,2004-02-27,402-042,인천광역시 미추홀구 학익동 244-50번지,PHMB320043510021062300001,3510500,1,1,1,인천광역시 미추홀구 소성로185번길 6-17 (학익동),,03,폐업,1,1,,,,1,1,1,1
1,우진치과기공소,2025-12-11,1,172351.416372846,439766.616322036,2026-05-14 22:31:51,I,1,03,폐업,1,1,2,2025-12-11 17:39:14,,2007-12-07,402-848,인천광역시 미추홀구 주안동 996-1번지,PHMB320073510021062300001,3510500,1,1,1,인천광역시 미추홀구 석바위로 140 (주안동),22141,03,폐업,1,1,,,,1,1,1,1
1,비에스(B.S)치과기공소,2011-09-15,1,170538.320388506,440539.805090902,2026-05-14 22:31:51,I,2,03,폐업,,1,4,2011-09-15 10:28:37,,2009-11-12,402-062,인천광역시 미추홀구 도화동 232-1번지 명현빌딩 3층,PHMB320093510021062300002,3510500,,2,2,"인천광역시 미추홀구 석정로282번길 41  (도화동,명현빌딩 3층)",,03,폐업,,2,,,,1,2,,2
1,선(SUN)치과기공소,2014-05-29,1,170283.48408756,437968.950775426,2026-05-14 22:31:51,I,1,03,폐업,1,1,3,2014-05-29 14:50:27,,2011-03-09,402-867,인천광역시 미추홀구 학익동 264-6번지,PHMB320113510021062300001,3510500,1,1,1,인천광역시 미추홀구 한나루로 400 (학익동),,03,폐업,1,1,,,,1,1,1,1
