사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
프러스마트,2002-08-20,172027.068345525,438557.289049955,,2026-05-14 22:56:49,I,,2,폐업처리,2008-02-23 00:00:00,,1992-12-05,,인천광역시 미추홀구 주안동 1492번지 12호,1992351001305600012,3510500,인천광역시 미추홀구 인하로329번길 13 (주안동),,03,폐업,,,032-0000-0000
고려구내매점,2009-07-15,171790.5109683,441109.814946865,2009년11월법개정전자료,2026-05-14 22:57:56,I,2009-03-12,2,폐업처리,2009-07-15 16:45:34,,2009-03-12,402-205,인천광역시 미추홀구 주안5동 1402번지 4호,2009351009205600039,3510500,인천광역시 미추홀구 주염로73번길 49 (주안동),,03,폐업,,,
믿음마트,2002-06-28,169637.447972263,440228.37832802,,2026-05-14 22:57:26,I,,2,폐업처리,2008-02-23 00:00:00,,2002-04-04,,인천광역시 미추홀구 숭의동 29번지 6호,2002351006105600082,3510500,인천광역시 미추홀구 경인로142번길 58 (숭의동),,03,폐업,,,032-441-1567
슈퍼킹,2021-08-12,171702.029450334,438936.197902994,제7조의3제2항에따른경우,2026-05-14 22:58:12,I,2021-04-19,2,폐업처리,2021-08-12 14:31:26,,2021-04-19,,인천광역시 미추홀구 주안동 1472-1 현대프라자,2021351057905600047,3510500,"인천광역시 미추홀구 미추홀대로614번길 17, 현대프라자 1층 (주안동)",22151,03,폐업,,,
현대소비자유통,2009-06-30,172288.778105583,438838.11937546,2009년11월법개정전자료,2026-05-14 22:57:19,I,1999-01-29,2,폐업처리,2009-06-30 16:33:27,,1999-01-29,,인천광역시 미추홀구 주안동 1533호,1999351001305600091,3510500,인천광역시 미추홀구 인주대로 457 (주안동),,03,폐업,,,
우리동네야채가게,2025-02-07,171402.701727589,440573.543440604,제7조의3제2항에따른경우,2026-05-14 22:58:12,I,2021-03-26,2,폐업처리,2025-02-07 10:48:27,,2021-03-26,,인천광역시 미추홀구 주안동 25-9,2021351057905600037,3510500,인천광역시 미추홀구 석정로 380 (주안동),22127,03,폐업,,,
퍼니마트,2015-08-27,170684.344100104,437805.210022709,2009년11월법개정전자료,2026-05-14 22:57:54,I,2008-05-20,2,폐업처리,2015-08-27 16:22:07,,2008-05-20,402-042,인천광역시 미추홀구 학익동 244번지 1호 청호빌딩 1층 제1호,2008351009205600075,3510500,"인천광역시 미추홀구 소성로185번길 16-5 (학익동,청호빌딩 1층 제1호)",,03,폐업,,,
충남식품,2008-02-28,170625.613373003,440579.637848103,2009년11월법개정전자료,2026-05-14 22:56:43,I,1989-03-01,2,폐업처리,2008-02-28 16:26:42,,1989-03-01,,인천광역시 미추홀구 도화동 146번지 13  호,1989351006105600101,3510500,인천광역시 미추홀구 석정로302번길 22 (도화동),,03,폐업,,,
대흥쌀상회,2001-08-14,170738.3850503,438736.954991606,,2026-05-14 22:57:19,I,,2,폐업처리,2008-02-23 00:00:00,,1999-07-26,,인천광역시 미추홀구 주안동 728호,1999351001305600087,3510500,인천광역시 미추홀구 인하로195번길 36 (주안동),,03,폐업,,,
세븐일레븐 인천제일시장점,2020-03-27,171139.438584229,439771.871131918,제7조의3제2항에따른경우,2026-05-14 22:58:07,I,2017-10-16,2,폐업처리,2020-03-27 13:25:36,,2017-10-16,,,2017351015605600124,3510500,"인천광역시 미추홀구 경인로 310, 1층 (도화동)",22138,03,폐업,,,
아영세탁1번지,,171029.300288151,438219.304672875,제7조의3제2항에따른경우,2026-05-14 22:57:58,I,2011-05-30,5,지정취소,2023-02-09 15:12:05,2022-09-23,2011-05-30,402-203,인천광역시 미추홀구 주안3동 860번지 60호,2011351009205600072,3510500,인천광역시 미추홀구 신기길58번길 60 (주안동),,04,취소/말소/만료/정지/중지,,,
(주)에스디코리아,,172767.312928151,440293.445814497,2009년11월법개정전자료,2026-05-14 22:57:52,I,2006-12-20,5,지정취소,2009-05-14 14:10:15,2009-05-14,2006-12-20,,인천광역시 미추홀구 주안동 876호 1층,2006351007905600091,3510500,"인천광역시 미추홀구 주안로205번길 20 (주안동,1층)",,04,취소/말소/만료/정지/중지,,,
신용할인마트,2006-04-11,170063.394304827,438942.020902301,,2026-05-14 22:57:44,I,,2,폐업처리,2008-02-23 00:00:00,,2004-10-18,,인천광역시 미추홀구 용현동 75번지 6호,2004351006105600200,3510500,인천광역시 미추홀구 한나루로489번길 90 (용현동),,03,폐업,,,
세븐일레븐 인천숭의수봉점,,169722.191650028,440010.920016029,제7조의3제2항에따른경우,2026-05-14 22:57:57,I,2010-08-19,3,직권취소,2016-01-11 14:36:06,2016-01-11,2010-08-19,402-812,인천광역시 미추홀구 숭의4동 22번지 20호,2010351009205600108,3510500,"인천광역시 미추홀구 수봉안길 7, 1층 (숭의동)",,04,취소/말소/만료/정지/중지,,,
씨유 주안에듀포레점,,172696.281461775,439139.172365615,제7조의3제2항에따른경우,2026-05-14 22:58:17,I,2022-08-10,0,정상영업,2022-08-22 11:19:33,,2022-08-10,,인천광역시 미추홀구 주안동 1556-59,2022351057905600081,3510500,"인천광역시 미추홀구 경원대로780번길 22, 주안캐슬앤더샵에듀포레 단지내상가 106호 (주안동)",22147,01,영업/정상,,,
조쉐프구내식당,,169776.985780318,442022.655019191,제7조의3제2항에따른경우,2026-05-14 22:58:13,I,2022-06-10,0,정상영업,2022-06-10 13:05:22,,2022-06-10,,인천광역시 미추홀구 도화동 956-1,2022351057905600053,3510500,"인천광역시 미추홀구 염전로143번길 17, 1층 (도화동)",22108,01,영업/정상,,,
서원슈퍼,2012-02-24,170959.84685443,437872.194050802,2009년11월법개정전자료,2026-05-14 22:56:48,I,1990-06-18,2,폐업처리,2012-02-24 17:47:20,,1990-06-18,,인천광역시 미추홀구 학익동 산36번지 10호,1990351001305600014,3510500,인천광역시 미추홀구 학익소로61번길 36-23 (학익동),,03,폐업,,,
영진각,2002-03-18,168648.052004659,440538.148192371,,2026-05-14 22:57:21,I,,2,폐업처리,2008-02-23 00:00:00,,2000-06-10,,인천광역시 미추홀구 숭의동 124번지 166호,2000351000005600047,3510500,인천광역시 미추홀구 참외전로 288-8 (숭의동),,03,폐업,,,032-887-7194
성지할인마트,2009-12-30,172334.344758127,438208.741048821,2009년11월법개정전자료,2026-05-14 22:57:52,I,2007-04-23,2,폐업처리,2009-12-30 11:28:39,,2007-04-23,,인천광역시 미추홀구 관교동 514번지 2   호,2007351009205600017,3510500,인천광역시 미추홀구 주승로 159 (관교동),,03,폐업,,,032-431-1806
