사업장명,폐업일자,법인구분명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,구분명,소재지전화번호
무지개유료직업소개소,,개인,202299.264911579,451202.554326364,2026-05-14 22:57:20,I,40,폐업,2003-03-15 13:25:57,2001-11-19,,서울특별시 성동구 하왕십리동 1050호 1통 7반 한진그랑빌 101 204,2001468012011500027,4681000,"서울특별시 성동구 왕십리로31길 20, 101동 204호 (하왕십리동,한진그랑빌)",,03,폐업,유료,
영선건설인력,,개인,184412.682480636,458306.015275448,2026-05-14 22:57:21,I,40,폐업,2005-06-03 14:11:14,2005-02-22,,경기도 고양시덕양구 토당동 844번지 5호 7통 6반 에버빌 A 203,2005468012011500002,4681000,"경기도 고양시 덕양구 지도로124번길 14-24, A동 203호 (토당동,에버빌)",,03,폐업,유료,
성현인력개발,,개인,205357.539375846,451614.37863091,2026-05-14 22:57:21,I,40,폐업,2003-03-17 11:28:45,2002-10-14,,서울특별시 동대문구 답십리동 12번지 100호 19통 3반,2002468012011500025,4681000,서울특별시 동대문구 전농로4나길 25 (답십리동),,03,폐업,유료,
신우인력,,개인,193221.378214334,427721.250975663,2026-05-14 22:57:21,I,40,폐업,2003-03-26 21:39:15,2002-02-26,,경기도 군포시 산본동 1155호 20통 2반 가야아파트 509 1506,2002468012011500029,4681000,"경기도 군포시 번영로 403, 509동 1506호 (산본동,가야아파트)",,03,폐업,유료,
무지개유료직업소개소,,개인,175419.419617672,438876.571621089,2026-05-14 22:57:20,I,40,폐업,2003-03-10 20:35:49,2000-10-18,,인천광역시 남동구 구월동 1302번지 55호 23통 5반 성화빌라 3 301,2000468012011500017,4681000,"인천광역시 남동구 구월남로 302-6, 3동 301호 (구월동,성화빌라)",,03,폐업,유료,
뉴스타유료직업소개소,,개인,204680.308194419,464346.663669239,2026-05-14 22:57:20,I,40,폐업,2003-03-10 20:43:06,2000-10-28,,서울특별시 노원구 상계동 1255호 16통 1반 은빛아파트 107 405,2000468012011500018,4681000,"서울특별시 노원구 동일로245길 162, 107동 405호 (상계동,은빛아파트)",,03,폐업,유료,
하나인력공사,,개인,176871.259301319,442581.204845911,2026-05-14 22:57:20,I,40,폐업,2003-03-10 21:48:11,2001-03-16,,인천광역시 부평구 부개동 358번지 4호 22통 5반,2001468012011500011,4681000,인천광역시 부평구 경인로1084번길 25-6 (부개동),,03,폐업,유료,
대신인력공사,,개인,,,2026-05-14 22:57:20,I,40,폐업,2003-03-13 20:59:03,2001-08-23,,서울특별시 양천구 신월동 571번지 9호 9통 5반,2001468012011500021,4681000,,,03,폐업,유료,
정진소유료직업소개소,,개인,192357.927215611,442628.627574423,2026-05-14 22:57:19,I,40,폐업,2003-03-21 13:51:51,1999-01-12,,서울특별시 관악구 신림동 515번지 17호 12통 2반   B01,1999468012011500012,4681000,"서울특별시 관악구 난곡로74길 10, B01호 (신림동)",,03,폐업,유료,
호크아이컨설팅,2026-05-13,개인,201898.977448681,452274.691734276,2026-05-14 03:03:03,U,50,타시군구이관,2026-05-13 16:48:25,2024-07-04,,서울특별시 종로구 숭인동 1425,2024300024514500014,3000000,"서울특별시 종로구 난계로27길 15, A층 1007호 (숭인동)",03116,05,제외/삭제/전출,유료,
예일직업소개소,,개인,,,2026-05-14 22:57:17,I,40,폐업,2005-02-23 16:09:34,2003-11-18,,경기도 수원시장안구 장안동 108번지 10호,2003461001211500008,4610000,,,03,폐업,유료,
이레아이맘 성동광진동대문,,개인,203077.751686799,451121.27351231,2026-05-14 03:03:03,U,20,영업중,2026-05-13 17:45:30,2025-02-13,,서울특별시 성동구 도선동 22-1 다남매 Tower,2025303013514500001,3030000,"서울특별시 성동구 고산자로 253, 다남매 Tower 12층 1205호 (도선동)",04709,01,영업/정상,유료,02-572-3762
(주)삼천리네트웍스,,법인,185047.167437213,450888.092530121,2026-05-14 03:03:03,U,20,영업중,2026-05-13 14:53:21,2019-02-25,,서울특별시 강서구 마곡동 774-8 장흥빌딩,2019315020114500002,3150000,"서울특별시 강서구 마곡중앙6로 40, 장흥빌딩 4층 407호 (마곡동)",07802,01,영업/정상,유료,
(주)사람인,,법인,184449.736274095,451015.135227088,2026-05-14 03:03:03,U,20,영업중,2026-05-13 10:42:41,2018-07-25,,서울특별시 강서구 마곡동 769,2025315020114500004,3150000,"서울특별시 강서구 공항대로 165, C동 11층 (마곡동)",07800,01,영업/정상,유료,
주식회사 씨앤알,,법인,184522.907834771,451531.924488537,2026-05-14 03:03:03,U,20,영업중,2026-05-13 13:37:17,2020-09-09,,서울특별시 강서구 마곡동 767,2025315020114500007,3150000,"서울특별시 강서구 마곡중앙로 143, 르웨스트시티 비동 5층 (마곡동)",07797,01,영업/정상,유료,
장행닷컴 잡스,,개인,184685.391570804,450700.800441252,2026-05-14 03:03:03,U,20,영업중,2026-05-13 13:05:43,2025-07-07,,서울특별시 강서구 마곡동 799-6,2025315020114500015,3150000,"서울특별시 강서구 마곡중앙2로 5, 메트로비즈타워 10층 1009호 (마곡동)",07631,01,영업/정상,유료,
글로리커리어,,개인,194561.746032498,446364.318286465,2026-05-14 03:03:03,U,20,영업중,2026-05-13 19:15:17,2024-04-26,,서울특별시 영등포구 여의도동 61-3 라이프오피스텔 638호,2024318025614500020,3180000,"서울특별시 영등포구 63로 40, 라이프오피스텔 6층 638호 (여의도동)",07345,01,영업/정상,유료,
(주)이솔에프앤씨,,법인,190410.047738361,443953.502895004,2026-05-14 03:03:03,U,20,영업중,2026-05-13 08:00:40,2011-02-25,,서울특별시 구로구 구로동 106번지 4호 선경오피스텔 1310호,2011316016014500004,3160000,"서울특별시 구로구 공원로 3, 1310호 (구로동)",,01,영업/정상,유료,
아시아인력,2026-01-21,개인,175359.54738808,444540.547355496,2026-05-14 22:57:24,I,40,폐업,2026-04-20 09:12:49,2023-10-16,,인천광역시 부평구 부평동 431-23,2023354016214500016,3540000,"인천광역시 부평구 부평대로 126-1, 3층 (부평동)",21358,03,폐업,유료,
리딩에스앤디 주식회사,,법인,189055.138252216,441958.334400683,2026-05-14 03:03:03,U,20,영업중,2026-05-13 09:41:01,2019-07-12,,서울특별시 금천구 가산동 543-1 대성디폴리스지식산업센터,2019317018814500010,3170000,"서울특별시 금천구 서부샛길 606, 대성디폴리스지식산업센터 206호 (가산동)",08504,01,영업/정상,유료,
착한동양 동양인력,,개인,197726.887100249,442363.523457887,2026-05-14 03:03:03,U,20,영업중,2026-05-13 15:06:34,2024-04-15,,서울특별시 동작구 사당동 323-3,2024319027114500002,3190000,"서울특별시 동작구 사당로 245, 2층 (사당동)",07005,01,영업/정상,유료,
