영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,브루앤코,커피숍,2026-05-14,193588.305482469,451064.985392038,2026-05-15 03:03:03,U,02,폐업,61.63,,,,,,,,,2026-05-14 11:33:25,2024-07-19,61.63,120-830,서울특별시 서대문구 연희동 353-74,N,,3120000-104-2024-00140,,3120000,"서울특별시 서대문구 연희로 38-14, 지층 (연희동)",03781,03,폐업,커피숍,,,,
,,세븐일레븐 인천송림오거리점,편의점,,168501.035208388,441527.629656156,2026-05-15 03:03:03,U,01,영업,3.3,,,,,,,,,2026-05-14 13:59:11,2025-09-02,3.30,401-817,인천광역시 동구 송림동 59-28,N,,3500000-104-2025-00015,,3500000,"인천광역시 동구 샛골로 146, 1층 일부호 (송림동)",22557,01,영업/정상,편의점,,,,
,,요거트월드 김포검단점,커피숍,,175492.265605435,455055.396863467,2026-05-15 03:03:03,U,01,영업,23.94,,,,,,,,,2026-05-14 13:24:09,2022-06-27,23.94,415-809,경기도 김포시 풍무동 583-6 유현마을신동아아파트 402동 115호,N,,4090000-104-2022-00179,,4090000,"경기도 김포시 풍무로 2, 유현마을신동아아파트 402동 115호 (풍무동)",10120,01,영업/정상,커피숍,,,,상수도전용
기타,,씨유삼척임원점,편의점,2026-05-14,407848.353770811,416976.818638394,2026-05-15 03:03:03,U,02,폐업,13.2,,,,,,,,,2026-05-14 15:25:02,2014-06-27,13.20,,강원특별자치도 삼척시 원덕읍 임원리 350-2,N,1,4241000-104-2014-00009,,4241000,강원특별자치도 삼척시 원덕읍 삼척로 1198,25956,03,폐업,편의점,,,,상수도전용
,,씨유 양곡본점,편의점,,166759.201486184,461379.796697491,2026-05-15 03:03:03,U,01,영업,3.3,,,,,,,,,2026-05-14 16:13:30,2019-08-30,3.30,415-845,경기도 김포시 양촌읍 양곡리 412-3 제이팰리스 101호,N,,4090000-104-2019-00220,,4090000,"경기도 김포시 양촌읍 양곡1로38번길 3, 1층 101(일부)호 (제이팰리스)",10059,01,영업/정상,편의점,,,,상수도전용
,,메가엠지씨커피 덕정한국점,커피숍,,205419.036924579,481830.256778812,2026-05-15 03:03:03,U,01,영업,115,,,,,,,,,2026-05-14 14:51:45,2025-09-25,115.00,482-060,경기도 양주시 덕정동 285-7 1층 일부,N,,5590000-104-2025-00077,,5590000,"경기도 양주시 독바위로 24, 1층 일부 (덕정동)",11451,01,영업/정상,커피숍,,,,상수도전용
,,잇츠PC 중랑점,기타 휴게음식점,,206697.874499528,454487.769612144,2026-05-15 03:03:03,U,01,영업,8,,,,,,,,,2026-05-14 17:14:11,2019-01-09,8.00,131-861,서울특별시 중랑구 상봉동 130-22,N,,3060000-104-2019-00006,,3060000,"서울특별시 중랑구 망우로32길 28, 2층 (상봉동)",02120,01,영업/정상,기타 휴게음식점,,,,상수도전용
,,세븐일레븐 김포디원시티점,편의점,,166214.893825482,460298.273733436,2026-05-15 03:03:03,U,01,영업,3.3,,,,,,,,,2026-05-14 11:54:53,2021-05-18,3.30,415-080,경기도 김포시 구래동 6871-7 B124호,N,,4090000-104-2021-00173,,4090000,"경기도 김포시 김포한강10로133번길 127, 디원시티 지식산업센터 1층 B124호 (구래동)",10071,01,영업/정상,편의점,,,,상수도전용
,,세븐일레븐용인센터점,편의점,,217775.768351756,414816.458060654,2026-05-15 03:03:03,U,01,영업,9.9,,,,,,,,,2026-05-14 11:12:13,2017-04-14,9.90,449-925,"경기도 용인시 처인구 김량장동 254-158 용인유메이드 107, 108호",N,,5620000-104-2017-00047,,4050000,"경기도 용인시 처인구 금령로 43 (김량장동, 용인유메이드 107, 108호)",17050,01,영업/정상,편의점,031-321-4026,,,상수도전용
,,씨유 서초센터점,패스트푸드,,200545.803870084,443059.168317765,2026-05-15 03:03:03,U,01,영업,3.3,,,,,,,,,2026-05-14 14:23:47,2009-05-19,3.30,137-952,서울특별시 서초구 서초동 1502-1 1층,N,,3210000-104-2009-00091,,3210000,"서울특별시 서초구 반포대로27길 23 (서초동,1층)",06656,01,영업/정상,패스트푸드,,,,
