번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,
1,의원,01_01_02_P,3060000,PHMA120263060034041100004,2026-03-20,,01,영업/정상,13,영업중,,,,,02-436-7582,,,서울특별시 중랑구 면목동 636-4,"서울특별시 중랑구 사가정로 386, 2,3층 (면목동)",02238,사가정연세365정형외과의원,2026-03-27 10:29:29,I,2026-03-29 00:20:01,의원,207651.224114999,453137.793531482,의원,2,0,0,523.22,122 120 114 109 106 105 104 101,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 피부과, 재활의학과, 가정의학과",,,,0,0,,,0,,
2,의원,01_01_02_P,3220000,PHMA120263220033041100052,2026-03-26,,01,영업/정상,13,영업중,,,,,02-6952-6608,,,서울특별시 강남구 역삼동 808 808타워,"서울특별시 강남구 강남대로 470, 808타워 제지2층 (역삼동)",06123,리브의원,2026-03-27 17:46:52,I,2026-03-29 00:20:01,의원,202144.958698403,444682.095846898,의원,1,0,0,362.12,114 108,"성형외과, 피부과",,,,0,0,,,0,,
3,의원,01_01_02_P,3230000,PHMA120263230034041100022,2026-03-26,,01,영업/정상,13,영업중,,,,,02-430-3000,,,서울특별시 송파구 문정동 89-8 신안빌딩,"서울특별시 송파구 송이로36길 68, 신안빌딩 2층 (문정동)",05809,문정연세내과의원,2026-03-27 10:55:12,I,2026-03-29 00:20:01,의원,211124.253395479,442367.024660277,의원,1,0,0,201.13,126 125 122 120 119 118 116 115 114 113 111 109 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 예방의학과",,,,0,0,,,0,,
6,의원,01_01_02_P,3830000,PHMA120263830262041100003,2026-03-25,,01,영업/정상,13,영업중,,,,,031-466-7522,,,경기도 안양시 만안구 안양동 517-16,"경기도 안양시 만안구 안양로 142, 2층 (안양동)",14034,당신의치과의원,2026-03-27 16:51:16,I,2026-03-29 00:20:01,치과의원,,,치과의원,1,0,0,307,412 411 410 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,
7,의원,01_01_02_P,3780000,PHMA120263780064041100006,2026-03-27,,01,영업/정상,13,영업중,,,,,031-738-9711,,,경기도 성남시 분당구 구미동 297-2 서울시니어스분당타워,"경기도 성남시 분당구 구미로173번길 47, 서울시니어스분당타워 B101호 (구미동)",13619,시니어스의원,2026-03-27 14:51:21,I,2026-03-29 00:20:01,의원,210865.833054843,427250.388354456,의원,0,0,0,608.83,122 101,"내과, 가정의학과",,,,0,0,,,0,,
9,의원,01_01_02_P,3210000,PHMA120263210034041100040,2026-03-18,,01,영업/정상,13,영업중,,,,,02-546-0222,,,서울특별시 서초구 반포동 723-22,"서울특별시 서초구 강남대로 509, A동 3층 (반포동)",06536,완성형외과의원,2026-03-27 15:20:04,I,2026-03-29 00:20:01,의원,201892.166456524,445046.963252236,의원,1,0,0,265.56,114 108,"성형외과, 피부과",,,,0,0,,,0,,
12,의원,01_01_02_P,3820000,PHMA120263820050041100004,2026-03-27,,01,영업/정상,13,영업중,,,,,031-894-5375,,,경기도 의정부시 의정부동 431-24 구성타워빌딩,"경기도 의정부시 신흥로 251, 구성타워빌딩 2층 (의정부동)",11674,튼튼통합의원,2026-03-27 13:25:20,I,2026-03-29 00:20:01,의원,203709.76164168,470682.536600634,의원,1,0,0,112.15,120 109 106 105,"정형외과, 신경외과, 마취통증의학과, 재활의학과",,,,0,0,,,0,,
13,의원,01_01_02_P,3820000,PHMA120263820050041100005,2026-03-27,,01,영업/정상,13,영업중,,,,,031-894-5375,,,경기도 의정부시 의정부동 431-24 구성타워빌딩,"경기도 의정부시 신흥로 251, 구성타워빌딩 2층 (의정부동)",11674,튼튼통합한의원,2026-03-27 13:28:33,I,2026-03-29 00:20:01,한의원,203709.76164168,470682.536600634,한의원,1,0,0,137.9,308 306,"한방재활의학과, 침구과",,,,0,0,,,0,,
25,의원,01_01_02_P,3060000,PHMA119943060034041100004,1994-03-26,,01,영업/정상,13,영업중,,,,,02-2207-6542,,,,"서울특별시 중랑구 면목로 289, 농협 (면목동)",02239,나비드치과의원,2026-03-27 00:13:20,U,2026-03-29 02:40:00,치과의원,207528.589834323,452941.322890204,치과의원,2,0,0,229.97,402 403 405 406 407 408 409 410 411 412,"구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,
26,의원,01_01_02_P,3030000,PHMA119963030033041100007,1996-12-09,,01,영업/정상,13,영업중,,,,,02-2253-7898,,133-751,"서울특별시 성동구 금호동3가 1331번지 두산아파트상가 508, 509호","서울특별시 성동구 동호로 100, 508, 509호 (금호동3가, 두산아파트상가)",04724,예원내과의원,2026-03-27 00:43:39,U,2026-03-29 02:40:00,의원,201383.023709556,449744.280482389,의원,3,0,0,92.11,101 111 114 115,"내과, 소아청소년과, 피부과, 비뇨의학과",,,,0,0,,,0,,
