번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,다중이용업소여부,
1,숙박업,03_11_03_P,3220000,3220000-214-2026-00006,2026-03-27,,01,영업/정상,01,영업,,,,,,161.25,135-911,서울특별시 강남구 역삼동 647-6 블루-b,"서울특별시 강남구 테헤란로13길 8-5, 블루-b 2층 (역삼동)",06133,윌로우리프(willow leaf),2026-03-27 14:47:15,I,2026-03-29 00:20:01,숙박업(생활),202838.962723967,444252.642022705,숙박업(생활),0,0,0,0,0,0,0,4,,,,,0,0,N,
3,숙박업,03_11_03_P,5590000,5590000-214-2026-00001,2026-03-27,,01,영업/정상,01,영업,,,,,,371.18,482-812,"경기도 양주시 장흥면 석현리 346-11 제1동 1,2층, 제2동 1,2층, 제3동 1,2,3층","경기도 양주시 장흥면 권율로 351, 제1동 1,2층, 제2동 1,2층, 제3동 1,2,3층",11519,반딧불,2026-03-27 15:45:39,I,2026-03-29 00:20:01,숙박업(생활),,,숙박업(생활),0,0,1,3,0,0,0,3,,,,자가,0,0,N,
4,숙박업,03_11_03_P,4160000,4160000-214-2026-00008,2026-03-27,,01,영업/정상,01,영업,,,,,,594.31,477-811,경기도 가평군 청평면 호명리 179,"경기도 가평군 청평면 호명리길 58-28, 주1동 지하1층~4층",12455,풀스쿼드가평 주식회사,2026-03-27 14:11:01,I,2026-03-29 00:20:01,숙박업(생활),240754.084515888,468765.114641135,숙박업(생활),4,1,0,0,0,0,0,8,,,,,0,0,N,
17,숙박업,03_11_03_P,4181000,4181000-201-2022-00008,2022-12-15,,01,영업/정상,01,영업,,,,,033 2530000,2419.87,,강원특별자치도 춘천시 근화동 265-1 더잭슨나인스호텔,"강원특별자치도 춘천시 중앙로 193, 더잭슨나인스호텔 (근화동)",24360,잭슨나인스 호텔,2026-03-27 15:52:13,U,2026-03-29 02:40:00,일반호텔,262762.787471616,485918.488669297,일반호텔,15,4,1,15,0,0,2,88,,,,,0,0,N,
18,숙박업,03_11_03_P,4201000,4201000-201-2003-00008,2003-04-29,,01,영업/정상,01,영업,,,,,033 652 4475,957.75,,강원특별자치도 강릉시 초당동 455-8,"강원특별자치도 강릉시 해안로 388, 1~3층 (초당동)",25467,글로잉호텔,2026-03-27 11:12:13,U,2026-03-29 02:40:00,여관업,368375.105236544,478868.415448562,여관업,5,0,1,3,0,0,29,18,,,,,0,0,N,
19,숙박업,03_11_03_P,4201000,4201000-201-2020-00004,2020-09-09,,01,영업/정상,01,영업,,,,,,853.58,,강원특별자치도 강릉시 초당동 455-8,"강원특별자치도 강릉시 해안로 388, 4~5층 (초당동)",25467,글로잉펜션,2026-03-27 11:21:19,U,2026-03-29 02:40:00,숙박업 기타,368375.105236544,478868.415448562,숙박업 기타,5,0,4,5,0,0,0,22,,,,자가,0,0,Y,
29,숙박업,03_11_03_P,3130000,3130000-201-2026-00005,2026-03-11,,01,영업/정상,01,영업,,,,,,193.19,121-807,서울특별시 마포구 노고산동 57-38 JK빌딩,"서울특별시 마포구 서강로 135, JK빌딩 2층 (노고산동)",04058,신촌 스테이,2026-03-27 13:34:04,U,2026-03-29 02:40:00,관광호텔,194224.210759149,450250.907145243,관광호텔,2,0,0,0,0,0,0,0,,,,,0,0,N,
30,숙박업,03_11_03_P,4221000,4221000-201-2021-00001,2021-07-08,,01,영업/정상,01,영업,,,,,,1059.94,,강원특별자치도 태백시 황지동 270-30 태평장여관,"강원특별자치도 태백시 광장로 16, 태평장여관 (황지동)",26007,태평모텔,2026-03-27 10:57:17,U,2026-03-29 02:40:00,여관업,376288.280530756,410223.767125535,여관업,0,0,0,0,0,0,5,17,,,,자가,0,0,N,
31,숙박업,03_11_03_P,4291000,4291000-214-2024-00001,2024-06-28,,01,영업/정상,01,영업,,,,,033 591 7771,28510.68,,강원특별자치도 정선군 사북읍 사북리 354-1,"강원특별자치도 정선군 사북읍 지장천로 579, 강원남부주민주식회사 사북지점",26152,아리아리 호텔,2026-03-27 14:11:13,U,2026-03-29 02:40:00,숙박업(생활),360665.670171637,415444.864340463,숙박업(생활),15,2,1,15,1,2,589,300,,,,,0,0,N,
37,숙박업,03_11_03_P,3860000,3871000-201-2004-00514,2004-01-10,,01,영업/정상,01,영업,,,,,032 6571101,1092.86,,경기도 부천시 원미구 심곡동 180-8,경기도 부천시 원미구 부천로35번길 11 (심곡동),14634,부천엠에스(MS),2026-03-27 11:22:41,U,2026-03-29 02:40:00,여관업,180646.268410205,442831.533998446,여관업,7,2,1,7,0,0,0,48,,,,,0,0,N,
