영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,신당삼성어린이집,어린이집,2026-01-13,200749.980616535,450385.191602544,2026-03-31 23:11:54,I,02,폐업,42.79,,,,,,,,,2026-01-13 13:06:36,2003-09-18,20.79,100-828,서울특별시 중구 신당동 357-9,N,,3010000-105-2003-00007,,3010000,서울특별시 중구 동호로15길 21-36 (신당동),04598,03,폐업,어린이집,02-2233-6925,,,상수도전용
,,남산 숲 어린이집,어린이집,,200718.530887546,449361.318495913,2026-03-31 23:12:00,I,01,영업,22,,,,,,,,,2024-04-19 17:07:28,2005-05-30,22.00,100-830,서울특별시 중구 신당동 366-480,N,,3010000-105-2005-00010,,3010000,서울특별시 중구 동호로5길 193 (신당동),04595,01,영업/정상,어린이집,02-2234-2753,,,상수도전용
,,청구 어린이집,어린이집,,201410.290948801,450546.898205258,2026-03-31 23:12:01,I,01,영업,24.5,,,,,,,,,2025-04-10 16:19:26,2005-05-30,24.50,100-826,서울특별시 중구 신당동 333-177,N,,3010000-105-2005-00011,,3010000,서울특별시 중구 다산로24길 81 (신당동),04592,01,영업/정상,어린이집,02-2236-1466,,,상수도전용
,,약수어린이집,어린이집,,200747.108760448,450007.085555684,2026-03-31 23:12:01,I,01,영업,16.52,,,,,,,,,2022-07-15 17:40:45,2005-05-30,11.57,100-830,서울특별시 중구 신당동 366-19,N,,3010000-105-2005-00012,,3010000,서울특별시 중구 다산로6길 15 (신당동),04597,01,영업/정상,어린이집,02-2252-7672,,,상수도전용
,,영락교회어린이집,어린이집,,198977.412119181,451218.287760743,2026-03-31 23:12:01,I,01,영업,15,,,,,,,,,2017-05-02 11:35:03,2005-05-31,15.00,100-032,서울특별시 중구 저동2가 61-10,N,,3010000-105-2005-00016,,3010000,서울특별시 중구 수표로 33 (저동2가),04552,01,영업/정상,어린이집,02-2266-5878,,,상수도전용
,,가명어린이집,어린이집,,197036.542728288,450756.028376469,2026-03-31 23:12:02,I,01,영업,25,,,,,,,,,2016-07-21 16:00:12,2005-05-31,25.00,100-858,서울특별시 중구 중림동 149-2,N,,3010000-105-2005-00017,,3010000,서울특별시 중구 청파로 447-1 (중림동),04506,01,영업/정상,어린이집,02-365-7021,,,상수도전용
,,충무어린이집,어린이집,,200085.300655787,450888.083187433,2026-03-31 23:12:02,I,01,영업,14.87,,,,,,,,,2023-02-23 13:54:21,2005-05-31,14.87,100-380,서울특별시 중구 묵정동 21-4,N,,3010000-105-2005-00019,,3010000,서울특별시 중구 동호로27길 21 (묵정동),04618,01,영업/정상,어린이집,02-2264-3679,,,상수도전용
,,회현어린이집,어린이집,,198244.422138345,450415.657103768,2026-03-31 23:12:02,I,01,영업,15,,,,,,,,,2024-07-11 11:55:55,2005-05-31,15.00,100-873,서울특별시 중구 회현동1가 100-72,N,,3010000-105-2005-00020,,3010000,서울특별시 중구 퇴계로12가길 23 (회현동1가),04633,01,영업/정상,어린이집,02-757-0896,,,상수도전용
,,중구청 직장어린이집,어린이집,,200036.395766023,451282.065190225,2026-03-31 23:12:02,I,01,영업,16.52,,,,,,,,,2021-12-06 16:55:22,2005-05-31,16.52,100-015,서울특별시 중구 충무로5가 22-3 외2필지(지상3층),N,,3010000-105-2005-00021,,3010000,"서울특별시 중구 마른내로12길 17-19 (충무로5가,외2필지(지상3층))",04559,01,영업/정상,어린이집,02-3396-4049,,,상수도전용
,,을지어린이집,어린이집,,199977.566307146,451717.838907575,2026-03-31 23:12:03,I,01,영업,48,,,,,,,,,2016-07-21 17:00:24,2005-05-31,20.00,100-330,서울특별시 중구 주교동 321,N,,3010000-105-2005-00022,,3010000,서울특별시 중구 을지로27가길 24 (주교동),04546,01,영업/정상,어린이집,02-2267-4539,,,상수도전용
,,단우물어린이집,어린이집,,201531.572655184,451694.136228521,2026-03-31 23:12:03,I,01,영업,14,,,,,,,,,2021-12-09 11:49:50,2005-05-31,14.00,100-869,서울특별시 중구 황학동 755,N,,3010000-105-2005-00023,,3010000,서울특별시 중구 다산로48길 33 (황학동),04576,01,영업/정상,어린이집,02-2234-9125,,,상수도전용
,,필동어린이집,어린이집,,199532.202432915,450602.870543074,2026-03-31 23:12:03,I,01,영업,0,,,,,,,,,2022-07-15 10:13:55,2005-05-31,,100-272,서울특별시 중구 필동2가 116-1,N,,3010000-105-2005-00025,,3010000,서울특별시 중구 퇴계로36가길 60 (필동2가),04626,01,영업/정상,어린이집,02-2274-2268,,,상수도전용
,,동화나라 어린이집,어린이집,,201633.038822982,451029.848351518,2026-03-31 23:12:03,I,01,영업,0,,,,,,,0,,2024-04-19 10:28:46,2005-05-31,18.24,100-831,서울특별시 중구 신당동 52-154,N,,3010000-105-2005-00026,,3010000,서울특별시 중구 다산로38길 80 (신당동),04584,01,영업/정상,어린이집,02-2236-5156,,,상수도전용
,,신당동어린이집,어린이집,,201184.455939586,451101.50197647,2026-03-31 23:12:04,I,01,영업,26,,,,,,,,,2021-12-07 18:02:05,2005-05-31,26.00,100-890,서울특별시 중구 신당동 304-720 신당동어린이집,N,,3010000-105-2005-00028,,3010000,"서울특별시 중구 청구로8길 41 (신당동, 신당동어린이집)",04610,01,영업/정상,어린이집,02-2233-9478,,,상수도전용
,,약수교회어린이집,어린이집,,200920.523220245,450010.47643147,2026-03-31 23:12:04,I,01,영업,16.95,,,,,,,,,2016-07-21 16:01:10,2005-06-01,12.00,100-840,서울특별시 중구 신당동 372-87,N,,3010000-105-2005-00029,,3010000,서울특별시 중구 다산로8길 32 (신당동),04596,01,영업/정상,어린이집,02-2233-5131,,,상수도전용
,,신당5동어린이집,어린이집,,201771.959333334,451194.146333334,2026-03-31 23:12:05,I,01,영업,28,,,,,,,,,2025-03-12 14:50:40,2005-05-30,18.00,100-818,서울특별시 중구 신당동 67-12,N,,3010000-105-2005-00031,,3010000,서울특별시 중구 퇴계로88가길 8-10 (신당동),04583,01,영업/정상,어린이집,02-2234-2745,,,상수도전용
,,종아홍익어린이집,어린이집,,201852.931048042,450855.26449377,2026-03-31 23:12:05,I,01,영업,12,,,,,,,0,,2017-07-14 13:42:30,2005-06-09,12.00,100-450,서울특별시 중구 신당동 840 현대아파트단지내,N,,3010000-105-2005-00032,,3010000,"서울특별시 중구 다산로36길 109 (신당동,현대아파트단지내)",04582,01,영업/정상,어린이집,02-2233-8430,,,상수도전용
,,한솔어린이집,어린이집,,200750.455125653,449638.824308081,2026-03-31 23:12:05,I,01,영업,31.35,,,,,,,,,2016-07-21 15:57:00,2005-06-24,24.75,100-450,서울특별시 중구 신당동 844 남산타운재개발임대(아)관리동1층,N,,3010000-105-2005-00034,,3010000,"서울특별시 중구 다산로 32 (신당동,남산타운재개발임대(아)관리동1층)",04595,01,영업/정상,어린이집,02-2256-0330,,,상수도전용
,,농협중앙회,산업체,,197143.10408516,451569.761397214,2026-03-31 23:12:06,I,01,영업,110,,,,,,,0,,2017-07-14 13:43:02,2005-06-24,"1,170.00",100-151,서울특별시 중구 충정로1가 75-1 (지하2층),N,,3010000-105-2005-00035,,3010000,서울특별시 중구 새문안로 16 (충정로1가),04516,01,영업/정상,산업체,02-2080-5896,,,상수도전용
,,(주)신세계,산업체,,198253.896034899,450905.28446798,2026-03-31 23:12:06,I,01,영업,0,,,,,,,,,2017-07-11 11:34:10,2005-07-29,"1,385.70",100-011,서울특별시 중구 충무로1가 54 외1필지 (지상15층),N,,3010000-105-2005-00037,,3010000,"서울특별시 중구 퇴계로 77 (충무로1가,외1필지 (지상15층))",04530,01,영업/정상,산업체,02-310-1196,,,상수도전용
기타,,(주)호텔롯데,산업체,,198259.65357739,451392.198218657,2026-03-31 23:11:00,I,01,영업,417.86,,,,0,기타,,,,2025-02-14 17:16:37,1987-05-13,152.44,100-070,서울특별시 중구 소공동 1,N,0,3010000-105-1987-00029,,3010000,서울특별시 중구 을지로 30 (소공동),04533,01,영업/정상,산업체,02-759-7115,,,상수도전용
기타,,한화호텔앤드리조트(주)사원식당,산업체,,198034.125156517,451321.55784154,2026-03-31 23:11:01,I,01,영업,0,,,,0,기타,,,,2025-10-02 15:22:52,1987-05-13,53.40,100-070,서울특별시 중구 소공동 111-5 지하1층,N,0,3010000-105-1987-00030,,3010000,"서울특별시 중구 소공로 109 (소공동, 지하1층)",04525,01,영업/정상,산업체,02-310-7329,,,상수도전용
기타,,롯데쇼핑(주),산업체,,198259.65357739,451392.198218657,2026-03-31 23:11:01,I,01,영업,1273,,,,0,기타,,,,2025-12-17 16:15:29,1987-05-14,"1,273.00",100-070,서울특별시 중구 소공동 1 15층,N,0,3010000-105-1987-00032,,3010000,"서울특별시 중구 남대문로 81, 15층 (소공동)",04533,01,영업/정상,산업체,02-2118-2079,,,상수도전용
기타,,대한항공,산업체,,197650.108453362,451254.381244059,2026-03-31 23:11:02,I,01,영업,784.91,,,,0,기타,,0,,2017-07-13 10:04:00,1987-05-14,.00,100-813,서울특별시 중구 서소문동 41-3,N,0,3010000-105-1987-00033,,3010000,서울특별시 중구 서소문로 117 (서소문동),04515,01,영업/정상,산업체,02-751-7397,,,
기타,,의료법인 제일병원,병원,,199856.423395279,451026.227711544,2026-03-31 23:11:04,I,01,영업,325.4,,,,0,기타,,,,2017-07-13 10:05:20,1987-05-17,118.40,100-380,서울특별시 중구 묵정동 1-19,N,0,3010000-105-1987-00036,,3010000,서울특별시 중구 서애로1길 17 (묵정동),,01,영업/정상,병원,02-2000-7485,,,
