영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,승희노래클럽,룸살롱,,167003.067611417,377092.283137873,2026-03-31 03:03:03,U,01,영업,97.51,,,,,,,,,2026-03-30 14:45:08,2009-10-06,97.51,343-920,충청남도 당진시 읍내동 224-8,Y,,5680000-102-2009-00010,,5680000,"충청남도 당진시 당진중앙2로 111-14, 2층 (읍내동)",31770,01,영업/정상,룸살롱,041-358-7455,,,
,,님프,룸살롱,2026-03-30,244878.842933073,345462.737646913,2026-03-31 03:03:03,U,02,폐업,323.19,,,,,,,,,2026-03-30 09:58:35,2004-01-09,323.19,360-810,충청북도 청주시 상당구 용암동 1620-0,Y,,5720000-102-2004-00001,,5710000,충청북도 청주시 상당구 월평로184번길 54 (용암동),28776,03,폐업,룸살롱,043-294-5088,,,
기타,,준코뮤직타운 서면점,노래클럽,,387723.384275627,185895.38168661,2026-03-31 03:03:03,U,01,영업,222.46,,,,0,기타,,,,2026-03-30 16:04:42,1986-02-27,222.46,614-845,부산광역시 부산진구 부전동 172-5 8층,Y,0,3290000-102-1986-04977,,3290000,"부산광역시 부산진구 중앙대로692번길 31, 8층 (부전동)",47295,01,영업/정상,노래클럽,,,,상수도전용
,,준코뮤직타운 서면2호점,노래클럽,,387523.955581263,185827.701295594,2026-03-31 03:03:03,U,01,영업,384.8,,,,,,,,,2026-03-30 16:02:30,2023-07-06,384.80,614-846,부산광역시 부산진구 부전동 241-4,Y,,3290000-102-2023-00002,,3290000,"부산광역시 부산진구 중앙대로 687-1, 2층 (부전동)",47289,01,영업/정상,노래클럽,,,,상수도전용
,,준코뮤직타운 정관점,노래클럽,,397893.283003005,204678.426761223,2026-03-31 03:03:03,U,01,영업,296.01,,,,,,,,,2026-03-30 10:03:09,2025-09-03,296.01,,부산광역시 기장군 정관읍 매학리 714-10 동오A타워,Y,,3400000-102-2025-00001,,3400000,"부산광역시 기장군 정관읍 정관7로 17-3, 동오A타워 4층 401호",46015,01,영업/정상,노래클럽,,,,상수도전용
유흥업소밀집지역,,다미아니,룸살롱,,335921.019181309,262555.588663467,2026-03-31 03:03:03,U,01,영업,267.89,,,,0,,,,,2026-03-30 15:22:53,2002-11-08,267.89,704-940,대구광역시 달서구 이곡동 1220-0001,Y,0,3470000-102-2002-00031,,3470000,대구광역시 달서구 이곡서로 13 (이곡동),42612,01,영업/정상,룸살롱,053-588-8238,,,
기타,,오케이(OK)노래밤,노래클럽,,171925.66572837,440144.167219497,2026-03-31 03:03:03,U,01,영업,81.72,,,,,,,,,2026-03-30 15:11:02,2022-11-24,81.72,,인천광역시 미추홀구 주안동 109-9 SIL빌딩,Y,,3510500-102-2022-00004,,3510500,"인천광역시 미추홀구 주안중로50번길 9, SIL빌딩 B01호 (주안동)",22135,01,영업/정상,노래클럽,,,,상수도전용
,,타잔소주호프노래타운,룸살롱,,411637.482902165,228948.725021732,2026-03-31 03:03:03,U,01,영업,84.7,,,,,,,,,2026-03-30 14:32:49,2002-12-26,84.70,680-804,울산광역시 남구 달동 1255-9,N,,3700000-102-2002-00175,,3700000,울산광역시 남구 왕생로40번길 23 (지상2)층 (달동),44718,01,영업/정상,룸살롱,,,,
유흥업소밀집지역,,씨앤앤노래주점,노래클럽,2026-03-30,411309.467503607,229073.881138824,2026-03-31 03:03:03,U,02,폐업,67.57,,,,,,,,,2026-03-30 18:00:36,2017-07-10,67.57,680-805,울산광역시 남구 달동 1361-7,Y,,3700000-102-2017-00006,,3700000,"울산광역시 남구 번영로144번길 19, 4층 (달동)",44703,03,폐업,노래클럽,052-260-3222,,,
유흥업소밀집지역,,꽃밭,룸살롱,,201312.741841704,415832.875112514,2026-03-31 03:03:03,U,01,영업,140.4,,,,0,,,,,2026-03-30 08:23:39,1996-10-16,140.40,441-881,경기도 수원시 권선구 세류동 1158-26,Y,0,3760000-102-1996-00007,,3740000,경기도 수원시 권선구 정조로388번길 15 (세류동),16660,01,영업/정상,룸살롱,031-238-6900,,,상수도전용
,,준코뮤직타운달동2호점,룸살롱,,411577.700774461,228954.002673437,2026-03-31 03:03:03,U,01,영업,209.5,,,,,,,,,2026-03-30 14:08:40,2002-04-16,209.50,680-804,울산광역시 남구 달동 1254-5 지상4층,N,,3700000-102-2002-00065,,3700000,"울산광역시 남구 삼산로242번길 8 (달동,지상4층)",44718,01,영업/정상,룸살롱,052-227-2207,,,
,,준코뮤직타운 미금점,룸살롱,,209631.991430699,427685.482703527,2026-03-31 03:03:03,U,01,영업,232.09,,,,,,,,,2026-03-30 11:18:19,2000-09-26,232.09,463-805,경기도 성남시 분당구 금곡동 159 한국프라자 지하1층,Y,,3810000-102-2000-00005,,3780000,"경기도 성남시 분당구 성남대로 170 (금곡동,한국프라자 지하1층)",13618,01,영업/정상,룸살롱,,,,
