영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,리얼푸드,식품운반업,,145061.46024439,144066.48511363,2026-03-31 23:10:34,I,01,영업,0,,,,,,,,,2026-03-18 16:54:03,2026-03-18,9.70,530-815,전라남도 목포시 산정동 ****-*,N,,4800000-117-2026-00001,,4800000,"전라남도 목포시 자유로**번길 *, ***호 (산정동)",58733,01,영업/정상,식품운반업,,,,
,자가,다오푸드,식품운반업,,145061.46024439,144066.48511363,2026-03-31 23:10:34,I,01,영업,0,,,,,,,,,2026-03-18 17:01:01,2026-03-18,9.00,530-815,전라남도 목포시 산정동 ****-*,N,,4800000-117-2026-00002,,4800000,"전라남도 목포시 자유로**번길 *, ***호 (산정동)",58733,01,영업/정상,식품운반업,,,,
,,커피아울렛,식품운반업,,282077.535256046,422841.072328232,2026-03-31 21:14:42,I,01,영업,0,,,,,,,,,2026-03-30 17:30:45,2026-03-30,.00,,강원특별자치도 원주시 판부면 서곡리 ***-**,N,,4191000-117-2026-00002,,4191000,"강원특별자치도 원주시 판부면 도매촌길 **-**, *동 *호",26402,01,영업/정상,식품운반업,070-4122-6951,,,
,임대,화산종합유통,식품운반업,,145031.600781999,144141.946031284,2026-03-31 23:09:57,I,01,영업,0,1,0,0,,,,0,,2015-11-04 15:34:27,2004-03-31,36.00,530-815,전라남도 목포시 산정동 ****-**,N,,4800000-117-2004-00001,,4800000,전라남도 목포시 용당로**번길 ** (산정동),58733,01,영업/정상,식품운반업,061-243-4392,,,상수도전용
,임대,(주)동원에프엔에프,식품운반업,,145237.229412456,143747.328192804,2026-03-31 23:09:59,I,01,영업,0,2,0,0,,,,0,,2008-01-30 14:58:22,2005-03-15,28.00,530-817,전라남도 목포시 산정동 ****,N,,4800000-117-2005-00001,,4800000,전라남도 목포시 용당로 **-* (산정동),58737,01,영업/정상,식품운반업,061-243-9611,,,상수도전용
,임대,서울식품,식품운반업,,147278.42929213,145607.255516563,2026-03-31 23:10:01,I,01,영업,0,1,0,1,,,,0,,2006-02-02 00:00:00,2005-04-01,22.00,530-822,전라남도 목포시 상동 ***,N,,4800000-117-2005-00003,,4800000,전라남도 목포시 비파로***번길 * (상동),58662,01,영업/정상,식품운반업,061-244-7245,,,상수도전용
,임대,(유)제이에이푸드,식품운반업,,143122.069813065,145691.317333477,2026-03-31 23:10:03,I,01,영업,0,1,1,0,,,,0,,2025-02-19 11:31:27,2006-02-17,15.00,530-810,전라남도 목포시 산정동 ****,N,,4800000-117-2006-00004,,4800000,전라남도 목포시 원산로 ***-* (산정동),58636,01,영업/정상,식품운반업,061-0274-4558,,,상수도전용
,임대,단유통,식품운반업,,147278.42929213,145607.255516563,2026-03-31 23:10:04,I,01,영업,0,1,1,0,,,,0,,2006-06-23 00:00:00,2006-02-23,36.00,530-822,전라남도 목포시 상동 ***,N,,4800000-117-2006-00007,,4800000,전라남도 목포시 비파로***번길 * (상동),58662,01,영업/정상,식품운반업,061-281-5701,,,상수도전용
,자가,(주)목포이푸드,식품운반업,,147016.83248508,146570.440993314,2026-03-31 23:10:06,I,01,영업,0,0,0,0,,,,0,,2024-08-08 09:10:28,2007-02-22,15.00,530-830,전라남도 목포시 석현동 ***-**,N,,4800000-117-2007-00003,,4800000,"전라남도 목포시 석현로 *, *층 (석현동)",58655,01,영업/정상,식품운반업,061-284-4565,,,
,자가,동신유통,식품운반업,,145622.437638949,143943.751919223,2026-03-31 23:10:06,I,01,영업,0,0,0,0,,,0,0,,2021-04-16 16:00:39,2007-04-13,9.90,530-817,전라남도 목포시 산정동 ****-* *층,N,,4800000-117-2007-00004,0,4800000,"전라남도 목포시 삼학로***번길 *, *층 (산정동)",58737,01,영업/정상,식품운반업,061-245-6280,,,
