영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,씨유서귀스프링데일씨씨점,식품자동판매기영업,2025-01-16,166034.417422391,-18369.6180819473,2026-03-31 23:09:16,I,02,폐업,0,,,,,,,,,2025-01-16 14:17:15,2019-10-28,3.30,699-944,제주특별자치도 서귀포시 남원읍 위미리 4625 스프링데일C.C,N,,6520000-112-2019-00016,,6520000,"제주특별자치도 서귀포시 남원읍 서성로 459, 스프링데일C.C 1층",63609,03,폐업,식품자동판매기영업,,,,
,자가,지에스25그랜드메르점,식품자동판매기영업,,142691.866487853,-28315.8901119673,2026-03-31 23:09:30,I,01,영업,0,,,,,,,,,2024-03-29 15:44:28,2024-03-29,3.30,697-310,제주특별자치도 서귀포시 하예동 460-1,N,,6520000-112-2024-00009,,6520000,제주특별자치도 서귀포시 논짓물로 45 (하예동),63538,01,영업/정상,식품자동판매기영업,064-801-7010,,,
,,명승지토산품자판기,식품자동판매기영업,2004-06-28,158895.524028036,-27978.2618707965,2026-03-31 23:08:22,I,02,폐업,0,,,,,,,,,2004-04-09 00:00:00,2004-04-09,,697-852,제주특별자치도 서귀포시 서홍동 678,N,,6520000-112-2004-00033,,6520000,,,03,폐업,식품자동판매기영업,,,,
,,매표소,식품자동판매기영업,2008-01-24,185119.615793815,-18252.9052742529,2026-03-31 23:06:17,I,02,폐업,0,,,,,,,,,2002-01-04 00:00:00,1985-05-06,,699-914,제주특별자치도 서귀포시 표선면 표선리 63-1,N,,6520000-112-1985-10004,,6520000,,,03,폐업,식품자동판매기영업,,,,
,자가,포토몽자판기,식품자동판매기영업,2007-06-12,159089.470586463,-27275.4889817199,2026-03-31 23:08:11,I,02,폐업,0,0,0,0,,,0,0,,2007-02-15 00:00:00,2003-11-05,,697-842,제주특별자치도 서귀포시 서귀동 291-43,N,,6520000-112-2003-00011,0,6520000,,,03,폐업,식품자동판매기영업,064-763-0804,,,
,,시인노래연습장자판기,식품자동판매기영업,2004-06-14,154554.007453225,-28592.2766505004,2026-03-31 23:07:00,I,02,폐업,0,,,,,,,,,2001-10-23 00:00:00,1993-12-11,,697-805,제주특별자치도 서귀포시 법환동 249,N,,6520000-112-1993-00008,,6520000,,,03,폐업,식품자동판매기영업,,,,
,자가,씨유제주표선리점,식품자동판매기영업,,184324.389675416,-18886.7262385796,2026-03-31 23:09:01,I,01,영업,0,,,,,,,,,2021-06-04 15:33:07,2017-03-08,.80,699-914,제주특별자치도 서귀포시 표선면 표선리 697-1,N,,6520000-112-2017-00008,,6520000,제주특별자치도 서귀포시 표선면 표선중앙로80번길 1,63629,01,영업/정상,식품자동판매기영업,,,,
,,지은슈퍼,식품자동판매기영업,2008-02-12,,,2026-03-31 23:08:38,I,02,폐업,0,,,,,,,,,2006-12-07 00:00:00,2006-04-17,,699-944,제주특별자치도 서귀포시 남원읍 위미리 112-8,N,,6520000-112-2006-10013,,6520000,,,03,폐업,식품자동판매기영업,064-764-4942,,,
,자가,축산물플라자자판기(2대),식품자동판매기영업,,136433.003887132,-22627.8896299375,2026-03-31 23:08:39,I,01,영업,0,0,0,0,,,0,0,,2019-04-03 16:50:55,2007-03-23,,699-923,제주특별자치도 서귀포시 안덕면 서광리 985-10,N,,6520000-112-2007-00001,0,6520000,제주특별자치도 서귀포시 안덕면 중산간서로 1914-3,63522,01,영업/정상,식품자동판매기영업,064-794-5658,,,
,,남군농협자동판매기,식품자동판매기영업,2004-12-06,159439.490267222,-27457.1231224266,2026-03-31 23:06:25,I,02,폐업,0,0,0,0,,,,0,,2004-10-05 00:00:00,1988-09-14,,697-841,제주특별자치도 서귀포시 서귀동 401-11,N,,6520000-112-1988-00001,,6520000,,,03,폐업,식품자동판매기영업,064-762-3111,,,
