영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
기타,,카프리,단란주점,,159007.555934711,-27131.6052899061,2026-03-31 23:11:01,I,01,영업,143.85,,,,0,,,,,2023-01-11 17:36:43,1993-12-10,143.85,697-844,제주특별자치도 서귀포시 서귀동 297-12,Y,0,6520000-103-1993-00007,,6520000,제주특별자치도 서귀포시 중앙로71번길 4 (서귀동),63592,01,영업/정상,단란주점,064-732-9624,,,상수도전용
,,오리지날,단란주점,,130193.461120919,-30111.7505764478,2026-03-31 23:11:04,I,01,영업,62.91,,,,,,,,,2020-09-16 17:35:45,1993-11-24,62.91,699-935,제주특별자치도 서귀포시 대정읍 하모리 962-2,Y,,6520000-103-1993-10004,,6520000,제주특별자치도 서귀포시 대정읍 하모중앙로 62-2,63507,01,영업/정상,단란주점,064-792-2119,,,
기타,,춘자단란주점,단란주점,,130084.276003402,-30251.5105048917,2026-03-31 23:11:05,I,01,영업,65.86,,,,0,,,,,2020-12-22 10:47:03,1993-12-18,65.86,699-935,제주특별자치도 서귀포시 대정읍 하모리 1029-10 2층,Y,0,6520000-103-1993-10005,,6520000,"제주특별자치도 서귀포시 대정읍 하모상가로 18-1, 2층",63507,01,영업/정상,단란주점,064-794-8987,,,
학교정화(상대),,블랙라벨,단란주점,,159320.425442791,-27130.3901585017,2026-03-31 23:11:07,I,01,영업,80.77,,,,0,,,,,2025-04-15 19:18:04,1994-02-24,80.77,697-843,제주특별자치도 서귀포시 서귀동 280-9,Y,0,6520000-103-1994-00003,,6520000,제주특별자치도 서귀포시 동문로 31 (서귀동),63590,01,영업/정상,단란주점,064-763-4450,,,
기타,,한라산,단란주점,,159601.097161714,-27337.7549433481,2026-03-31 23:11:07,I,01,영업,107.32,,,,0,,,,,2026-03-16 11:56:04,1994-03-03,107.32,697-842,제주특별자치도 서귀포시 서귀동 255-26,Y,0,6520000-103-1994-00004,,6520000,제주특별자치도 서귀포시 동문로 65 (서귀동),63590,01,영업/정상,단란주점,064-763-0879,,,상수도전용
유흥업소밀집지역,,마카오단란주점,단란주점,,159299.897620394,-27489.7415827405,2026-03-31 23:11:08,I,01,영업,55.94,,,,0,,,,,2021-05-24 14:40:55,1994-03-17,55.94,697-841,제주특별자치도 서귀포시 서귀동 370-20,Y,0,6520000-103-1994-00005,,6520000,제주특별자치도 서귀포시 이중섭로 4 (서귀동),63595,01,영업/정상,단란주점,064-732-9751,,,상수도전용
,,호텔신라제주호텔 올래,단란주점,,144749.069915286,-27489.0346580491,2026-03-31 23:11:11,I,01,영업,181.17,,,,,,,,,2022-12-31 14:30:22,1994-04-25,181.17,697-808,제주특별자치도 서귀포시 색달동 3039-3,Y,,6520000-103-1994-00011,,6520000,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),63535,01,영업/정상,단란주점,064-738-4466,,,
기타,,뿌리,단란주점,,159486.637587478,-27351.2339187717,2026-03-31 23:11:12,I,01,영업,129.67,,,,0,,,,,2026-02-06 15:21:44,1994-05-03,129.67,697-842,제주특별자치도 서귀포시 서귀동 256-20 지하1층,Y,0,6520000-103-1994-00013,,6520000,"제주특별자치도 서귀포시 중앙로42번길 42, 지하1층 (서귀동)",63591,01,영업/정상,단란주점,064-732-3384,,,상수도전용
기타,,옥기린단란주점,단란주점,,159555.949998932,-27390.0975559914,2026-03-31 23:11:14,I,01,영업,95.36,,,,0,,,,,2019-06-18 11:16:04,1994-06-23,95.36,697-842,제주특별자치도 서귀포시 서귀동 256-7,Y,0,6520000-103-1994-00018,,6520000,제주특별자치도 서귀포시 중정로 97-1 (서귀동),63591,01,영업/정상,단란주점,064-732-8669,,,상수도전용
기타,,플러스알파,단란주점,,159097.759956164,-27332.8180800543,2026-03-31 23:11:15,I,01,영업,132.57,,,,0,,,,,2025-03-31 09:15:51,1994-07-04,132.57,697-842,제주특별자치도 서귀포시 서귀동 291-39,Y,0,6520000-103-1994-00020,,6520000,제주특별자치도 서귀포시 중앙로 52 (서귀동),63591,01,영업/정상,단란주점,064-762-7799,,,상수도전용
