사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
비아이비 코리아,,216796.012126235,451409.713024603,2026-03-31 03:03:03,U,13,영업중,2026-03-30 14:00:22,,2024-01-17,,경기도 하남시 망월동 **** 미사 마이움 센트럴 아케이드,PHMG120244040023047000008,4040000,"경기도 하남시 미사강변중앙로***번길 **, 미사 마이움 센트럴 아케이드 ***(사무실용도 한정)호 (망월동)",12913,01,영업/정상,,,,22.03
주식회사 파인드메드,,186324.832095725,450838.384642533,2026-03-31 03:03:03,U,13,영업중,2026-03-30 16:40:44,,2024-05-13,,서울특별시 강서구 등촌동 ***-* 아카데미프라자,PHMG120243150037047000078,3150000,"서울특별시 강서구 공항대로**길 **, 아카데미프라자 *층 (등촌동)",07587,01,영업/정상,,,,
GS편의점 벌교 홍암점,2025-08-22,231693.142140883,149490.914446221,2026-03-31 22:34:08,I,03,폐업,2025-08-25 08:46:44,,2024-08-20,,전라남도 보성군 벌교읍 벌교리 ***-** 단독주택 및 휴게음식점,PHMG120244890020047000003,4890000,"전라남도 보성군 벌교읍 홍암로 **, 단독주택 및 휴게음식점",59425,03,폐업,,,64746491,252
다온메디텍,,359504.709665537,195737.373556538,2026-03-31 03:03:03,U,15,전출,2026-03-30 10:09:15,,2021-07-15,,경상남도 김해시 진례면 송정리 ***-*,PHMG120215350029047000115,5350000,"경상남도 김해시 진례면 송현로 **-*, *층 ***호",50873,05,제외/삭제/전출,,,,43.52
벌교노인요양의료기,2018-06-01,231386.513569603,149370.656580367,2026-03-31 22:34:03,I,03,폐업,2018-05-30 18:08:16,,2018-05-30,546-905,전라남도 보성군 벌교읍 벌교리 ***번지 **호,PHMG120134890020047000001,4890000,전라남도 보성군 벌교읍 채동선로 ***-*,59425,03,폐업,,,,30.1
슬리피,,197249.357745588,451208.560235989,2026-03-31 03:03:03,U,13,영업중,2026-03-30 16:24:06,,2024-02-05,,서울특별시 중구 순화동 *** 바비엥*,PHMG120243010033047000009,3010000,"서울특별시 중구 통일로 **, 바비엥* ****호 (순화동)",04517,01,영업/정상,,,,
GS25 보성군청점,,207345.09431171,141614.736356528,2026-03-31 22:34:06,I,13,영업중,2022-02-11 17:15:31,,2022-02-11,,전라남도 보성군 보성읍 보성리 ***,PHMG120224890020047000007,4890000,전라남도 보성군 보성읍 송재로 ***,59453,01,영업/정상,,,061-853-5030,
바모스메디컬,2026-04-15,223061.0385,332256.514,2026-03-31 03:03:03,U,03,폐업,2026-03-30 11:27:07,,2022-05-06,,세종특별자치시 나성동 *** 제이빌딩,PHMG120225690045047000189,5690000,"세종특별자치시 나성북*로 **, 제이빌딩 *층 ***호 (나성동)",30128,03,폐업,,,,
CU보성역점,2016-12-27,207386.671835215,141031.228103246,2026-03-31 22:34:04,I,03,폐업,2016-12-28 10:41:22,,2016-12-27,546-802,전라남도 보성군 보성읍 보성리 ***번지 **호,PHMG120144890020047000003,4890000,전라남도 보성군 보성읍 신흥길 *,59457,03,폐업,,,061-852-0767,182
한국전자,2017-07-31,206949.059541275,140772.415940456,2026-03-31 22:34:05,I,03,폐업,2017-08-01 17:48:07,,2017-04-19,,,PHMG120174890020047000004,4890000,전라남도 보성군 보성읍 현충로 **-*,59458,03,폐업,,,061-852-2924,
